#source:bse:BSE500
date,value
2014-09-19,10402.83
2014-09-22,10425.52
2014-09-23,10252.09
2014-09-24,10210.35
2014-09-25,10062.89
2014-09-26,10144.61
2014-09-29,10162.47
2014-09-30,10173.26
2014-10-01,10146.17
2014-10-07,10033.41
2014-10-08,10021.16
2014-10-09,10172.99
2014-10-10,10039.93
2014-10-13,10076.44
2014-10-14,10057.48
2014-10-16,9877.16
2014-10-17,9919.11
2014-10-20,10045.1
2014-10-21,10113.76
2014-10-22,10206.95
2014-10-23,10254.7
2014-10-27,10214.15
2014-10-28,10251.4
2014-10-29,10324.42
2014-10-30,10417.0
2014-10-31,10594.89
2014-11-03,10622.42
2014-11-05,10636.17
2014-11-07,10650.66
2014-11-10,10656.54
2014-11-11,10697.67
2014-11-12,10736.99
2014-11-13,10702.54
2014-11-14,10751.96
2014-11-17,10812.8
2014-11-18,10831.07
2014-11-19,10771.32
2014-11-20,10782.89
2014-11-21,10849.39
2014-11-24,10894.8
2014-11-25,10787.55
2014-11-26,10813.44
2014-11-27,10842.27
2014-11-28,10956.16
2014-12-01,10927.82
2014-12-02,10927.48
2014-12-03,10985.7
2014-12-04,11024.46
2014-12-05,10989.6
2014-12-08,10868.29
2014-12-09,10726.86
2014-12-10,10773.21
2014-12-11,10691.51
2014-12-12,10590.69
2014-12-15,10565.02
2014-12-16,10338.63
2014-12-17,10287.09
2014-12-18,10494.31
2014-12-19,10560.47
2014-12-22,10674.44
2014-12-23,10610.96
2014-12-24,10538.25
2014-12-26,10562.71
2014-12-29,10636.32
2014-12-30,10662.5
2014-12-31,10721.62
2015-01-01,10744.62
2015-01-02,10866.41
2015-01-05,10854.03
2015-01-06,10538.67
2015-01-07,10522.96
2015-01-08,10688.99
2015-01-09,10731.21
2015-01-12,10789.73
2015-01-13,10767.46
2015-01-14,10748.22
2015-01-15,10975.37
2015-01-16,11013.09
2015-01-19,11067.17
2015-01-20,11201.75
2015-01-21,11225.88
2015-01-22,11270.57
2015-01-23,11343.2
2015-01-27,11439.15
2015-01-28,11455.35
2015-01-29,11474.52
2015-01-30,11346.24
2015-02-02,11353.84
2015-02-03,11299.26
2015-02-04,11252.23
2015-02-05,11203.24
2015-02-06,11128.09
2015-02-09,10962.32
2015-02-10,11019.09
2015-02-11,11132.06
2015-02-12,11250.45
2015-02-13,11354.29
2015-02-16,11352.63
2015-02-18,11431.21
2015-02-19,11456.73
2015-02-20,11404.63
2015-02-23,11304.08
2015-02-24,11306.81
2015-02-25,11302.41
2015-02-26,11206.23
2015-02-27,11405.29
2015-02-28,11454.35
2015-03-02,11547.97
2015-03-03,11622.12
2015-03-04,11526.28
2015-03-05,11567.69
2015-03-09,11361.16
2015-03-10,11319.91
2015-03-11,11294.42
2015-03-12,11410.47
2015-03-13,11246.4
2015-03-16,11219.18
2015-03-17,11333.53
2015-03-18,11314.16
2015-03-19,11248.12
2015-03-20,11140.31
2015-03-23,11086.38
2015-03-24,11072.07
2015-03-25,11046.55
2015-03-26,10853.5
2015-03-27,10843.47
2015-03-30,11039.69
2015-03-31,11048.75
2015-04-01,11183.83
2015-04-06,11288.05
2015-04-07,11322.51
2015-04-08,11397.05
2015-04-09,11457.89
2015-04-10,11475.18
2015-04-13,11537.93
2015-04-15,11449.28
2015-04-16,11374.56
2015-04-17,11239.35
2015-04-20,11026.3
2015-04-21,10949.97
2015-04-22,10995.6
2015-04-23,10966.12
2015-04-24,10812.99
2015-04-27,10652.28
2015-04-28,10762.67
2015-04-29,10743.47
2015-04-30,10696.83
2015-05-04,10889.44
2015-05-05,10899.01
2015-05-06,10585.05
2015-05-07,10484.44
2015-05-08,10663.02
2015-05-11,10831.92
2015-05-12,10598.65
2015-05-13,10743.31
2015-05-14,10770.05
2015-05-15,10815.59
2015-05-18,10946.96
2015-05-19,10946.73
2015-05-20,11001.29
2015-05-21,10991.56
2015-05-22,11030.1
2015-05-25,10952.97
2015-05-26,10917.57
2015-05-27,10910.13
2015-05-28,10881.02
2015-05-29,11023.76
2015-06-01,11010.14
2015-06-02,10767.95
2015-06-03,10611.33
2015-06-04,10613.01
2015-06-05,10604.43
2015-06-08,10487.09
2015-06-09,10463.36
2015-06-10,10588.08
2015-06-11,10399.76
2015-06-12,10409.55
2015-06-15,10447.34
2015-06-16,10484.63
2015-06-17,10566.16
2015-06-18,10669.66
2015-06-19,10739.35
2015-06-22,10897.09
2015-06-23,10933.84
2015-06-24,10888.86
2015-06-25,10940.28
2015-06-26,10921.29
2015-06-29,10821.71
2015-06-30,10903.53
2015-07-01,11020.74
2015-07-02,11035.32
2015-07-03,11069.14
2015-07-06,11133.39
2015-07-07,11144.72
2015-07-08,10970.16
2015-07-09,10927.85
2015-07-10,10959.29
2015-07-13,11088.66
2015-07-14,11091.15
2015-07-15,11165.91
2015-07-16,11274.17
2015-07-17,11292.97
2015-07-20,11299.64
2015-07-21,11172.44
2015-07-22,11296.73
2015-07-23,11269.09
2015-07-24,11182.0
2015-07-27,11000.06
2015-07-28,10965.28
2015-07-29,11024.61
2015-07-30,11098.12
2015-07-31,11233.42
2015-08-03,11269.46
2015-08-04,11286.15
2015-08-05,11362.72
2015-08-06,11386.34
2015-08-07,11358.74
2015-08-10,11311.96
2015-08-11,11218.63
2015-08-12,11034.29
2015-08-13,11022.58
2015-08-14,11236.11
2015-08-17,11207.3
2015-08-18,11220.07
2015-08-19,11248.58
2015-08-20,11082.89
2015-08-21,10991.16
2015-08-24,10257.84
2015-08-25,10386.83
2015-08-26,10292.53
2015-08-27,10522.41
2015-08-28,10569.62
2015-08-31,10536.38
2015-09-01,10302.72
2015-09-02,10232.99
2015-09-03,10365.3
2015-09-04,10143.89
2015-09-07,9990.31
2015-09-08,10126.13
2015-09-09,10299.42
2015-09-10,10277.74
2015-09-11,10281.36
2015-09-14,10395.72
2015-09-15,10331.94
2015-09-16,10381.76
2015-09-18,10490.92
2015-09-21,10508.13
2015-09-22,10314.31
2015-09-23,10364.89
2015-09-24,10390.73
2015-09-28,10314.88
2015-09-29,10354.79
2015-09-30,10498.27
2015-10-01,10513.83
2015-10-05,10723.96
2015-10-06,10773.18
2015-10-07,10802.85
2015-10-08,10739.65
2015-10-09,10789.44
2015-10-12,10751.99
2015-10-13,10741.08
2015-10-14,10722.73
2015-10-15,10804.62
2015-10-16,10865.39
2015-10-19,10918.52
2015-10-20,10919.76
2015-10-21,10900.05
2015-10-23,10928.03
2015-10-26,10878.35
2015-10-27,10859.04
2015-10-28,10794.93
2015-10-29,10727.89
2015-10-30,10671.58
2015-11-02,10654.82
2015-11-03,10675.86
2015-11-04,10658.12
2015-11-05,10535.37
2015-11-06,10510.58
2015-11-09,10498.78
2015-11-10,10339.49
2015-11-11,10418.07
2015-11-13,10321.2
2015-11-16,10363.57
2015-11-17,10407.41
2015-11-18,10295.41
2015-11-19,10434.25
2015-11-20,10464.0
2015-11-23,10469.75
2015-11-24,10459.54
2015-11-26,10516.86
2015-11-27,10573.65
2015-11-30,10580.88
2015-12-01,10611.64
