#source:bse:SPBSCDIP
date,value
2014-09-19,2462.15
2014-09-22,2462.22
2014-09-23,2420.27
2014-09-24,2406.82
2014-09-25,2374.5
2014-09-26,2389.17
2014-09-29,2394.25
2014-09-30,2408.77
2014-10-01,2406.96
2014-10-07,2379.64
2014-10-08,2388.45
2014-10-09,2420.59
2014-10-10,2385.73
2014-10-13,2376.97
2014-10-14,2361.34
2014-10-16,2302.68
2014-10-17,2328.62
2014-10-20,2357.68
2014-10-21,2371.82
2014-10-22,2415.57
2014-10-23,2428.31
2014-10-27,2412.22
2014-10-28,2414.6
2014-10-29,2443.16
2014-10-30,2457.11
2014-10-31,2476.35
2014-11-03,2474.07
2014-11-05,2473.83
2014-11-07,2472.59
2014-11-10,2473.92
2014-11-11,2490.43
2014-11-12,2504.45
2014-11-13,2500.07
2014-11-14,2520.94
2014-11-17,2537.78
2014-11-18,2550.57
2014-11-19,2542.08
2014-11-20,2525.87
2014-11-21,2533.73
2014-11-24,2542.42
2014-11-25,2516.19
2014-11-26,2532.88
2014-11-27,2542.11
2014-11-28,2580.65
2014-12-01,2598.42
2014-12-02,2588.17
2014-12-03,2626.0
2014-12-04,2629.13
2014-12-05,2631.96
2014-12-08,2605.38
2014-12-09,2573.95
2014-12-10,2581.55
2014-12-11,2564.83
2014-12-12,2545.53
2014-12-15,2537.76
2014-12-16,2492.02
2014-12-17,2453.05
2014-12-18,2512.19
2014-12-19,2516.1
2014-12-22,2545.03
2014-12-23,2544.02
2014-12-24,2531.12
2014-12-26,2533.69
2014-12-29,2562.8
2014-12-30,2560.29
2014-12-31,2564.37
2015-01-01,2573.22
2015-01-02,2585.64
2015-01-05,2595.47
2015-01-06,2531.24
2015-01-07,2543.45
2015-01-08,2582.14
2015-01-09,2574.79
2015-01-12,2575.6
2015-01-13,2585.02
2015-01-14,2589.72
2015-01-15,2637.21
2015-01-16,2657.46
2015-01-19,2666.4
2015-01-20,2670.56
2015-01-21,2685.61
2015-01-22,2690.55
2015-01-23,2699.74
2015-01-27,2720.86
2015-01-28,2738.01
2015-01-29,2734.16
2015-01-30,2710.45
2015-02-02,2699.19
2015-02-03,2677.18
2015-02-04,2658.8
2015-02-05,2637.31
2015-02-06,2595.63
2015-02-09,2555.23
2015-02-10,2574.77
2015-02-11,2604.37
2015-02-12,2633.43
2015-02-13,2658.9
2015-02-16,2659.3
2015-02-18,2667.77
2015-02-19,2670.01
2015-02-20,2663.41
2015-02-23,2632.83
2015-02-24,2632.99
2015-02-25,2626.74
2015-02-26,2596.28
2015-02-27,2650.63
2015-02-28,2650.87
2015-03-02,2659.09
2015-03-03,2662.65
2015-03-04,2635.59
2015-03-05,2648.71
2015-03-09,2615.72
2015-03-10,2620.46
2015-03-11,2622.96
2015-03-12,2645.01
2015-03-13,2609.6
2015-03-16,2612.52
2015-03-17,2629.86
2015-03-18,2629.57
2015-03-19,2625.93
2015-03-20,2583.63
2015-03-23,2571.46
2015-03-24,2562.68
2015-03-25,2557.76
2015-03-26,2536.25
2015-03-27,2528.39
2015-03-30,2574.07
2015-03-31,2580.25
2015-04-01,2601.91
2015-04-06,2628.27
2015-04-07,2643.74
2015-04-08,2665.83
2015-04-09,2676.07
2015-04-10,2681.52
2015-04-13,2681.75
2015-04-15,2658.0
2015-04-16,2635.21
2015-04-17,2608.56
2015-04-20,2555.63
2015-04-21,2531.87
2015-04-22,2536.56
2015-04-23,2532.96
2015-04-24,2485.87
2015-04-27,2450.24
2015-04-28,2490.79
2015-04-29,2494.68
2015-04-30,2487.27
2015-05-04,2542.43
2015-05-05,2533.93
2015-05-06,2464.34
2015-05-07,2443.12
2015-05-08,2473.75
2015-05-11,2517.99
2015-05-12,2475.37
2015-05-13,2505.92
2015-05-14,2533.27
2015-05-15,2547.11
2015-05-18,2568.99
2015-05-19,2573.14
2015-05-20,2573.64
2015-05-21,2589.12
2015-05-22,2590.76
2015-05-25,2585.99
2015-05-26,2587.99
2015-05-27,2574.2
2015-05-28,2568.46
2015-05-29,2622.11
2015-06-01,2625.93
2015-06-02,2561.73
2015-06-03,2518.68
2015-06-04,2514.07
2015-06-05,2513.94
2015-06-08,2484.99
2015-06-09,2467.18
2015-06-10,2501.52
2015-06-11,2452.42
2015-06-12,2456.22
2015-06-15,2475.98
2015-06-16,2497.3
2015-06-17,2522.79
2015-06-18,2543.29
2015-06-19,2568.59
2015-06-22,2599.77
2015-06-23,2608.8
2015-06-24,2594.13
2015-06-25,2612.94
2015-06-26,2623.35
2015-06-29,2588.53
2015-06-30,2615.92
2015-07-01,2639.32
2015-07-02,2664.01
2015-07-03,2665.15
2015-07-06,2685.9
2015-07-07,2698.32
2015-07-08,2658.55
2015-07-09,2652.78
2015-07-10,2649.84
2015-07-13,2696.75
2015-07-14,2699.68
2015-07-15,2723.09
2015-07-16,2736.91
2015-07-17,2744.7
2015-07-20,2761.98
2015-07-21,2731.98
2015-07-22,2772.04
2015-07-23,2771.4
2015-07-24,2751.57
2015-07-27,2719.9
2015-07-28,2704.08
2015-07-29,2726.32
2015-07-30,2745.5
2015-07-31,2787.49
2015-08-03,2808.63
2015-08-04,2847.53
2015-08-05,2881.95
2015-08-06,2875.49
2015-08-07,2864.2
2015-08-10,2855.45
2015-08-11,2831.3
2015-08-12,2768.16
2015-08-13,2768.81
2015-08-14,2835.43
2015-08-17,2824.4
2015-08-18,2844.99
2015-08-19,2851.51
2015-08-20,2795.54
2015-08-21,2756.76
2015-08-24,2552.06
2015-08-25,2581.47
2015-08-26,2569.81
2015-08-27,2615.84
2015-08-28,2625.54
2015-08-31,2608.1
2015-09-01,2544.25
2015-09-02,2523.01
2015-09-03,2551.77
2015-09-04,2502.87
2015-09-07,2469.25
2015-09-08,2498.11
2015-09-09,2559.92
2015-09-10,2557.67
2015-09-11,2567.18
2015-09-14,2586.72
2015-09-15,2567.7
2015-09-16,2571.1
2015-09-18,2607.48
2015-09-21,2612.19
2015-09-22,2574.9
2015-09-23,2584.77
2015-09-24,2605.43
2015-09-28,2589.08
2015-09-29,2602.94
2015-09-30,2632.88
2015-10-01,2628.81
2015-10-05,2666.74
2015-10-06,2672.46
2015-10-07,2698.61
2015-10-08,2689.31
2015-10-09,2677.61
2015-10-12,2675.99
2015-10-13,2685.6
2015-10-14,2682.69
2015-10-15,2712.83
2015-10-16,2723.69
2015-10-19,2731.25
2015-10-20,2730.54
2015-10-21,2730.97
2015-10-23,2717.23
2015-10-26,2700.45
2015-10-27,2709.35
2015-10-28,2697.92
2015-10-29,2686.13
2015-10-30,2658.56
2015-11-02,2658.17
2015-11-03,2662.21
2015-11-04,2661.29
2015-11-05,2641.72
2015-11-06,2628.17
2015-11-09,2640.91
2015-11-10,2632.08
2015-11-11,2654.16
2015-11-13,2620.12
2015-11-16,2635.06
2015-11-17,2641.55
2015-11-18,2628.97
2015-11-19,2670.97
2015-11-20,2691.28
2015-11-23,2716.68
2015-11-24,2710.37
2015-11-26,2726.88
2015-11-27,2727.9
2015-11-30,2743.56
2015-12-01,2738.11
2015-12-02,2745.72
2015-12-03,2732.53
2015-12-04,2705.27
2015-12-07,2714.41
2015-12-08,2695.6
2015-12-09,2650.88
2015-12-10,2673.44
2015-12-11,2638.98
2015-12-14,2658.54
2015-12-15,2684.91
2015-12-16,2674.97
2015-12-17,2719.83
2015-12-18,2710.17
2015-12-21,2727.05
2015-12-22,2721.95
2015-12-23,2733.2
2015-12-24,2736.31
2015-12-28,2746.1
2015-12-29,2760.6
2015-12-30,2755.64
2015-12-31,2771.58
2016-01-01,2783.16
2016-01-04,2749.27
2016-01-05,2757.46
2016-01-06,2736.98
2016-01-07,2662.85
2016-01-08,2671.54
2016-01-11,2661.7
2016-01-12,2649.51
2016-01-13,2646.2
2016-01-14,2622.4
2016-01-15,2574.92
2016-01-18,2512.7
2016-01-19,2531.47
2016-01-20,2493.98
2016-01-21,2480.98
2016-01-22,2553.09
2016-01-25,2557.29
2016-01-27,2551.83
2016-01-28,2545.24
2016-01-29,2593.38
2016-02-01,2588.11
2016-02-02,2561.7
2016-02-03,2527.24
2016-02-04,2531.87
2016-02-05,2558.85
2016-02-08,2551.62
2016-02-09,2522.4
2016-02-10,2505.32
2016-02-11,2417.91
2016-02-12,2412.3
2016-02-15,2490.63
2016-02-16,2449.16
2016-02-17,2457.47
2016-02-18,2466.7
2016-02-19,2479.37
2016-02-22,2492.92
2016-02-23,2457.63
2016-02-24,2442.93
2016-02-25,2418.56
2016-02-26,2413.06
2016-02-29,2387.7
2016-03-01,2476.96
2016-03-02,2501.05
2016-03-03,2525.19
2016-03-04,2527.21
2016-03-08,2529.3
2016-03-09,2551.28
2016-03-10,2549.15
2016-03-11,2553.73
2016-03-14,2558.67
2016-03-15,2536.96
2016-03-16,2519.41
2016-03-17,2516.37
2016-03-18,2542.01
2016-03-21,2556.46
2016-03-22,2575.18
2016-03-23,2583.65
2016-03-28,2552.9
2016-03-29,2561.09
2016-03-30,2596.97
2016-03-31,2609.0
2016-04-01,2611.99
2016-04-04,2635.3
2016-04-05,2584.98
2016-04-06,2597.12
2016-04-07,2571.36
2016-04-08,2582.36
2016-04-11,2613.55
2016-04-12,2639.48
2016-04-13,2700.39
2016-04-18,2718.68
2016-04-20,2721.09
2016-04-21,2697.82
2016-04-22,2707.23
2016-04-25,2695.53
2016-04-26,2727.5
2016-04-27,2737.64
2016-04-28,2700.55
2016-04-29,2694.75
2016-05-02,2701.25
2016-05-03,2695.01
2016-05-04,2675.69
2016-05-05,2672.16
2016-05-06,2681.07
2016-05-09,2724.24
2016-05-10,2722.36
2016-05-11,2731.68
2016-05-12,2749.02
2016-05-13,2731.04
2016-05-16,2744.62
2016-05-17,2764.44
2016-05-18,2746.16
2016-05-19,2723.49
2016-05-20,2714.44
2016-05-23,2698.77
2016-05-24,2695.53
2016-05-25,2741.79
2016-05-26,2764.69
2016-05-27,2785.59
2016-05-30,2788.84
2016-05-31,2791.44
2016-06-01,2805.97
2016-06-02,2813.48
2016-06-03,2809.66
2016-06-06,2807.36
2016-06-07,2823.28
2016-06-08,2829.21
2016-06-09,2813.35
2016-06-10,2798.1
2016-06-13,2789.89
2016-06-14,2788.24
2016-06-15,2814.28
2016-06-16,2795.91
2016-06-17,2805.66
2016-06-20,2816.47
2016-06-21,2824.49
2016-06-22,2819.87
2016-06-23,2824.65
2016-06-24,2799.7
2016-06-27,2801.99
2016-06-28,2822.42
2016-06-29,2862.79
2016-06-30,2900.31
2016-07-01,2911.18
2016-07-04,2924.76
2016-07-05,2907.12
2016-07-07,2902.22
2016-07-08,2908.75
2016-07-11,2945.83
2016-07-12,2962.73
2016-07-13,2944.1
2016-07-14,2967.97
2016-07-15,2977.24
2016-07-18,2972.97
2016-07-19,2971.55
2016-07-20,2991.76
2016-07-21,2978.71
2016-07-22,2990.1
2016-07-25,3023.45
2016-07-26,2995.61
2016-07-27,3007.99
2016-07-28,3052.71
2016-07-29,3076.9
2016-08-01,3094.8
2016-08-02,3096.94
2016-08-03,3063.44
2016-08-04,3066.43
2016-08-05,3138.66
2016-08-08,3161.03
2016-08-09,3147.19
2016-08-10,3089.17
2016-08-11,3071.71
2016-08-12,3082.02
2016-08-16,3073.29
2016-08-17,3091.98
2016-08-18,3106.7
2016-08-19,3105.03
2016-08-22,3084.35
2016-08-23,3078.34
2016-08-24,3092.7
2016-08-25,3078.26
2016-08-26,3084.73
2016-08-29,3101.9
2016-08-30,3157.37
2016-08-31,3162.98
2016-09-01,3158.5
2016-09-02,3181.05
2016-09-06,3234.62
2016-09-07,3233.75
2016-09-08,3272.19
2016-09-09,3238.61
2016-09-12,3163.05
2016-09-14,3188.86
2016-09-15,3198.68
2016-09-16,3218.51
2016-09-19,3224.04
2016-09-20,3211.83
2016-09-21,3218.93
2016-09-22,3257.52
2016-09-23,3260.39
2016-09-26,3229.02
2016-09-27,3224.42
2016-09-28,3264.17
2016-09-29,3183.94
2016-09-30,3227.73
2016-10-03,3317.3
2016-10-04,3315.93
2016-10-05,3332.6
2016-10-06,3322.73
2016-10-07,3318.79
2016-10-10,3331.52
2016-10-13,3295.19
2016-10-14,3288.21
2016-10-17,3230.0
