#source:bse:SPBSUTIP
date,value
2014-09-19,1690.87
2014-09-22,1687.75
2014-09-23,1665.94
2014-09-24,1664.85
2014-09-25,1632.48
2014-09-26,1650.29
2014-09-29,1656.66
2014-09-30,1637.08
2014-10-01,1625.59
2014-10-07,1634.72
2014-10-08,1644.27
2014-10-09,1666.48
2014-10-10,1644.4
2014-10-13,1648.58
2014-10-14,1654.16
2014-10-16,1621.85
2014-10-17,1630.35
2014-10-20,1657.04
2014-10-21,1700.58
2014-10-22,1704.04
2014-10-23,1708.95
2014-10-27,1704.72
2014-10-28,1724.61
2014-10-29,1725.75
2014-10-30,1740.41
2014-10-31,1783.23
2014-11-03,1772.02
2014-11-05,1752.93
2014-11-07,1744.3
2014-11-10,1752.76
2014-11-11,1758.12
2014-11-12,1730.58
2014-11-13,1719.94
2014-11-14,1731.36
2014-11-17,1756.08
2014-11-18,1770.54
2014-11-19,1740.86
2014-11-20,1731.66
2014-11-21,1729.89
2014-11-24,1730.46
2014-11-25,1700.29
2014-11-26,1727.02
2014-11-27,1733.87
2014-11-28,1742.67
2014-12-01,1709.67
2014-12-02,1704.86
2014-12-03,1717.54
2014-12-04,1707.38
2014-12-05,1699.96
2014-12-08,1683.12
2014-12-09,1647.48
2014-12-10,1660.34
2014-12-11,1636.83
2014-12-12,1611.97
2014-12-15,1602.2
2014-12-16,1558.21
2014-12-17,1549.51
2014-12-18,1599.47
2014-12-19,1622.14
2014-12-22,1645.86
2014-12-23,1659.61
2014-12-24,1639.88
2014-12-26,1643.39
2014-12-29,1650.36
2014-12-30,1656.63
2014-12-31,1666.68
2015-01-01,1663.44
2015-01-02,1678.48
2015-01-05,1684.37
2015-01-06,1636.01
2015-01-07,1632.69
2015-01-08,1662.23
2015-01-09,1649.64
2015-01-12,1651.31
2015-01-13,1639.0
2015-01-14,1633.44
2015-01-15,1668.12
2015-01-16,1681.53
2015-01-19,1697.62
2015-01-20,1692.55
2015-01-21,1690.92
2015-01-22,1688.62
2015-01-23,1709.82
2015-01-27,1716.66
2015-01-28,1712.12
2015-01-29,1709.64
2015-01-30,1727.46
2015-02-02,1732.57
2015-02-03,1717.39
2015-02-04,1714.56
2015-02-05,1667.22
2015-02-06,1651.22
2015-02-09,1613.26
2015-02-10,1625.46
2015-02-11,1649.83
2015-02-12,1687.24
2015-02-13,1684.76
2015-02-16,1685.35
2015-02-18,1710.06
2015-02-19,1722.77
2015-02-20,1710.99
2015-02-23,1706.94
2015-02-24,1706.72
2015-02-25,1694.21
2015-02-26,1708.37
2015-02-27,1754.93
2015-02-28,1742.48
2015-03-02,1745.48
2015-03-03,1750.52
2015-03-04,1730.16
2015-03-05,1738.67
2015-03-09,1683.72
2015-03-10,1665.65
2015-03-11,1672.41
2015-03-12,1701.25
2015-03-13,1678.97
2015-03-16,1666.47
2015-03-17,1679.75
2015-03-18,1666.31
2015-03-19,1669.1
2015-03-20,1631.73
2015-03-23,1649.58
2015-03-24,1650.6
2015-03-25,1624.18
2015-03-26,1610.47
2015-03-27,1607.16
2015-03-30,1623.56
2015-03-31,1640.08
2015-04-01,1647.62
2015-04-06,1665.23
2015-04-07,1684.31
2015-04-08,1689.24
2015-04-09,1693.19
2015-04-10,1706.77
2015-04-13,1717.26
2015-04-15,1703.11
2015-04-16,1697.01
2015-04-17,1691.57
2015-04-20,1662.02
2015-04-21,1649.65
2015-04-22,1649.11
2015-04-23,1635.59
2015-04-24,1619.48
2015-04-27,1588.74
2015-04-28,1604.72
2015-04-29,1605.85
2015-04-30,1595.46
2015-05-04,1623.33
2015-05-05,1616.51
2015-05-06,1564.12
2015-05-07,1542.45
2015-05-08,1550.37
2015-05-11,1578.35
2015-05-12,1543.12
2015-05-13,1557.33
2015-05-14,1564.02
2015-05-15,1558.03
2015-05-18,1574.57
2015-05-19,1576.59
2015-05-20,1586.74
2015-05-21,1574.34
2015-05-22,1574.74
2015-05-25,1567.1
2015-05-26,1560.31
2015-05-27,1562.46
2015-05-28,1560.12
2015-05-29,1571.57
2015-06-01,1578.91
2015-06-02,1560.2
2015-06-03,1522.4
2015-06-04,1518.29
2015-06-05,1538.81
2015-06-08,1533.84
2015-06-09,1541.45
2015-06-10,1550.97
2015-06-11,1521.56
2015-06-12,1523.58
2015-06-15,1515.58
2015-06-16,1528.85
2015-06-17,1523.84
2015-06-18,1526.86
2015-06-19,1517.88
2015-06-22,1542.08
2015-06-23,1546.3
2015-06-24,1536.29
2015-06-25,1554.88
2015-06-26,1546.83
2015-06-29,1537.22
2015-06-30,1536.62
2015-07-01,1554.92
2015-07-02,1547.28
2015-07-03,1545.38
2015-07-06,1546.93
2015-07-07,1539.87
2015-07-08,1522.43
2015-07-09,1514.95
2015-07-10,1505.1
2015-07-13,1531.82
2015-07-14,1535.91
2015-07-15,1537.09
2015-07-16,1551.38
2015-07-17,1560.98
2015-07-20,1555.23
2015-07-21,1531.38
2015-07-22,1552.04
2015-07-23,1548.8
2015-07-24,1535.16
2015-07-27,1505.93
2015-07-28,1508.26
2015-07-29,1495.72
2015-07-30,1513.59
2015-07-31,1512.51
2015-08-03,1514.91
2015-08-04,1513.18
2015-08-05,1520.03
2015-08-06,1518.24
2015-08-07,1506.43
2015-08-10,1497.62
2015-08-11,1487.71
2015-08-12,1456.6
2015-08-13,1454.67
2015-08-14,1474.54
2015-08-17,1471.76
2015-08-18,1459.45
2015-08-19,1452.27
2015-08-20,1430.67
2015-08-21,1415.89
2015-08-24,1305.55
2015-08-25,1315.52
2015-08-26,1331.52
2015-08-27,1354.84
2015-08-28,1362.68
2015-08-31,1354.79
2015-09-01,1332.67
2015-09-02,1310.95
2015-09-03,1331.5
2015-09-04,1286.0
2015-09-07,1271.27
2015-09-08,1308.69
2015-09-09,1334.19
2015-09-10,1324.79
2015-09-11,1322.44
2015-09-14,1361.44
2015-09-15,1359.91
2015-09-16,1372.34
2015-09-18,1383.98
2015-09-21,1404.73
2015-09-22,1362.49
2015-09-23,1361.83
2015-09-24,1367.18
2015-09-28,1365.83
2015-09-29,1371.18
2015-09-30,1398.08
2015-10-01,1387.04
2015-10-05,1415.62
2015-10-06,1425.85
2015-10-07,1440.35
2015-10-08,1431.48
2015-10-09,1431.09
2015-10-12,1445.3
2015-10-13,1446.57
2015-10-14,1442.5
2015-10-15,1455.01
2015-10-16,1460.74
2015-10-19,1460.16
2015-10-20,1482.24
2015-10-21,1479.55
2015-10-23,1489.27
2015-10-26,1484.88
2015-10-27,1481.26
2015-10-28,1459.07
2015-10-29,1446.97
2015-10-30,1463.27
2015-11-02,1458.51
2015-11-03,1469.82
2015-11-04,1464.86
2015-11-05,1456.71
2015-11-06,1439.14
2015-11-09,1434.22
2015-11-10,1416.99
2015-11-11,1425.82
2015-11-13,1423.92
2015-11-16,1437.52
2015-11-17,1455.78
2015-11-18,1455.92
2015-11-19,1467.27
2015-11-20,1485.82
2015-11-23,1493.58
2015-11-24,1490.64
2015-11-26,1515.96
2015-11-27,1512.3
2015-11-30,1524.07
2015-12-01,1526.8
2015-12-02,1530.35
2015-12-03,1525.71
2015-12-04,1495.48
2015-12-07,1496.63
2015-12-08,1462.98
2015-12-09,1450.15
2015-12-10,1470.54
2015-12-11,1452.16
2015-12-14,1453.48
2015-12-15,1452.55
2015-12-16,1474.5
2015-12-17,1495.56
2015-12-18,1500.21
2015-12-21,1519.54
2015-12-22,1519.96
2015-12-23,1542.02
2015-12-24,1555.04
2015-12-28,1573.17
2015-12-29,1576.26
2015-12-30,1582.27
2015-12-31,1599.45
2016-01-01,1611.49
2016-01-04,1601.78
2016-01-05,1617.42
2016-01-06,1611.65
2016-01-07,1570.35
2016-01-08,1606.51
2016-01-11,1611.08
2016-01-12,1607.4
2016-01-13,1587.24
2016-01-14,1569.46
2016-01-15,1502.18
2016-01-18,1474.65
2016-01-19,1490.53
2016-01-20,1456.48
2016-01-21,1454.73
2016-01-22,1494.85
2016-01-25,1485.67
2016-01-27,1517.55
2016-01-28,1530.98
2016-01-29,1550.73
2016-02-01,1542.57
2016-02-02,1510.0
2016-02-03,1470.94
2016-02-04,1467.24
2016-02-05,1468.01
2016-02-08,1456.99
2016-02-09,1459.17
2016-02-10,1458.29
2016-02-11,1386.96
2016-02-12,1395.4
2016-02-15,1429.47
2016-02-16,1415.94
2016-02-17,1423.33
2016-02-18,1424.83
2016-02-19,1432.72
2016-02-22,1423.47
2016-02-23,1403.03
2016-02-24,1393.11
2016-02-25,1358.77
