#source:nse_price:NIFTY100 EQUAL WEIGHT
date,value
2014-09-18,10036.04
2014-09-19,10005.39
2014-09-22,9995.42
2014-09-23,9802.19
2014-09-24,9768.68
2014-09-25,9600.08
2014-09-26,9734.41
2014-09-29,9746.99
2014-09-30,9745.78
2014-10-01,9710.32
2014-10-07,9573.43
2014-10-08,9581.88
2014-10-09,9752.07
2014-10-10,9597.51
2014-10-13,9631.64
2014-10-14,9626.73
2014-10-16,9416.57
2014-10-17,9500.98
2014-10-20,9641.15
2014-10-21,9731.49
2014-10-22,9837.5
2014-10-23,9876.71
2014-10-27,9825.4
2014-10-28,9864.83
2014-10-29,9930.84
2014-10-30,10008.37
2014-10-31,10182.93
2014-11-03,10217.92
2014-11-05,10186.43
2014-11-07,10221.59
2014-11-10,10230.02
2014-11-11,10277.34
2014-11-12,10322.84
2014-11-13,10268.48
2014-11-14,10334.69
2014-11-17,10395.54
2014-11-18,10455.32
2014-11-19,10370.1
2014-11-20,10383.85
2014-11-21,10419.44
2014-11-24,10479.71
2014-11-25,10351.34
2014-11-26,10377.93
2014-11-27,10421.49
2014-11-28,10548.28
2014-12-01,10512.34
2014-12-02,10549.9
2014-12-03,10644.88
2014-12-04,10657.22
2014-12-05,10610.69
2014-12-08,10500.67
2014-12-09,10329.48
2014-12-10,10405.17
2014-12-11,10318.04
2014-12-12,10207.24
2014-12-15,10175.95
2014-12-16,9928.5
2014-12-17,9889.66
2014-12-18,10142.03
2014-12-19,10180.24
2014-12-22,10297.02
2014-12-23,10232.68
2014-12-24,10180.46
2014-12-26,10228.66
2014-12-29,10305.28
2014-12-30,10343.56
2014-12-31,10403.38
2015-01-01,10430.27
2015-01-02,10523.11
2015-01-05,10511.3
2015-01-06,10203.89
2015-01-07,10186.99
2015-01-08,10386.4
2015-01-09,10387.5
2015-01-12,10410.67
2015-01-13,10401.54
2015-01-14,10370.57
2015-01-15,10563.35
2015-01-16,10601.25
2015-01-19,10649.98
2015-01-20,10720.57
2015-01-21,10749.42
2015-01-22,10788.42
2015-01-23,10897.56
2015-01-27,10932.28
2015-01-28,10952.13
2015-01-29,10961.5
2015-01-30,10875.66
2015-02-02,10918.91
2015-02-03,10840.62
2015-02-04,10813.32
2015-02-05,10687.31
2015-02-06,10607.22
2015-02-09,10423.33
2015-02-10,10499.57
2015-02-11,10632.05
2015-02-12,10754.23
2015-02-13,10841.05
2015-02-16,10808.9
2015-02-18,10841.6
2015-02-19,10881.8
2015-02-20,10878.8
2015-02-23,10782.02
2015-02-24,10762.4
2015-02-25,10748.06
2015-02-26,10641.41
2015-02-27,10890.97
2015-02-28,10919.13
2015-03-02,11046.92
2015-03-03,11110.63
2015-03-04,10967.88
2015-03-05,10999.74
2015-03-09,10830.69
2015-03-10,10812.47
2015-03-11,10783.79
2015-03-12,10934.09
2015-03-13,10769.78
2015-03-16,10718.09
2015-03-17,10835.22
2015-03-18,10822.99
2015-03-19,10770.59
2015-03-20,10628.64
2015-03-23,10572.68
2015-03-24,10564.92
2015-03-25,10552.68
2015-03-26,10402.18
2015-03-27,10374.33
2015-03-30,10535.0
2015-03-31,10541.41
2015-04-01,10662.99
2015-04-06,10751.73
2015-04-07,10832.97
2015-04-08,10898.72
2015-04-09,10952.94
2015-04-10,11024.81
2015-04-13,11095.11
2015-04-15,11008.72
2015-04-16,10945.33
2015-04-17,10819.5
2015-04-20,10609.66
2015-04-21,10518.86
2015-04-22,10549.83
2015-04-23,10548.75
2015-04-24,10417.06
2015-04-27,10256.77
2015-04-28,10391.82
2015-04-29,10383.15
2015-04-30,10340.77
2015-05-04,10555.08
2015-05-05,10607.27
2015-05-06,10273.63
2015-05-07,10108.98
2015-05-08,10255.67
2015-05-11,10470.6
2015-05-12,10237.39
2015-05-13,10393.96
2015-05-14,10490.09
2015-05-15,10504.78
2015-05-18,10626.43
2015-05-19,10631.33
2015-05-20,10649.05
2015-05-21,10629.3
2015-05-22,10638.36
2015-05-25,10582.56
2015-05-26,10558.63
2015-05-27,10535.24
2015-05-28,10488.86
2015-05-29,10625.06
2015-06-01,10619.5
2015-06-02,10399.52
2015-06-03,10247.53
2015-06-04,10233.45
2015-06-05,10241.4
2015-06-08,10118.1
