#source:nse_tri:NIFTY100 ESG
date,value
2014-09-18,1538.26
2014-09-19,1537.89
2014-09-22,1539.28
2014-09-23,1513.33
2014-09-24,1506.67
2014-09-25,1489.29
2014-09-26,1503.62
2014-09-29,1506.14
2014-09-30,1504.71
2014-10-01,1504.94
2014-10-07,1486.48
2014-10-08,1482.08
2014-10-09,1505.42
2014-10-10,1490.58
2014-10-13,1496.72
2014-10-14,1493.18
2014-10-16,1467.43
2014-10-17,1469.41
2014-10-20,1486.62
2014-10-21,1493.31
2014-10-22,1511.38
2014-10-23,1514.99
2014-10-27,1506.62
2014-10-28,1513.96
2014-10-29,1528.35
2014-10-30,1546.49
2014-10-31,1580.31
2014-11-03,1579.95
2014-11-05,1583.39
2014-11-07,1585.51
2014-11-10,1582.47
2014-11-11,1591.22
2014-11-12,1595.19
2014-11-13,1591.98
2014-11-14,1597.14
2014-11-17,1606.13
2014-11-18,1605.52
2014-11-19,1597.99
2014-11-20,1599.35
2014-11-21,1610.41
2014-11-24,1622.88
2014-11-25,1614.1
2014-11-26,1613.05
2014-11-27,1619.32
2014-11-28,1638.81
2014-12-01,1633.17
2014-12-02,1625.44
2014-12-03,1628.34
2014-12-04,1626.49
2014-12-05,1616.4
2014-12-08,1588.73
2014-12-09,1572.23
2014-12-10,1576.59
2014-12-11,1561.73
2014-12-12,1544.99
2014-12-15,1541.34
2014-12-16,1515.84
2014-12-17,1511.8
2014-12-18,1538.53
2014-12-19,1554.43
2014-12-22,1570.7
2014-12-23,1555.26
2014-12-24,1539.15
2014-12-26,1546.99
2014-12-29,1555.42
2014-12-30,1558.79
2014-12-31,1566.59
2015-01-01,1566.63
2015-01-02,1587.94
2015-01-05,1582.6
2015-01-06,1535.01
2015-01-07,1531.86
2015-01-08,1554.23
2015-01-09,1570.31
2015-01-12,1580.16
2015-01-13,1575.06
2015-01-14,1575.5
2015-01-15,1614.74
2015-01-16,1620.45
2015-01-19,1626.95
2015-01-20,1651.35
2015-01-21,1663.54
2015-01-22,1669.23
2015-01-23,1686.57
2015-01-27,1690.84
2015-01-28,1693.77
2015-01-29,1701.79
2015-01-30,1674.42
2015-02-02,1678.07
2015-02-03,1667.5
2015-02-04,1659.23
2015-02-05,1660.62
2015-02-06,1650.41
2015-02-09,1625.33
2015-02-10,1630.21
2015-02-11,1645.07
2015-02-12,1662.7
2015-02-13,1680.25
2015-02-16,1677.52
2015-02-18,1692.95
2015-02-19,1699.64
2015-02-20,1686.86
2015-02-23,1673.04
2015-02-24,1672.25
2015-02-25,1671.94
2015-02-26,1655.2
2015-02-27,1686.0
2015-02-28,1709.84
2015-03-02,1727.78
2015-03-03,1738.58
2015-03-04,1720.36
2015-03-05,1722.55
2015-03-09,1691.84
2015-03-10,1680.65
2015-03-11,1677.75
2015-03-12,1691.18
2015-03-13,1665.24
2015-03-16,1661.76
2015-03-17,1682.08
2015-03-18,1676.28
2015-03-19,1666.26
2015-03-20,1656.8
2015-03-23,1651.63
2015-03-24,1646.94
2015-03-25,1644.68
2015-03-26,1609.89
2015-03-27,1611.37
2015-03-30,1637.01
2015-03-31,1639.08
2015-04-01,1656.28
2015-04-06,1668.25
2015-04-07,1672.15
2015-04-08,1683.07
2015-04-09,1697.78
2015-04-10,1699.64
2015-04-13,1707.97
2015-04-15,1688.36
2015-04-16,1679.7
2015-04-17,1656.4
2015-04-20,1623.68
2015-04-21,1609.77
2015-04-22,1624.08
2015-04-23,1619.82
2015-04-24,1596.49
2015-04-27,1579.11
2015-04-28,1592.33
2015-04-29,1586.35
2015-04-30,1574.16
2015-05-04,1599.0
2015-05-05,1599.26
2015-05-06,1556.62
2015-05-07,1547.8
2015-05-08,1576.69
2015-05-11,1602.93
2015-05-12,1563.95
2015-05-13,1587.23
2015-05-14,1586.53
2015-05-15,1593.84
2015-05-18,1616.52
2015-05-19,1614.61
2015-05-20,1625.64
2015-05-21,1626.24
2015-05-22,1634.31
2015-05-25,1618.53
2015-05-26,1612.62
2015-05-27,1605.06
2015-05-28,1601.27
2015-05-29,1620.44
2015-06-01,1623.8
2015-06-02,1588.27
2015-06-03,1573.97
2015-06-04,1577.3
2015-06-05,1572.52
2015-06-08,1557.1
2015-06-09,1554.5
2015-06-10,1575.87
2015-06-11,1542.49
2015-06-12,1543.81
2015-06-15,1552.95
2015-06-16,1560.23
2015-06-17,1572.44
2015-06-18,1589.9
2015-06-19,1599.74
2015-06-22,1625.62
2015-06-23,1629.99
2015-06-24,1623.27
2015-06-25,1631.73
2015-06-26,1632.28
2015-06-29,1617.73
2015-06-30,1626.26
2015-07-01,1645.37
2015-07-02,1645.15
2015-07-03,1651.09
2015-07-06,1659.41
2015-07-07,1658.87
2015-07-08,1627.79
2015-07-09,1620.02
2015-07-10,1626.84
2015-07-13,1644.8
2015-07-14,1644.27
2015-07-15,1658.69
2015-07-16,1675.81
2015-07-17,1675.71
2015-07-20,1675.95
2015-07-21,1665.83
2015-07-22,1687.89
2015-07-23,1681.95
2015-07-24,1668.06
2015-07-27,1637.12
2015-07-28,1631.51
2015-07-29,1641.03
2015-07-30,1645.34
2015-07-31,1664.0
2015-08-03,1661.96
2015-08-04,1658.72
2015-08-05,1669.56
2015-08-06,1678.49
2015-08-07,1677.15
2015-08-10,1669.3
2015-08-11,1657.55
2015-08-12,1637.18
2015-08-13,1637.39
2015-08-14,1669.49
2015-08-17,1661.53
2015-08-18,1664.32
2015-08-19,1670.39
2015-08-20,1637.45
2015-08-21,1623.17
2015-08-24,1523.67
2015-08-25,1541.54
2015-08-26,1525.42
2015-08-27,1556.17
2015-08-28,1565.27
2015-08-31,1560.18
2015-09-01,1528.69
2015-09-02,1516.65
2015-09-03,1538.76
2015-09-04,1502.25
2015-09-07,1483.46
2015-09-08,1507.98
