date,value
2014-09-18,5408.08
2014-09-19,5357.7
2014-09-22,5338.28
2014-09-23,5189.36
2014-09-24,5120.62
2014-09-25,4900.87
2014-09-26,5073.58
2014-09-29,5019.3
2014-09-30,5004.31
2014-10-01,4999.92
2014-10-07,4889.97
2014-10-08,4974.63
2014-10-09,5085.16
2014-10-10,4994.47
2014-10-13,5057.91
2014-10-14,5071.79
2014-10-16,4983.81
2014-10-17,5062.58
2014-10-20,5194.5
2014-10-21,5244.93
2014-10-22,5247.82
2014-10-23,5259.61
2014-10-27,5247.59
2014-10-28,5290.13
2014-10-29,5307.11
2014-10-30,5345.99
2014-10-31,5476.46
2014-11-03,5506.67
2014-11-05,5462.35
2014-11-07,5454.27
2014-11-10,5453.88
2014-11-11,5496.3
2014-11-12,5477.45
2014-11-13,5376.36
2014-11-14,5464.3
2014-11-17,5572.22
2014-11-18,5592.64
2014-11-19,5489.25
2014-11-20,5443.63
2014-11-21,5492.26
2014-11-24,5531.02
2014-11-25,5405.26
2014-11-26,5438.97
2014-11-27,5488.15
2014-11-28,5684.35
2014-12-01,5632.44
2014-12-02,5659.3
2014-12-03,5663.39
2014-12-04,5673.45
2014-12-05,5641.26
2014-12-08,5561.86
2014-12-09,5423.28
2014-12-10,5515.75
2014-12-11,5469.95
2014-12-12,5390.33
2014-12-15,5353.54
2014-12-16,5184.25
2014-12-17,5226.96
2014-12-18,5419.0
2014-12-19,5429.85
2014-12-22,5500.82
2014-12-23,5446.11
2014-12-24,5418.98
2014-12-26,5490.76
2014-12-29,5501.8
2014-12-30,5529.18
2014-12-31,5546.38
2015-01-01,5575.85
2015-01-02,5589.46
2015-01-05,5579.07
2015-01-06,5381.73
2015-01-07,5335.66
2015-01-08,5461.72
2015-01-09,5426.16
2015-01-12,5434.24
2015-01-13,5391.23
2015-01-14,5313.73
2015-01-15,5463.42
2015-01-16,5426.82
2015-01-19,5438.21
2015-01-20,5480.62
2015-01-21,5512.53
2015-01-22,5475.66
2015-01-23,5509.49
2015-01-27,5489.09
2015-01-28,5524.89
2015-01-29,5495.41
2015-01-30,5392.97
2015-02-02,5411.71
2015-02-03,5286.85
2015-02-04,5293.22
2015-02-05,5191.37
2015-02-06,5158.83
2015-02-09,5019.35
2015-02-10,5044.43
2015-02-11,5120.5
2015-02-12,5115.98
2015-02-13,5209.44
2015-02-16,5209.54
2015-02-18,5205.9
2015-02-19,5226.23
2015-02-20,5260.79
2015-02-23,5196.28
2015-02-24,5171.83
2015-02-25,5160.24
2015-02-26,5114.4
2015-02-27,5288.84
2015-02-28,5283.67
2015-03-02,5384.73
2015-03-03,5440.54
2015-03-04,5289.61
2015-03-05,5284.3
2015-03-09,5167.33
2015-03-10,5155.94
2015-03-11,5116.36
2015-03-12,5200.79
2015-03-13,5092.76
2015-03-16,5073.34
2015-03-17,5141.51
2015-03-18,5178.31
2015-03-19,5108.9
2015-03-20,5045.59
2015-03-23,5021.71
2015-03-24,5025.79
2015-03-25,4986.16
2015-03-26,4897.73
2015-03-27,4892.13
2015-03-30,4968.87
2015-03-31,4976.36
2015-04-01,5070.23
2015-04-06,5075.63
2015-04-07,5105.82
2015-04-08,5144.88
2015-04-09,5214.2
2015-04-10,5267.35
2015-04-13,5285.38
2015-04-15,5281.66
2015-04-16,5250.75
2015-04-17,5267.73
2015-04-20,5171.38
2015-04-21,5159.51
2015-04-22,5170.16
2015-04-23,5145.01
2015-04-24,5059.6
2015-04-27,4953.49
2015-04-28,5035.39
2015-04-29,5003.05
2015-04-30,5001.36
2015-05-04,5121.06
2015-05-05,5160.31
2015-05-06,4942.93
2015-05-07,4800.8
2015-05-08,4822.42
2015-05-11,4984.91
2015-05-12,4798.5
2015-05-13,4868.59
2015-05-14,4967.65
2015-05-15,4950.17
2015-05-18,4991.15
2015-05-19,5002.17
2015-05-20,4996.84
2015-05-21,4970.73
2015-05-22,4952.67
2015-05-25,4919.29
2015-05-26,4900.82
2015-05-27,4949.83
