#source:nse_price:NIFTY 100
date,value
2014-09-18,8065.7
2014-09-19,8062.8
2014-09-22,8083.8
2014-09-23,7949.65
2014-09-24,7931.85
2014-09-25,7835.75
2014-09-26,7902.15
2014-09-29,7900.6
2014-09-30,7905.7
2014-10-01,7884.25
2014-10-07,7789.3
2014-10-08,7780.55
2014-10-09,7902.45
2014-10-10,7796.15
2014-10-13,7822.4
2014-10-14,7808.95
2014-10-16,7678.5
2014-10-17,7719.85
2014-10-20,7822.3
2014-10-21,7872.65
2014-10-22,7942.95
2014-10-23,7964.8
2014-10-27,7939.2
2014-10-28,7973.15
2014-10-29,8032.8
2014-10-30,8108.0
2014-10-31,8256.85
2014-11-03,8265.85
2014-11-05,8274.5
2014-11-07,8281.75
2014-11-10,8289.95
2014-11-11,8312.95
2014-11-12,8344.05
2014-11-13,8318.1
2014-11-14,8351.9
2014-11-17,8395.75
2014-11-18,8405.4
2014-11-19,8358.2
2014-11-20,8379.25
2014-11-21,8443.0
2014-11-24,8491.8
2014-11-25,8415.75
2014-11-26,8425.9
2014-11-27,8448.15
2014-11-28,8540.6
2014-12-01,8513.0
2014-12-02,8493.85
2014-12-03,8522.75
2014-12-04,8548.5
2014-12-05,8517.15
2014-12-08,8417.85
2014-12-09,8313.75
2014-12-10,8340.5
2014-12-11,8276.45
2014-12-12,8202.65
2014-12-15,8193.85
2014-12-16,8031.05
2014-12-17,7995.85
2014-12-18,8145.8
2014-12-19,8203.95
2014-12-22,8298.9
2014-12-23,8240.35
2014-12-24,8159.65
2014-12-26,8188.45
2014-12-29,8237.65
2014-12-30,8251.1
2014-12-31,8290.45
2015-01-01,8295.55
2015-01-02,8399.9
2015-01-05,8383.35
2015-01-06,8133.9
2015-01-07,8112.35
2015-01-08,8248.8
2015-01-09,8288.95
2015-01-12,8327.05
2015-01-13,8305.3
2015-01-14,8286.45
2015-01-15,8486.2
2015-01-16,8512.0
2015-01-19,8548.3
2015-01-20,8673.1
2015-01-21,8705.0
2015-01-22,8734.6
2015-01-23,8811.65
2015-01-27,8881.0
2015-01-28,8893.3
2015-01-29,8924.3
2015-01-30,8794.95
2015-02-02,8798.2
2015-02-03,8751.3
2015-02-04,8713.95
2015-02-05,8688.45
2015-02-06,8637.75
2015-02-09,8500.4
2015-02-10,8547.7
2015-02-11,8623.85
2015-02-12,8714.75
2015-02-13,8800.2
2015-02-16,8796.35
2015-02-18,8854.3
2015-02-19,8874.85
2015-02-20,8826.35
2015-02-23,8749.15
2015-02-24,8754.2
2015-02-25,8756.0
2015-02-26,8670.95
2015-02-27,8836.35
2015-02-28,8884.5
2015-03-02,8948.5
2015-03-03,8991.4
2015-03-04,8913.0
2015-03-05,8933.6
2015-03-09,8763.3
2015-03-10,8727.6
2015-03-11,8713.8
2015-03-12,8802.8
2015-03-13,8673.9
2015-03-16,8651.1
2015-03-17,8748.1
2015-03-18,8719.75
2015-03-19,8671.3
2015-03-20,8596.3
