date,value
2014-09-18,1990.48
2014-09-19,1999.37
2014-09-22,2000.92
2014-09-23,1983.6
2014-09-24,1994.02
2014-09-25,1988.31
2014-09-26,1991.84
2014-09-29,2001.11
2014-09-30,2011.37
2014-10-01,2015.91
2014-10-07,1996.96
2014-10-08,1968.87
2014-10-09,1984.36
2014-10-10,1969.74
2014-10-13,1973.42
2014-10-14,1963.39
2014-10-16,1942.03
2014-10-17,1918.53
2014-10-20,1936.08
2014-10-21,1942.66
2014-10-22,1965.1
2014-10-23,1969.87
2014-10-27,1956.46
2014-10-28,1965.58
2014-10-29,1987.33
2014-10-30,2007.5
2014-10-31,2038.44
2014-11-03,2033.42
2014-11-05,2044.95
2014-11-07,2055.95
2014-11-10,2070.27
2014-11-11,2066.89
2014-11-12,2075.29
2014-11-13,2075.99
2014-11-14,2079.4
2014-11-17,2089.17
2014-11-18,2080.1
2014-11-19,2072.29
2014-11-20,2079.36
2014-11-21,2081.2
2014-11-24,2090.56
2014-11-25,2071.86
2014-11-26,2076.27
2014-11-27,2087.03
2014-11-28,2102.65
2014-12-01,2119.68
2014-12-02,2104.38
2014-12-03,2109.95
2014-12-04,2118.89
2014-12-05,2102.8
2014-12-08,2079.73
2014-12-09,2064.72
2014-12-10,2062.81
2014-12-11,2052.29
2014-12-12,2046.02
2014-12-15,2025.54
2014-12-16,2004.42
2014-12-17,1983.98
2014-12-18,2012.36
2014-12-19,2019.59
2014-12-22,2039.39
2014-12-23,2027.79
2014-12-24,2003.78
2014-12-26,2010.48
2014-12-29,2032.13
2014-12-30,2033.28
2014-12-31,2041.83
2015-01-01,2041.22
2015-01-02,2062.27
2015-01-05,2061.0
2015-01-06,2013.15
2015-01-07,2007.83
2015-01-08,2043.12
2015-01-09,2071.65
2015-01-12,2083.43
2015-01-13,2086.65
2015-01-14,2093.74
2015-01-15,2120.67
2015-01-16,2130.44
2015-01-19,2133.46
2015-01-20,2153.26
2015-01-21,2159.88
2015-01-22,2175.39
2015-01-23,2188.68
2015-01-27,2188.8
2015-01-28,2198.43
2015-01-29,2212.63
2015-01-30,2195.87
2015-02-02,2191.5
2015-02-03,2198.59
2015-02-04,2190.87
2015-02-05,2205.54
2015-02-06,2191.53
2015-02-09,2175.75
2015-02-10,2178.92
2015-02-11,2195.1
2015-02-12,2210.85
2015-02-13,2239.46
2015-02-16,2247.08
2015-02-18,2266.51
2015-02-19,2268.33
2015-02-20,2260.83
2015-02-23,2242.74
2015-02-24,2250.07
2015-02-25,2252.12
2015-02-26,2224.13
2015-02-27,2254.07
2015-02-28,2257.23
2015-03-02,2264.65
2015-03-03,2273.66
2015-03-04,2265.72
2015-03-05,2270.3
2015-03-09,2248.72
2015-03-10,2243.36
2015-03-11,2235.56
2015-03-12,2254.63
2015-03-13,2223.84
2015-03-16,2225.34
2015-03-17,2242.66
2015-03-18,2225.15
2015-03-19,2223.62
2015-03-20,2207.71
2015-03-23,2202.29
2015-03-24,2197.54
2015-03-25,2203.02
2015-03-26,2160.69
2015-03-27,2154.73
2015-03-30,2189.61
2015-03-31,2198.55
2015-04-01,2211.86
2015-04-06,2245.07
2015-04-07,2247.69
2015-04-08,2275.91
2015-04-09,2275.08
2015-04-10,2279.82
2015-04-13,2293.23
2015-04-15,2265.58
2015-04-16,2241.61
2015-04-17,2204.19
2015-04-20,2170.75
2015-04-21,2135.64
