#source:nse_price:NIFTY200 MOMENTUM 30
date,value
2014-09-18,5460.47
2014-09-19,5385.28
2014-09-22,5385.45
2014-09-23,5263.42
2014-09-24,5212.71
2014-09-25,5132.34
2014-09-26,5246.92
2014-09-29,5291.43
2014-09-30,5300.4
2014-10-01,5281.19
2014-10-07,5216.18
2014-10-08,5233.74
2014-10-09,5307.27
2014-10-10,5198.99
2014-10-13,5220.13
2014-10-14,5207.11
2014-10-16,5085.21
2014-10-17,5155.3
2014-10-20,5286.68
2014-10-21,5320.88
2014-10-22,5386.57
2014-10-23,5402.42
2014-10-27,5397.39
2014-10-28,5419.99
2014-10-29,5453.13
2014-10-30,5496.54
2014-10-31,5611.14
2014-11-03,5639.99
2014-11-05,5663.61
2014-11-07,5691.22
2014-11-10,5718.22
2014-11-11,5772.49
2014-11-12,5822.7
2014-11-13,5791.31
2014-11-14,5841.87
2014-11-17,5842.17
2014-11-18,5892.31
2014-11-19,5829.98
2014-11-20,5811.02
2014-11-21,5830.56
2014-11-24,5847.47
2014-11-25,5744.5
2014-11-26,5743.91
2014-11-27,5775.64
2014-11-28,5881.96
2014-12-01,5879.49
2014-12-02,5893.7
2014-12-03,5979.58
2014-12-04,5970.88
2014-12-05,5931.54
2014-12-08,5857.1
2014-12-09,5749.91
2014-12-10,5769.65
2014-12-11,5712.83
2014-12-12,5682.66
2014-12-15,5650.65
2014-12-16,5544.11
2014-12-17,5484.22
2014-12-18,5666.76
2014-12-19,5691.88
2014-12-22,5740.49
2014-12-23,5684.89
2014-12-24,5654.81
2014-12-26,5687.99
2014-12-29,5759.89
2014-12-30,5805.89
2014-12-31,5826.1
2015-01-01,5841.28
2015-01-02,5868.93
2015-01-05,5898.25
2015-01-06,5732.01
2015-01-07,5746.9
2015-01-08,5878.9
2015-01-09,5866.02
2015-01-12,5924.75
2015-01-13,5904.97
2015-01-14,5876.27
2015-01-15,5979.16
2015-01-16,6026.07
2015-01-19,6062.57
2015-01-20,6110.44
2015-01-21,6130.94
2015-01-22,6165.02
2015-01-23,6226.91
2015-01-27,6292.54
2015-01-28,6302.63
2015-01-29,6362.16
2015-01-30,6361.32
2015-02-02,6388.77
2015-02-03,6288.73
2015-02-04,6246.33
2015-02-05,6177.24
2015-02-06,6089.71
2015-02-09,5952.72
2015-02-10,6013.59
2015-02-11,6188.08
2015-02-12,6282.25
2015-02-13,6331.37
2015-02-16,6251.51
2015-02-18,6302.65
2015-02-19,6346.45
2015-02-20,6332.0
2015-02-23,6248.57
2015-02-24,6267.3
2015-02-25,6234.46
2015-02-26,6163.69
2015-02-27,6325.26
2015-02-28,6405.13
2015-03-02,6557.13
2015-03-03,6571.13
2015-03-04,6487.81
2015-03-05,6557.05
2015-03-09,6449.2
2015-03-10,6468.31
2015-03-11,6444.97
2015-03-12,6530.21
2015-03-13,6400.51
2015-03-16,6413.18
2015-03-17,6491.85
2015-03-18,6507.93
2015-03-19,6461.03
2015-03-20,6350.51
2015-03-23,6335.22
2015-03-24,6343.68
2015-03-25,6349.59
2015-03-26,6266.78
2015-03-27,6295.99
2015-03-30,6427.63
2015-03-31,6441.12
2015-04-01,6536.91
2015-04-06,6595.12
2015-04-07,6595.01
2015-04-08,6618.04
2015-04-09,6667.96
2015-04-10,6662.03
2015-04-13,6678.69
2015-04-15,6607.76
2015-04-16,6549.94
2015-04-17,6359.52
2015-04-20,6235.72
2015-04-21,6177.47
2015-04-22,6208.54
2015-04-23,6243.69
2015-04-24,6128.23
2015-04-27,6007.98
2015-04-28,6133.42
2015-04-29,6159.22
2015-04-30,6207.59
2015-05-04,6311.4
2015-05-05,6346.85
2015-05-06,6083.97
2015-05-07,5953.51
2015-05-08,6128.98
2015-05-11,6245.72
2015-05-12,6110.69
2015-05-13,6214.64
2015-05-14,6266.91
2015-05-15,6303.78
2015-05-18,6368.94
2015-05-19,6350.11
2015-05-20,6366.75
2015-05-21,6374.75
2015-05-22,6379.46
2015-05-25,6371.13
2015-05-26,6386.53
2015-05-27,6399.25
2015-05-28,6342.15
2015-05-29,6493.35
2015-06-01,6494.33
2015-06-02,6313.29
2015-06-03,6253.69
2015-06-04,6246.83
2015-06-05,6225.54
2015-06-08,6148.17
2015-06-09,6083.03
2015-06-10,6170.8
2015-06-11,6014.1
2015-06-12,6047.3
2015-06-15,6037.47
2015-06-16,6087.79
2015-06-17,6185.25
2015-06-18,6257.93
2015-06-19,6309.36
2015-06-22,6411.46
2015-06-23,6442.12
2015-06-24,6427.42
2015-06-25,6457.73
2015-06-26,6459.39
2015-06-29,6375.78
2015-06-30,6454.93
2015-07-01,6555.15
2015-07-02,6614.59
2015-07-03,6595.14
2015-07-06,6655.38
2015-07-07,6653.87
2015-07-08,6546.74
2015-07-09,6542.17
2015-07-10,6564.51
2015-07-13,6685.88
2015-07-14,6701.86
2015-07-15,6722.39
2015-07-16,6831.7
2015-07-17,6837.42
2015-07-20,6878.02
2015-07-21,6753.4
2015-07-22,6862.67
2015-07-23,6833.91
2015-07-24,6795.11
2015-07-27,6711.99
2015-07-28,6731.77
2015-07-29,6788.15
2015-07-30,6800.5
2015-07-31,6890.03
2015-08-03,6918.22
2015-08-04,7013.26
2015-08-05,7077.45
2015-08-06,7097.12
2015-08-07,7054.21
2015-08-10,7055.91
2015-08-11,7006.15
2015-08-12,6834.12
2015-08-13,6860.88
2015-08-14,7029.55
2015-08-17,7024.51
2015-08-18,7055.86
2015-08-19,7081.03
2015-08-20,6960.93
2015-08-21,6870.48
2015-08-24,6325.98
2015-08-25,6449.99
2015-08-26,6405.48
2015-08-27,6560.51
2015-08-28,6570.74
2015-08-31,6562.2
2015-09-01,6362.36
2015-09-02,6290.53
2015-09-03,6386.86
2015-09-04,6259.68
2015-09-07,6117.9
2015-09-08,6211.33
2015-09-09,6339.27
2015-09-10,6343.02
2015-09-11,6371.21
2015-09-14,6467.92
2015-09-15,6399.1
2015-09-16,6383.87
2015-09-18,6448.38
2015-09-21,6461.47
2015-09-22,6353.65
2015-09-23,6412.21
2015-09-24,6424.33
2015-09-28,6418.75
2015-09-29,6451.93
2015-09-30,6579.23
2015-10-01,6616.89
2015-10-05,6668.97
2015-10-06,6700.69
2015-10-07,6684.06
2015-10-08,6615.27
2015-10-09,6610.9
2015-10-12,6600.48
2015-10-13,6600.33
2015-10-14,6620.39
2015-10-15,6645.8
2015-10-16,6684.67
2015-10-19,6748.74
2015-10-20,6752.09
2015-10-21,6721.88
2015-10-23,6723.07
2015-10-26,6657.53
2015-10-27,6660.05
2015-10-28,6603.27
2015-10-29,6573.4
2015-10-30,6586.36
2015-11-02,6566.91
2015-11-03,6571.7
2015-11-04,6552.15
2015-11-05,6462.46
2015-11-06,6371.53
2015-11-09,6392.64
2015-11-10,6278.11
2015-11-11,6329.17
2015-11-13,6229.29
2015-11-16,6239.15
2015-11-17,6272.54
2015-11-18,6233.66
2015-11-19,6313.1
2015-11-20,6376.71
2015-11-23,6412.92
2015-11-24,6389.45
2015-11-26,6317.28
2015-11-27,6354.67
2015-11-30,6348.9
2015-12-01,6386.63
2015-12-02,6404.15
2015-12-03,6360.46
2015-12-04,6299.69
2015-12-07,6302.74
