date,value
2014-09-18,6134.98
2014-09-19,6050.5
2014-09-22,6050.69
2014-09-23,5913.59
2014-09-24,5856.61
2014-09-25,5766.31
2014-09-26,5895.05
2014-09-29,5945.06
2014-09-30,5955.13
2014-10-01,5933.55
2014-10-07,5860.51
2014-10-08,5880.24
2014-10-09,5962.85
2014-10-10,5841.2
2014-10-13,5864.95
2014-10-14,5850.32
2014-10-16,5713.36
2014-10-17,5792.11
2014-10-20,5939.72
2014-10-21,5978.14
2014-10-22,6052.11
2014-10-23,6069.92
2014-10-27,6064.27
2014-10-28,6089.66
2014-10-29,6126.89
2014-10-30,6175.67
2014-10-31,6304.43
2014-11-03,6336.84
2014-11-05,6363.38
2014-11-07,6394.4
2014-11-10,6424.74
2014-11-11,6485.71
2014-11-12,6542.12
2014-11-13,6506.86
2014-11-14,6563.67
2014-11-17,6564.01
2014-11-18,6620.34
2014-11-19,6550.31
2014-11-20,6529.01
2014-11-21,6550.96
2014-11-24,6569.96
2014-11-25,6454.27
2014-11-26,6453.61
2014-11-27,6489.26
2014-11-28,6608.72
2014-12-01,6605.94
2014-12-02,6621.91
2014-12-03,6718.4
2014-12-04,6708.62
2014-12-05,6664.42
2014-12-08,6580.78
2014-12-09,6460.35
2014-12-10,6482.53
2014-12-11,6418.69
2014-12-12,6384.79
2014-12-15,6348.83
2014-12-16,6229.12
2014-12-17,6161.83
2014-12-18,6366.93
2014-12-19,6395.15
2014-12-22,6449.77
2014-12-23,6387.3
2014-12-24,6353.5
2014-12-26,6390.78
2014-12-29,6471.56
2014-12-30,6523.25
2014-12-31,6545.95
2015-01-01,6563.01
2015-01-02,6594.08
2015-01-05,6627.02
2015-01-06,6440.24
2015-01-07,6456.97
2015-01-08,6605.28
2015-01-09,6590.81
2015-01-12,6656.79
2015-01-13,6634.57
2015-01-14,6602.32
2015-01-15,6717.92
2015-01-16,6770.63
2015-01-19,6811.64
2015-01-20,6865.43
2015-01-21,6888.46
2015-01-22,6926.75
2015-01-23,6996.29
2015-01-27,7070.03
2015-01-28,7081.36
2015-01-29,7148.25
2015-01-30,7147.3
2015-02-02,7178.14
2015-02-03,7065.74
2015-02-04,7018.23
2015-02-05,6940.6
2015-02-06,6842.97
2015-02-09,6689.04
2015-02-10,6757.44
2015-02-11,6954.57
2015-02-12,7060.41
2015-02-13,7115.61
2015-02-16,7026.56
2015-02-18,7084.04
2015-02-19,7133.27
2015-02-20,7117.03
2015-02-23,7023.25
2015-02-24,7044.3
2015-02-25,7007.39
2015-02-26,6927.85
2015-02-27,7109.45
2015-02-28,7199.22
