#source:nse_tri:NIFTY200 QUALITY 30
date,value
2014-09-18,8061.22
2014-09-19,8076.47
2014-09-22,8098.66
2014-09-23,7995.58
2014-09-24,8028.07
2014-09-25,7986.14
2014-09-26,8028.11
2014-09-29,8070.45
2014-09-30,8122.79
2014-10-01,8141.12
2014-10-07,8042.67
2014-10-08,7938.42
2014-10-09,7996.44
2014-10-10,7957.59
2014-10-13,7958.17
2014-10-14,7929.93
2014-10-16,7828.32
2014-10-17,7791.99
2014-10-20,7866.79
2014-10-21,7903.67
2014-10-22,7979.6
2014-10-23,8006.09
2014-10-27,7961.36
2014-10-28,7977.33
2014-10-29,8035.55
2014-10-30,8114.16
2014-10-31,8238.23
2014-11-03,8201.08
2014-11-05,8213.82
2014-11-07,8250.16
2014-11-10,8312.14
2014-11-11,8295.86
2014-11-12,8311.78
2014-11-13,8337.99
2014-11-14,8359.45
2014-11-17,8385.27
2014-11-18,8348.42
2014-11-19,8308.56
2014-11-20,8347.5
2014-11-21,8355.01
2014-11-24,8398.07
2014-11-25,8350.25
2014-11-26,8375.14
2014-11-27,8426.43
2014-11-28,8459.05
2014-12-01,8533.22
2014-12-02,8487.48
2014-12-03,8552.6
2014-12-04,8588.6
2014-12-05,8504.13
2014-12-08,8422.52
2014-12-09,8344.17
2014-12-10,8342.71
2014-12-11,8280.98
2014-12-12,8201.77
2014-12-15,8140.8
2014-12-16,8037.13
2014-12-17,7969.49
2014-12-18,8104.69
2014-12-19,8129.61
2014-12-22,8213.99
2014-12-23,8184.6
2014-12-24,8079.55
2014-12-26,8117.29
2014-12-29,8190.09
2014-12-30,8202.75
2014-12-31,8230.68
2015-01-01,8237.97
2015-01-02,8301.47
2015-01-05,8279.54
2015-01-06,8079.98
2015-01-07,8055.4
2015-01-08,8189.36
2015-01-09,8293.36
2015-01-12,8346.74
2015-01-13,8346.22
2015-01-14,8373.42
2015-01-15,8445.45
2015-01-16,8511.84
2015-01-19,8524.84
2015-01-20,8569.12
2015-01-21,8611.77
2015-01-22,8645.79
2015-01-23,8682.12
2015-01-27,8679.08
2015-01-28,8747.82
2015-01-29,8782.47
2015-01-30,8740.63
2015-02-02,8697.7
2015-02-03,8697.41
2015-02-04,8694.74
2015-02-05,8712.79
2015-02-06,8668.47
2015-02-09,8625.82
2015-02-10,8628.45
2015-02-11,8699.03
2015-02-12,8751.85
2015-02-13,8825.07
2015-02-16,8817.87
2015-02-18,8842.93
2015-02-19,8853.1
2015-02-20,8825.34
2015-02-23,8737.72
2015-02-24,8765.27
2015-02-25,8741.34
2015-02-26,8657.18
2015-02-27,8764.27
2015-02-28,8802.26
2015-03-02,8847.8
2015-03-03,8920.13
2015-03-04,8873.01
2015-03-05,8939.29
2015-03-09,8895.79
2015-03-10,8876.56
2015-03-11,8861.46
2015-03-12,8921.96
2015-03-13,8798.01
2015-03-16,8807.94
2015-03-17,8888.26
2015-03-18,8839.09
2015-03-19,8834.66
2015-03-20,8744.13
2015-03-23,8727.97
2015-03-24,8763.95
2015-03-25,8768.47
2015-03-26,8633.09
2015-03-27,8588.1
2015-03-30,8699.37
2015-03-31,8707.15
2015-04-01,8755.42
2015-04-06,8891.68
2015-04-07,8941.74
2015-04-08,8990.98
2015-04-09,8987.92
2015-04-10,8994.03
2015-04-13,9062.02
2015-04-15,8944.69
2015-04-16,8864.19
2015-04-17,8715.59
2015-04-20,8550.89
2015-04-21,8435.46
2015-04-22,8435.96
2015-04-23,8441.08
2015-04-24,8364.87
2015-04-27,8230.91
2015-04-28,8265.03
2015-04-29,8273.24
2015-04-30,8215.97
2015-05-04,8409.7
2015-05-05,8444.73
2015-05-06,8242.86
2015-05-07,8238.5
2015-05-08,8322.08
2015-05-11,8410.89
2015-05-12,8317.06
2015-05-13,8355.26
2015-05-14,8371.1
2015-05-15,8408.53
2015-05-18,8490.26
2015-05-19,8503.93
2015-05-20,8532.12
2015-05-21,8576.56
2015-05-22,8642.33
2015-05-25,8591.53
2015-05-26,8579.04
2015-05-27,8514.61
2015-05-28,8502.05
2015-05-29,8597.76
2015-06-01,8560.68
2015-06-02,8379.49
2015-06-03,8281.77
2015-06-04,8237.89
2015-06-05,8248.12
2015-06-08,8153.85
2015-06-09,8098.35
2015-06-10,8193.59
2015-06-11,8054.04
2015-06-12,8035.51
2015-06-15,8084.66
2015-06-16,8131.72
2015-06-17,8208.52
2015-06-18,8276.7
2015-06-19,8323.78
2015-06-22,8415.91
2015-06-23,8405.43
2015-06-24,8405.5
2015-06-25,8388.51
