#source:nse_price:NIFTY ALPHA 50
date,value
2014-09-18,7617.24
2014-09-19,7637.49
2014-09-22,7591.51
2014-09-23,7423.39
2014-09-24,7313.4
2014-09-25,7210.92
2014-09-26,7268.52
2014-09-29,7386.42
2014-09-30,7418.6
2014-10-01,7417.13
2014-10-07,7366.95
2014-10-08,7281.87
2014-10-09,7399.0
2014-10-10,7290.35
2014-10-13,7312.59
2014-10-14,7277.27
2014-10-16,7031.69
2014-10-17,7028.17
2014-10-20,7119.35
2014-10-21,7237.52
2014-10-22,7334.58
2014-10-23,7393.83
2014-10-27,7335.44
2014-10-28,7348.63
2014-10-29,7431.47
2014-10-30,7509.16
2014-10-31,7622.94
2014-11-03,7714.76
2014-11-05,7759.7
2014-11-07,7785.17
2014-11-10,7823.71
2014-11-11,7898.61
2014-11-12,7954.48
2014-11-13,7964.58
2014-11-14,7971.46
2014-11-17,8001.49
2014-11-18,8048.68
2014-11-19,8075.47
2014-11-20,8080.33
2014-11-21,8006.82
2014-11-24,8035.27
2014-11-25,7963.58
2014-11-26,7981.53
2014-11-27,8005.61
2014-11-28,8037.93
2014-12-01,7998.57
2014-12-02,8062.37
2014-12-03,8235.93
2014-12-04,8282.48
2014-12-05,8253.21
2014-12-08,8161.28
2014-12-09,8044.39
2014-12-10,8146.66
2014-12-11,8057.28
2014-12-12,7987.08
2014-12-15,7921.82
2014-12-16,7700.74
2014-12-17,7598.28
2014-12-18,7872.04
2014-12-19,7969.55
2014-12-22,8016.47
2014-12-23,7990.21
2014-12-24,7972.32
2014-12-26,8015.47
2014-12-29,8120.92
2014-12-30,8166.79
2014-12-31,8283.31
2015-01-01,8319.42
2015-01-02,8413.83
2015-01-05,8402.64
2015-01-06,8145.13
2015-01-07,8191.78
2015-01-08,8343.39
2015-01-09,8379.46
2015-01-12,8426.75
2015-01-13,8466.89
2015-01-14,8460.28
2015-01-15,8524.88
2015-01-16,8580.31
2015-01-19,8604.92
2015-01-20,8631.96
2015-01-21,8573.93
2015-01-22,8614.34
2015-01-23,8564.71
2015-01-27,8651.28
2015-01-28,8701.87
2015-01-29,8646.49
2015-01-30,8583.72
2015-02-02,8660.54
2015-02-03,8648.33
2015-02-04,8634.0
2015-02-05,8553.69
2015-02-06,8407.83
2015-02-09,8246.94
2015-02-10,8324.31
2015-02-11,8517.24
2015-02-12,8644.66
2015-02-13,8726.27
2015-02-16,8732.13
2015-02-18,8838.64
2015-02-19,8815.46
2015-02-20,8793.6
2015-02-23,8721.26
2015-02-24,8706.57
2015-02-25,8693.44
2015-02-26,8568.78
2015-02-27,8715.14
2015-02-28,8721.86
2015-03-02,8890.38
2015-03-03,9021.12
2015-03-04,8923.06
2015-03-05,9047.26
2015-03-09,8945.56
2015-03-10,8963.69
2015-03-11,8966.51
2015-03-12,9111.55
2015-03-13,9007.67
2015-03-16,9057.69
2015-03-17,9182.58
2015-03-18,9181.81
2015-03-19,9142.57
2015-03-20,8992.27
2015-03-23,8924.24
2015-03-24,8867.24
2015-03-25,8833.07
2015-03-26,8751.6
2015-03-27,8784.83
2015-03-30,8956.58
2015-03-31,9041.87
2015-04-01,9184.55
2015-04-06,9294.73
2015-04-07,9361.73
2015-04-08,9418.38
2015-04-09,9407.87
2015-04-10,9413.54
2015-04-13,9424.59
2015-04-15,9385.23
2015-04-16,9314.1
2015-04-17,9175.88
2015-04-20,9011.47
2015-04-21,8975.8
2015-04-22,8926.62
2015-04-23,8893.42
2015-04-24,8650.8
2015-04-27,8332.54
2015-04-28,8459.63
2015-04-29,8619.47
2015-04-30,8627.15
2015-05-04,8805.3
2015-05-05,8872.3
2015-05-06,8536.61
2015-05-07,8331.88
2015-05-08,8458.13
2015-05-11,8622.61
2015-05-12,8433.22
2015-05-13,8568.75
2015-05-14,8679.94
2015-05-15,8764.98
2015-05-18,8858.92
2015-05-19,8902.56
2015-05-20,8897.8
2015-05-21,8879.99
2015-05-22,8897.11
2015-05-25,8915.52
2015-05-26,8926.08
2015-05-27,8940.25
2015-05-28,8896.07
2015-05-29,9101.99
2015-06-01,9127.63
2015-06-02,8909.06
2015-06-03,8703.39
2015-06-04,8736.4
2015-06-05,8753.41
2015-06-08,8606.86
2015-06-09,8526.9
2015-06-10,8644.37
2015-06-11,8512.69
2015-06-12,8481.09
2015-06-15,8514.07
2015-06-16,8576.94
2015-06-17,8752.54
2015-06-18,8858.61
2015-06-19,8866.16
2015-06-22,8999.99
2015-06-23,9025.41
2015-06-24,8983.29
2015-06-25,8990.16
2015-06-26,9025.71
2015-06-29,8858.32
2015-06-30,8975.14
2015-07-01,9111.15
2015-07-02,9224.89
2015-07-03,9181.5
2015-07-06,9258.77
2015-07-07,9327.03
2015-07-08,9181.93
2015-07-09,9165.11
2015-07-10,9193.53
2015-07-13,9322.33
2015-07-14,9382.03
