date,value
2014-09-18,5923.84
2014-09-19,5937.0
2014-09-22,5933.63
2014-09-23,5864.1
2014-09-24,5873.13
2014-09-25,5850.73
2014-09-26,5890.15
2014-09-29,5943.01
2014-09-30,6001.81
2014-10-01,5985.89
2014-10-07,5938.08
2014-10-08,5877.66
2014-10-09,5908.59
2014-10-10,5838.69
2014-10-13,5815.93
2014-10-14,5819.65
2014-10-16,5724.9
2014-10-17,5731.01
2014-10-20,5793.44
2014-10-21,5819.88
2014-10-22,5883.98
2014-10-23,5918.49
2014-10-27,5894.03
2014-10-28,5921.44
2014-10-29,5980.29
2014-10-30,6006.21
2014-10-31,6101.43
2014-11-03,6099.1
2014-11-05,6107.71
2014-11-07,6155.37
2014-11-10,6231.71
2014-11-11,6285.42
2014-11-12,6277.2
2014-11-13,6301.21
2014-11-14,6337.95
2014-11-17,6364.53
2014-11-18,6394.11
2014-11-19,6414.27
2014-11-20,6433.19
2014-11-21,6423.03
2014-11-24,6435.29
2014-11-25,6388.65
2014-11-26,6394.11
2014-11-27,6433.91
2014-11-28,6482.07
2014-12-01,6523.15
2014-12-02,6532.66
2014-12-03,6645.18
2014-12-04,6658.95
2014-12-05,6610.99
2014-12-08,6554.67
2014-12-09,6510.31
2014-12-10,6495.29
2014-12-11,6447.87
2014-12-12,6392.73
2014-12-15,6355.66
2014-12-16,6257.21
2014-12-17,6172.51
2014-12-18,6311.84
2014-12-19,6334.17
2014-12-22,6380.42
2014-12-23,6377.34
2014-12-24,6330.59
2014-12-26,6363.5
2014-12-29,6446.67
2014-12-30,6464.47
2014-12-31,6478.2
2015-01-01,6484.12
2015-01-02,6530.37
2015-01-05,6537.65
2015-01-06,6385.23
2015-01-07,6393.35
2015-01-08,6473.1
2015-01-09,6510.56
2015-01-12,6562.58
2015-01-13,6594.83
2015-01-14,6654.66
2015-01-15,6739.85
2015-01-16,6793.56
2015-01-19,6825.35
2015-01-20,6825.79
2015-01-21,6844.01
2015-01-22,6888.32
2015-01-23,6898.0
2015-01-27,6951.99
2015-01-28,6978.35
2015-01-29,6997.37
2015-01-30,6974.1
2015-02-02,6950.47
2015-02-03,6907.82
2015-02-04,6866.95
2015-02-05,6848.57
2015-02-06,6793.52
2015-02-09,6733.53
2015-02-10,6772.62
2015-02-11,6876.74
2015-02-12,6983.2
2015-02-13,7047.29
2015-02-16,7038.49
2015-02-18,7123.82
2015-02-19,7115.75
2015-02-20,7119.43
2015-02-23,7063.7
2015-02-24,7077.97
2015-02-25,7051.17
2015-02-26,6947.11
2015-02-27,7052.49
2015-02-28,7084.67
2015-03-02,7195.5
2015-03-03,7231.22
2015-03-04,7200.14
2015-03-05,7285.11
2015-03-09,7261.05
