#source:nse_tri:NIFTY BANK
date,value
2014-09-18,21013.49
2014-09-19,21007.35
2014-09-22,21062.52
2014-09-23,20683.15
2014-09-24,20471.75
2014-09-25,19897.85
2014-09-26,20298.68
2014-09-29,20124.8
2014-09-30,20019.08
2014-10-01,19920.17
2014-10-07,19743.32
2014-10-08,19956.31
2014-10-09,20472.9
2014-10-10,20099.12
2014-10-13,20390.05
2014-10-14,20486.35
2014-10-16,20213.27
2014-10-17,20718.16
2014-10-20,21091.23
2014-10-21,21365.16
2014-10-22,21387.88
2014-10-23,21420.82
2014-10-27,21533.42
2014-10-28,21676.97
2014-10-29,21634.13
2014-10-30,21798.02
2014-10-31,22168.65
2014-11-03,22284.48
2014-11-05,22569.14
2014-11-07,22561.48
2014-11-10,22451.39
2014-11-11,22617.59
2014-11-12,22873.61
2014-11-13,22699.28
2014-11-14,22860.29
2014-11-17,22942.97
2014-11-18,23023.8
2014-11-19,22871.8
2014-11-20,22949.01
2014-11-21,23483.91
2014-11-24,23777.41
2014-11-25,23458.88
2014-11-26,23379.41
2014-11-27,23439.92
2014-11-28,24078.08
2014-12-01,24093.85
2014-12-02,24133.61
2014-12-03,24250.65
2014-12-04,24428.83
2014-12-05,24394.88
2014-12-08,24074.07
2014-12-09,23788.68
2014-12-10,24012.78
2014-12-11,23937.42
2014-12-12,23800.53
2014-12-15,23895.37
2014-12-16,23190.28
2014-12-17,23236.09
2014-12-18,23835.45
2014-12-19,24033.53
2014-12-22,24382.68
2014-12-23,24195.92
2014-12-24,24106.98
2014-12-26,24135.4
2014-12-29,24097.85
2014-12-30,24252.86
2014-12-31,24368.73
2015-01-01,24386.71
2015-01-02,24786.46
2015-01-05,24733.88
2015-01-06,23970.92
2015-01-07,23806.38
2015-01-08,24322.91
2015-01-09,24239.46
2015-01-12,24445.78
2015-01-13,24330.43
2015-01-14,24195.98
2015-01-15,25017.74
2015-01-16,25001.53
2015-01-19,25239.4
2015-01-20,25708.87
2015-01-21,25807.97
2015-01-22,25904.79
2015-01-23,26106.42
2015-01-27,26734.05
2015-01-28,26651.44
2015-01-29,26699.36
2015-01-30,25808.67
2015-02-02,25837.43
2015-02-03,25209.31
2015-02-04,24937.55
2015-02-05,24778.8
2015-02-06,24433.86
2015-02-09,23935.9
2015-02-10,24389.36
2015-02-11,24634.29
2015-02-12,24878.55
2015-02-13,25192.1
2015-02-16,24958.31
2015-02-18,25096.9
2015-02-19,24956.19
2015-02-20,24806.94
2015-02-23,24598.67
2015-02-24,24560.13
2015-02-25,24364.05
2015-02-26,24110.5
2015-02-27,24808.21
2015-02-28,25610.22
2015-03-02,26022.4
2015-03-03,25961.43
2015-03-04,25548.7
2015-03-05,25684.1
2015-03-09,24900.55
2015-03-10,24782.05
2015-03-11,24768.48
2015-03-12,24895.76
2015-03-13,24424.87
2015-03-16,24499.73
2015-03-17,24787.06
2015-03-18,24902.8
2015-03-19,24465.63
2015-03-20,24199.32
2015-03-23,23994.63
2015-03-24,23841.77
2015-03-25,23813.98
2015-03-26,23191.72
2015-03-27,23468.96
2015-03-30,23881.21
2015-03-31,23679.45
2015-04-01,24214.25
2015-04-06,24198.12
2015-04-07,24021.02
2015-04-08,23952.51
2015-04-09,24549.78
2015-04-10,24452.23
2015-04-13,24448.88
2015-04-15,24342.29
2015-04-16,24239.23
2015-04-17,23860.07
2015-04-20,23557.35
2015-04-21,23548.23
2015-04-22,23727.65
2015-04-23,23730.13
2015-04-24,23413.15
2015-04-27,23108.39
2015-04-28,23730.96
2015-04-29,23804.3
2015-04-30,23850.38
2015-05-04,24062.65
2015-05-05,24023.87
2015-05-06,23149.99
2015-05-07,22600.29
2015-05-08,23146.12
2015-05-11,23670.47
2015-05-12,22927.68
2015-05-13,23537.4
2015-05-14,23561.82
2015-05-15,23648.88
2015-05-18,23960.76
2015-05-19,23905.42
2015-05-20,24132.69
2015-05-21,24085.27
2015-05-22,23981.37
2015-05-25,23840.26
2015-05-26,23846.03
2015-05-27,24118.69
2015-05-28,24033.37
2015-05-29,24387.91
2015-06-01,24251.97
2015-06-02,23418.65
2015-06-03,23085.33
2015-06-04,23153.48
2015-06-05,22931.46
2015-06-08,22778.98
2015-06-09,22853.86
2015-06-10,23137.86
2015-06-11,22611.51
2015-06-12,22897.87
2015-06-15,22813.1
2015-06-16,23008.37
2015-06-17,22984.29
2015-06-18,23180.89
2015-06-19,23373.44
2015-06-22,23972.56
2015-06-23,24046.91
2015-06-24,24013.2
2015-06-25,24183.4
2015-06-26,24024.67
2015-06-29,23854.31
2015-06-30,23926.03
2015-07-01,24299.37
2015-07-02,24343.08
2015-07-03,24531.85
2015-07-06,24656.92
2015-07-07,24622.0
2015-07-08,24182.79
2015-07-09,24261.77
2015-07-10,24541.14
2015-07-13,24768.91
2015-07-14,24620.31
2015-07-15,24667.54
2015-07-16,25128.76
2015-07-17,25032.64
2015-07-20,24951.33
2015-07-21,24545.87
2015-07-22,24904.55
2015-07-23,24731.45
2015-07-24,24431.07
2015-07-27,23876.82
2015-07-28,23968.26
2015-07-29,24021.46
2015-07-30,24174.87
2015-07-31,24554.3
2015-08-03,24796.61
2015-08-04,24872.54
2015-08-05,24814.82
2015-08-06,24946.95
2015-08-07,24773.62
2015-08-10,24749.26
2015-08-11,24410.89
2015-08-12,23680.29
2015-08-13,23831.98
2015-08-14,24550.74
2015-08-17,24679.84
2015-08-18,24625.86
2015-08-19,24524.07
2015-08-20,23973.15
2015-08-21,23677.0
2015-08-24,22043.99
2015-08-25,22543.49
2015-08-26,22182.77
2015-08-27,22571.86
2015-08-28,22568.66
2015-08-31,22482.89
2015-09-01,21674.87
2015-09-02,21310.89
2015-09-03,21707.75
2015-09-04,21148.81
2015-09-07,20704.33
2015-09-08,21439.69
2015-09-09,21807.58
2015-09-10,21763.19
2015-09-11,21782.77
2015-09-14,22175.09
2015-09-15,21949.22
2015-09-16,22244.65
2015-09-18,22827.22
2015-09-21,23002.61
2015-09-22,22331.62
2015-09-23,22625.5
2015-09-24,22548.61
2015-09-28,22422.29
2015-09-29,22659.45
2015-09-30,22574.39
2015-10-01,22487.68
2015-10-05,23174.58
2015-10-06,23084.51
