#source:nse_tri:NIFTY COMMODITIES
date,value
2014-09-18,3526.77
2014-09-19,3508.39
2014-09-22,3501.68
2014-09-23,3435.91
2014-09-24,3433.96
2014-09-25,3335.08
2014-09-26,3405.69
2014-09-29,3389.83
2014-09-30,3383.76
2014-10-01,3357.09
2014-10-07,3299.36
2014-10-08,3342.68
2014-10-09,3394.34
2014-10-10,3312.97
2014-10-13,3327.93
2014-10-14,3318.0
2014-10-16,3231.69
2014-10-17,3251.54
2014-10-20,3322.54
2014-10-21,3341.71
2014-10-22,3362.95
2014-10-23,3380.31
2014-10-27,3350.97
2014-10-28,3365.54
2014-10-29,3414.12
2014-10-30,3433.1
2014-10-31,3508.13
2014-11-03,3512.18
2014-11-05,3455.64
2014-11-07,3448.5
2014-11-10,3447.21
2014-11-11,3457.16
2014-11-12,3433.51
2014-11-13,3388.21
2014-11-14,3436.42
2014-11-17,3439.1
2014-11-18,3445.51
2014-11-19,3386.13
2014-11-20,3371.8
2014-11-21,3385.52
2014-11-24,3407.99
2014-11-25,3369.0
2014-11-26,3391.53
2014-11-27,3389.47
2014-11-28,3418.7
2014-12-01,3359.18
2014-12-02,3364.05
2014-12-03,3379.05
2014-12-04,3372.58
2014-12-05,3366.03
2014-12-08,3331.44
2014-12-09,3256.17
2014-12-10,3268.88
2014-12-11,3223.49
2014-12-12,3177.42
2014-12-15,3169.0
2014-12-16,3087.88
2014-12-17,3092.46
2014-12-18,3151.28
2014-12-19,3196.45
2014-12-22,3241.49
2014-12-23,3215.67
2014-12-24,3192.87
2014-12-26,3200.35
2014-12-29,3240.76
2014-12-30,3222.24
2014-12-31,3245.93
2015-01-01,3256.17
2015-01-02,3290.41
2015-01-05,3285.1
2015-01-06,3166.76
2015-01-07,3159.2
2015-01-08,3215.16
2015-01-09,3214.71
2015-01-12,3188.92
2015-01-13,3194.49
2015-01-14,3169.31
2015-01-15,3238.75
2015-01-16,3242.03
2015-01-19,3258.48
2015-01-20,3308.5
2015-01-21,3300.92
2015-01-22,3310.86
2015-01-23,3340.46
2015-01-27,3331.01
2015-01-28,3337.38
2015-01-29,3364.21
2015-01-30,3352.71
2015-02-02,3334.75
2015-02-03,3353.24
2015-02-04,3388.28
2015-02-05,3336.92
2015-02-06,3307.64
2015-02-09,3253.56
2015-02-10,3272.34
2015-02-11,3309.01
2015-02-12,3336.37
2015-02-13,3361.89
2015-02-16,3351.43
2015-02-18,3356.13
2015-02-19,3396.15
2015-02-20,3368.44
2015-02-23,3336.59
2015-02-24,3305.15
2015-02-25,3305.44
2015-02-26,3289.41
2015-02-27,3383.36
2015-02-28,3382.03
2015-03-02,3450.48
2015-03-03,3470.61
2015-03-04,3399.16
2015-03-05,3371.07
2015-03-09,3295.05
2015-03-10,3275.89
2015-03-11,3243.74
2015-03-12,3291.84
2015-03-13,3244.24
2015-03-16,3213.47
2015-03-17,3250.29
2015-03-18,3246.7
2015-03-19,3238.0
2015-03-20,3213.98
2015-03-23,3213.89
2015-03-24,3212.58
2015-03-25,3193.85
2015-03-26,3156.13
2015-03-27,3150.38
2015-03-30,3203.07
2015-03-31,3207.48
2015-04-01,3230.59
2015-04-06,3247.0
2015-04-07,3291.35
2015-04-08,3320.01
2015-04-09,3342.44
2015-04-10,3358.57
2015-04-13,3374.27
2015-04-15,3365.16
2015-04-16,3359.73
2015-04-17,3347.98
2015-04-20,3282.85
2015-04-21,3263.35
2015-04-22,3278.2
2015-04-23,3272.75
2015-04-24,3253.09
2015-04-27,3211.65
2015-04-28,3238.61
2015-04-29,3221.0
2015-04-30,3204.53
2015-05-04,3290.31
2015-05-05,3321.51
2015-05-06,3209.22
2015-05-07,3180.23
2015-05-08,3217.11
2015-05-11,3281.68
2015-05-12,3186.23
2015-05-13,3217.51
2015-05-14,3241.76
2015-05-15,3236.68
2015-05-18,3279.08
2015-05-19,3283.07
2015-05-20,3279.08
2015-05-21,3278.54
2015-05-22,3272.81
2015-05-25,3248.36
2015-05-26,3231.76
2015-05-27,3241.22
2015-05-28,3228.33
2015-05-29,3273.12
2015-06-01,3287.9
2015-06-02,3229.66
2015-06-03,3173.69
2015-06-04,3177.36
2015-06-05,3191.54
2015-06-08,3150.98
2015-06-09,3156.19
2015-06-10,3182.72
2015-06-11,3120.01
2015-06-12,3118.71
2015-06-15,3112.44
2015-06-16,3121.88
2015-06-17,3144.91
2015-06-18,3180.77
2015-06-19,3206.33
2015-06-22,3232.15
2015-06-23,3270.45
2015-06-24,3230.71
2015-06-25,3243.81
2015-06-26,3241.05
2015-06-29,3210.31
2015-06-30,3248.05
2015-07-01,3291.91
2015-07-02,3289.84
2015-07-03,3275.78
2015-07-06,3295.21
2015-07-07,3294.01
2015-07-08,3224.78
2015-07-09,3193.08
2015-07-10,3206.26
2015-07-13,3235.72
2015-07-14,3246.34
2015-07-15,3264.78
2015-07-16,3292.74
2015-07-17,3295.7
2015-07-20,3311.05
2015-07-21,3247.69
2015-07-22,3297.1
2015-07-23,3292.22
2015-07-24,3263.1
2015-07-27,3197.62
2015-07-28,3186.27
2015-07-29,3185.73
2015-07-30,3195.2
2015-07-31,3208.93
2015-08-03,3199.9
2015-08-04,3221.78
2015-08-05,3236.32
2015-08-06,3227.57
2015-08-07,3236.63
2015-08-10,3204.2
2015-08-11,3150.19
2015-08-12,3056.4
2015-08-13,3032.22
2015-08-14,3070.49
2015-08-17,3057.89
2015-08-18,3053.32
2015-08-19,3051.35
2015-08-20,2988.7
2015-08-21,2964.15
2015-08-24,2741.11
2015-08-25,2800.32
2015-08-26,2791.13
2015-08-27,2859.54
2015-08-28,2886.43
2015-08-31,2873.62
2015-09-01,2822.68
2015-09-02,2797.92
2015-09-03,2852.38
2015-09-04,2792.86
2015-09-07,2755.0
2015-09-08,2786.63
2015-09-09,2858.36
2015-09-10,2844.75
2015-09-11,2830.63
2015-09-14,2876.63
2015-09-15,2850.25
2015-09-16,2852.51
2015-09-18,2879.37
2015-09-21,2869.18
2015-09-22,2796.09
2015-09-23,2806.58
2015-09-24,2783.01
2015-09-28,2751.25
2015-09-29,2734.88
2015-09-30,2788.7
2015-10-01,2807.26
2015-10-05,2865.4
