#source:nse_tri:NIFTY ENERGY
date,value
2014-09-18,13519.79
2014-09-19,13395.56
2014-09-22,13472.92
2014-09-23,13170.13
2014-09-24,13208.87
2014-09-25,12849.27
2014-09-26,13005.5
2014-09-29,12989.44
2014-09-30,13063.73
2014-10-01,12874.61
2014-10-07,12829.8
2014-10-08,13030.02
2014-10-09,13195.97
2014-10-10,13108.69
2014-10-13,13121.9
2014-10-14,13103.08
2014-10-16,12822.32
2014-10-17,12900.52
2014-10-20,13120.0
2014-10-21,13118.46
2014-10-22,13170.77
2014-10-23,13242.06
2014-10-27,13102.06
2014-10-28,13110.39
2014-10-29,13235.03
2014-10-30,13440.28
2014-10-31,13745.12
2014-11-03,13694.2
2014-11-05,13558.48
2014-11-07,13540.15
2014-11-10,13432.9
2014-11-11,13490.99
2014-11-12,13356.44
2014-11-13,13195.83
2014-11-14,13285.79
2014-11-17,13433.78
2014-11-18,13436.47
2014-11-19,13252.16
2014-11-20,13269.24
2014-11-21,13361.09
2014-11-24,13268.54
2014-11-25,13265.9
2014-11-26,13273.94
2014-11-27,13293.38
2014-11-28,13331.55
2014-12-01,12961.84
2014-12-02,12890.67
2014-12-03,13021.07
2014-12-04,12946.05
2014-12-05,12877.56
2014-12-08,12776.85
2014-12-09,12555.03
2014-12-10,12582.94
2014-12-11,12284.48
2014-12-12,12001.58
2014-12-15,11969.82
2014-12-16,11766.27
2014-12-17,11805.33
2014-12-18,12002.11
2014-12-19,12220.55
2014-12-22,12373.93
2014-12-23,12290.44
2014-12-24,12088.19
2014-12-26,12137.04
2014-12-29,12214.75
2014-12-30,12098.59
2014-12-31,12193.19
2015-01-01,12179.1
2015-01-02,12232.32
2015-01-05,12208.16
2015-01-06,11717.74
2015-01-07,11860.14
2015-01-08,11924.47
2015-01-09,12062.62
2015-01-12,11943.11
2015-01-13,11817.68
2015-01-14,11761.53
2015-01-15,12053.95
2015-01-16,12120.49
2015-01-19,12214.0
2015-01-20,12365.95
2015-01-21,12370.34
2015-01-22,12266.68
2015-01-23,12344.91
2015-01-27,12369.04
2015-01-28,12491.78
2015-01-29,12638.61
2015-01-30,12587.94
2015-02-02,12540.98
2015-02-03,12752.33
2015-02-04,12774.6
2015-02-05,12577.89
2015-02-06,12433.69
2015-02-09,12291.84
2015-02-10,12213.28
2015-02-11,12310.83
2015-02-12,12451.67
2015-02-13,12466.76
2015-02-16,12407.29
2015-02-18,12430.61
2015-02-19,12465.87
2015-02-20,12237.64
2015-02-23,12070.57
2015-02-24,11955.62
2015-02-25,11951.37
2015-02-26,12007.28
2015-02-27,12225.29
2015-02-28,12274.82
2015-03-02,12300.27
2015-03-03,12512.25
2015-03-04,12348.78
2015-03-05,12344.8
2015-03-09,12077.81
2015-03-10,11957.0
2015-03-11,11907.49
2015-03-12,12065.89
2015-03-13,11907.03
2015-03-16,11813.06
2015-03-17,11961.18
2015-03-18,11972.22
2015-03-19,11915.77
2015-03-20,11864.33
2015-03-23,11835.87
2015-03-24,11927.5
2015-03-25,11830.81
2015-03-26,11655.93
2015-03-27,11542.7
2015-03-30,11638.25
2015-03-31,11752.84
2015-04-01,11822.4
2015-04-06,11906.58
2015-04-07,11997.95
2015-04-08,12186.15
2015-04-09,12355.78
2015-04-10,12429.54
2015-04-13,12585.73
2015-04-15,12568.86
2015-04-16,12672.12
2015-04-17,12657.36
2015-04-20,12311.51
2015-04-21,12178.59
2015-04-22,12156.63
2015-04-23,12082.2
2015-04-24,12102.05
2015-04-27,11926.17
2015-04-28,11918.68
2015-04-29,11806.96
2015-04-30,11848.8
2015-05-04,12259.69
2015-05-05,12320.3
2015-05-06,11998.7
2015-05-07,11829.92
2015-05-08,11983.22
2015-05-11,12115.6
2015-05-12,11757.91
2015-05-13,11904.93
2015-05-14,11918.95
2015-05-15,11892.08
2015-05-18,12090.22
2015-05-19,12065.64
