date,value
2014-09-18,7617.76
2014-09-19,7643.9
2014-09-22,7659.71
2014-09-23,7535.38
2014-09-24,7464.15
2014-09-25,7309.33
2014-09-26,7398.43
2014-09-29,7341.52
2014-09-30,7344.53
2014-10-01,7315.05
2014-10-07,7210.6
2014-10-08,7260.79
2014-10-09,7444.98
2014-10-10,7284.2
2014-10-13,7370.35
2014-10-14,7376.83
2014-10-16,7252.97
2014-10-17,7421.15
2014-10-20,7563.07
2014-10-21,7645.99
2014-10-22,7667.85
2014-10-23,7684.28
2014-10-27,7706.38
2014-10-28,7767.43
2014-10-29,7759.05
2014-10-30,7824.95
2014-10-31,8001.74
2014-11-03,8057.36
2014-11-05,8106.65
2014-11-07,8102.49
2014-11-10,8085.88
2014-11-11,8163.44
2014-11-12,8271.87
2014-11-13,8206.36
2014-11-14,8249.16
2014-11-17,8291.07
2014-11-18,8285.61
2014-11-19,8260.85
2014-11-20,8295.38
2014-11-21,8456.47
2014-11-24,8542.54
2014-11-25,8471.6
2014-11-26,8464.11
2014-11-27,8473.55
2014-11-28,8654.72
2014-12-01,8623.07
2014-12-02,8620.25
2014-12-03,8633.25
2014-12-04,8692.05
2014-12-05,8675.68
2014-12-08,8581.42
2014-12-09,8491.25
2014-12-10,8568.24
2014-12-11,8523.9
2014-12-12,8436.42
2014-12-15,8546.12
2014-12-16,8272.71
2014-12-17,8292.95
2014-12-18,8481.04
2014-12-19,8564.43
2014-12-22,8707.21
2014-12-23,8605.69
2014-12-24,8539.66
2014-12-26,8575.49
2014-12-29,8581.16
2014-12-30,8626.02
2014-12-31,8667.25
2015-01-01,8652.48
2015-01-02,8840.3
2015-01-05,8797.96
2015-01-06,8489.39
2015-01-07,8436.27
2015-01-08,8623.39
2015-01-09,8584.69
2015-01-12,8639.33
2015-01-13,8596.28
2015-01-14,8553.13
2015-01-15,8939.51
2015-01-16,8939.75
2015-01-19,8979.88
2015-01-20,9200.57
2015-01-21,9264.21
2015-01-22,9286.05
2015-01-23,9345.04
2015-01-27,9569.09
2015-01-28,9604.01
2015-01-29,9579.73
2015-01-30,9277.01
2015-02-02,9320.62
2015-02-03,9086.41
2015-02-04,8998.3
2015-02-05,8976.52
2015-02-06,8932.12
2015-02-09,8781.56
2015-02-10,8871.57
2015-02-11,8930.03
2015-02-12,9028.75
2015-02-13,9145.25
2015-02-16,9112.15
2015-02-18,9210.96
2015-02-19,9207.49
2015-02-20,9116.38
2015-02-23,9022.89
2015-02-24,9012.38
2015-02-25,9014.65
2015-02-26,8958.28
2015-02-27,9153.57
2015-02-28,9332.39
2015-03-02,9471.34
2015-03-03,9502.44
2015-03-04,9393.92
2015-03-05,9470.83
2015-03-09,9213.2
2015-03-10,9089.46
2015-03-11,9098.86
2015-03-12,9160.88
2015-03-13,9012.11
2015-03-16,8985.98
2015-03-17,9116.38
2015-03-18,9119.63
2015-03-19,9018.03
2015-03-20,8955.64
2015-03-23,8906.01
2015-03-24,8886.82
2015-03-25,8872.3
2015-03-26,8584.29
2015-03-27,8623.15
2015-03-30,8815.76
2015-03-31,8774.07
2015-04-01,8949.4
2015-04-06,8947.84
2015-04-07,8887.92
2015-04-08,8837.78
2015-04-09,8998.4
2015-04-10,8952.79
2015-04-13,8967.56
2015-04-15,8889.08
2015-04-16,8874.19
2015-04-17,8789.38
2015-04-20,8657.27
2015-04-21,8644.45
2015-04-22,8723.21
2015-04-23,8703.9
2015-04-24,8591.02
2015-04-27,8438.57
2015-04-28,8642.69
2015-04-29,8615.86
2015-04-30,8585.83
2015-05-04,8662.23
2015-05-05,8627.14
2015-05-06,8362.24
2015-05-07,8174.68
2015-05-08,8391.15
2015-05-11,8580.32
2015-05-12,8321.39
2015-05-13,8533.74
2015-05-14,8522.87
2015-05-15,8580.08
2015-05-18,8711.24
2015-05-19,8660.22
