#source:nse_tri:NIFTY FMCG
date,value
2014-09-18,26997.24
2014-09-19,26921.1
2014-09-22,27471.67
2014-09-23,27368.48
2014-09-24,27863.23
2014-09-25,27718.62
2014-09-26,27474.04
2014-09-29,27191.62
2014-09-30,27435.08
2014-10-01,27095.82
2014-10-07,26974.3
2014-10-08,27035.98
2014-10-09,27084.05
2014-10-10,26341.38
2014-10-13,26146.32
2014-10-14,26045.82
2014-10-16,26144.52
2014-10-17,26237.85
2014-10-20,26272.88
2014-10-21,26384.44
2014-10-22,26392.7
2014-10-23,26536.49
2014-10-27,26182.46
2014-10-28,26180.85
2014-10-29,26501.33
2014-10-30,26647.05
2014-10-31,26794.37
2014-11-03,26821.62
2014-11-05,26990.85
2014-11-07,26956.6
2014-11-10,27788.52
2014-11-11,27519.47
2014-11-12,27816.98
2014-11-13,27799.43
2014-11-14,27822.27
2014-11-17,27881.75
2014-11-18,27848.55
2014-11-19,27781.56
2014-11-20,27873.45
2014-11-21,28055.03
2014-11-24,28033.78
2014-11-25,27221.96
2014-11-26,27574.71
2014-11-27,27624.29
2014-11-28,27671.73
2014-12-01,27933.08
2014-12-02,28049.71
2014-12-03,28056.51
2014-12-04,28997.73
2014-12-05,29324.73
2014-12-08,29533.77
2014-12-09,29265.82
2014-12-10,29204.17
2014-12-11,29138.18
2014-12-12,29103.69
2014-12-15,28832.47
2014-12-16,27948.18
2014-12-17,27572.51
2014-12-18,27891.59
2014-12-19,27578.97
2014-12-22,27998.98
2014-12-23,28056.61
2014-12-24,27762.08
2014-12-26,27572.43
2014-12-29,27757.0
2014-12-30,27710.75
2014-12-31,27811.17
2015-01-01,27716.32
2015-01-02,27833.88
2015-01-05,27892.22
2015-01-06,27447.93
2015-01-07,27417.2
2015-01-08,27974.12
2015-01-09,28032.83
2015-01-12,28352.27
2015-01-13,28469.98
2015-01-14,28266.57
2015-01-15,28700.79
2015-01-16,28976.59
2015-01-19,28643.26
2015-01-20,29144.53
2015-01-21,28567.96
2015-01-22,28563.68
2015-01-23,28665.15
2015-01-27,28998.71
2015-01-28,29057.06
2015-01-29,29423.58
2015-01-30,29247.63
2015-02-02,28797.78
2015-02-03,29091.54
2015-02-04,29006.79
2015-02-05,29148.39
2015-02-06,29416.18
2015-02-09,29013.91
2015-02-10,29116.67
2015-02-11,29369.1
2015-02-12,29331.24
2015-02-13,29873.31
2015-02-16,30415.75
2015-02-18,30673.85
2015-02-19,30388.64
2015-02-20,30610.57
2015-02-23,30269.23
2015-02-24,30723.75
2015-02-25,30811.21
2015-02-26,30501.34
2015-02-27,30491.74
2015-02-28,29162.84
2015-03-02,28535.84
2015-03-03,28553.42
2015-03-04,28666.73
2015-03-05,29029.44
2015-03-09,28852.85
2015-03-10,28708.01
2015-03-11,28715.29
2015-03-12,29170.4
2015-03-13,28574.58
2015-03-16,28243.06
2015-03-17,28632.46
2015-03-18,28429.93
2015-03-19,28234.53
2015-03-20,27639.11
2015-03-23,27638.31
2015-03-24,27563.39
2015-03-25,27580.69
2015-03-26,27212.55
2015-03-27,26963.59
2015-03-30,27474.88
2015-03-31,27472.98
2015-04-01,27839.9
2015-04-06,28479.47
2015-04-07,28673.04
2015-04-08,29126.71
2015-04-09,29188.68
2015-04-10,29321.13
2015-04-13,29655.1
2015-04-15,29664.25
2015-04-16,29422.05
2015-04-17,29408.34
2015-04-20,28563.17
2015-04-21,28235.52
2015-04-22,28386.59
2015-04-23,28368.76
2015-04-24,28479.81
2015-04-27,27977.39
2015-04-28,27715.82
2015-04-29,27268.96
2015-04-30,26965.92
2015-05-04,27519.62
2015-05-05,27593.85
2015-05-06,26940.14
2015-05-07,27010.8
2015-05-08,27446.48
2015-05-11,27361.88
2015-05-12,27089.29
2015-05-13,27393.6
2015-05-14,27431.12
2015-05-15,27640.59
2015-05-18,28047.62
2015-05-19,27963.34
2015-05-20,27965.23
2015-05-21,27741.94
2015-05-22,27875.73
2015-05-25,27321.75
2015-05-26,27204.64
2015-05-27,27360.16
2015-05-28,27445.53
2015-05-29,27792.22
2015-06-01,28179.33
2015-06-02,27241.9
2015-06-03,26627.95
2015-06-04,26540.48
2015-06-05,26805.57
2015-06-08,26561.13
2015-06-09,26414.87
2015-06-10,26463.87
2015-06-11,26205.48
2015-06-12,26230.52
2015-06-15,26354.82
2015-06-16,26381.39
2015-06-17,26790.93
2015-06-18,26789.47
2015-06-19,26959.55
2015-06-22,27389.26
2015-06-23,27505.51
2015-06-24,27653.2
2015-06-25,27536.85
2015-06-26,27447.76
2015-06-29,27533.48
2015-06-30,28091.25
2015-07-01,28005.06
2015-07-02,28073.73
2015-07-03,28215.82
2015-07-06,28399.24
2015-07-07,28409.94
2015-07-08,28109.08
2015-07-09,27918.48
2015-07-10,27718.05
2015-07-13,28060.12
2015-07-14,28131.3
2015-07-15,28224.67
2015-07-16,28495.5
2015-07-17,28676.77
2015-07-20,28586.96
2015-07-21,28073.56
2015-07-22,28306.55
2015-07-23,28254.43
2015-07-24,28297.56
2015-07-27,28093.59
2015-07-28,28097.64
2015-07-29,27850.1
2015-07-30,28647.13
2015-07-31,29172.86
2015-08-03,29271.91
2015-08-04,29175.01
2015-08-05,29448.71
2015-08-06,29202.44
2015-08-07,29146.29
2015-08-10,28991.0
2015-08-11,28814.61
2015-08-12,28349.86
2015-08-13,28268.23
2015-08-14,28371.48
2015-08-17,28337.84
2015-08-18,28285.66
2015-08-19,28344.2
2015-08-20,28782.8
2015-08-21,28872.46
2015-08-24,27530.39
2015-08-25,27707.35
2015-08-26,27455.23
2015-08-27,28026.47
2015-08-28,28132.84
2015-08-31,28045.8
2015-09-01,27558.57
2015-09-02,27689.18
2015-09-03,27759.8
2015-09-04,27432.7
2015-09-07,26992.52
2015-09-08,26738.84
2015-09-09,26922.96
2015-09-10,26923.57
2015-09-11,27070.38
2015-09-14,27188.98
2015-09-15,27447.18
2015-09-16,27510.14
2015-09-18,27189.9
2015-09-21,26989.62
2015-09-22,26747.32
2015-09-23,26858.14
2015-09-24,27172.52
2015-09-28,27084.57
2015-09-29,27157.14
2015-09-30,27830.23
2015-10-01,27888.38
2015-10-05,28092.37
2015-10-06,28816.47
2015-10-07,28913.49
2015-10-08,28522.12
2015-10-09,28617.3
2015-10-12,28378.06
2015-10-13,28415.57
2015-10-14,28370.76
2015-10-15,28543.52
2015-10-16,28497.18
2015-10-19,28787.43
2015-10-20,28678.61
2015-10-21,28661.61
