date,value
2018-04-02,1000.0
2018-04-03,1011.61
2018-04-04,1008.01
2018-04-05,1024.72
2018-04-06,1034.04
2018-04-09,1050.65
2018-04-10,1045.8
2018-04-11,1037.68
2018-04-12,1032.12
2018-04-13,1032.95
2018-04-16,1030.25
2018-04-17,1025.77
2018-04-18,1021.91
2018-04-19,1019.73
2018-04-20,1012.89
2018-04-23,1017.7
2018-04-24,1016.41
2018-04-25,1012.68
2018-04-26,999.45
2018-04-27,996.72
2018-04-30,1007.23
2018-05-02,1000.57
2018-05-03,984.63
2018-05-04,979.61
2018-05-07,987.98
2018-05-08,999.02
2018-05-09,987.03
2018-05-10,969.0
2018-05-11,971.4
2018-05-14,950.53
2018-05-15,951.9
2018-05-16,954.85
2018-05-17,974.4
2018-05-18,947.08
2018-05-21,923.13
2018-05-22,929.24
2018-05-23,920.49
2018-05-24,923.06
2018-05-25,943.33
2018-05-28,956.2
2018-05-29,955.63
2018-05-30,967.39
2018-05-31,955.67
2018-06-01,931.05
2018-06-04,907.61
2018-06-05,874.48
2018-06-06,892.89
2018-06-07,906.33
2018-06-08,907.62
2018-06-11,915.44
2018-06-12,920.33
2018-06-13,918.66
2018-06-14,918.65
2018-06-15,909.52
2018-06-18,905.49
2018-06-19,891.56
2018-06-20,900.61
2018-06-21,894.54
2018-06-22,898.41
2018-06-25,896.56
2018-06-26,886.83
2018-06-27,867.2
2018-06-28,844.85
2018-06-29,852.9
2018-07-02,847.81
2018-07-03,859.22
2018-07-04,867.75
2018-07-05,856.55
2018-07-06,859.91
2018-07-09,873.39
2018-07-10,882.25
2018-07-11,874.99
2018-07-12,869.43
2018-07-13,857.41
2018-07-16,836.4
2018-07-17,843.24
2018-07-18,830.62
2018-07-19,817.62
2018-07-20,812.93
2018-07-23,824.08
2018-07-24,838.51
2018-07-25,842.94
2018-07-26,854.24
2018-07-27,872.64
2018-07-30,901.63
2018-07-31,910.39
2018-08-01,918.18
2018-08-02,925.37
2018-08-03,940.1
2018-08-06,932.31
2018-08-07,930.75
2018-08-08,923.05
2018-08-09,922.81
2018-08-10,924.4
2018-08-13,908.65
2018-08-14,896.97
2018-08-16,881.58
2018-08-17,880.81
2018-08-20,886.14
2018-08-21,896.7
2018-08-23,886.17
2018-08-24,872.75
2018-08-27,880.64
2018-08-28,867.49
2018-08-29,867.89
2018-08-30,867.61
2018-08-31,878.83
2018-09-03,877.71
2018-09-04,856.03
2018-09-05,845.69
2018-09-06,850.11
2018-09-07,847.06
2018-09-10,837.51
2018-09-11,826.08
2018-09-12,818.91
2018-09-14,827.19
2018-09-17,824.67
2018-09-18,805.73
2018-09-19,803.22
