#source:nse_tri:NIFTY INDIA MANUFACTURING
date,value
2014-09-18,4759.21
2014-09-19,4742.85
2014-09-22,4731.96
2014-09-23,4633.95
2014-09-24,4611.27
2014-09-25,4547.13
2014-09-26,4596.95
2014-09-29,4612.91
2014-09-30,4620.69
2014-10-01,4601.31
2014-10-07,4532.12
2014-10-08,4526.48
2014-10-09,4610.77
2014-10-10,4537.25
2014-10-13,4534.79
2014-10-14,4533.97
2014-10-16,4425.8
2014-10-17,4458.34
2014-10-20,4522.19
2014-10-21,4555.37
2014-10-22,4642.15
2014-10-23,4658.92
2014-10-27,4648.23
2014-10-28,4666.07
2014-10-29,4716.97
2014-10-30,4736.43
2014-10-31,4816.6
2014-11-03,4818.12
2014-11-05,4819.17
2014-11-07,4831.07
2014-11-10,4849.16
2014-11-11,4864.66
2014-11-12,4878.82
2014-11-13,4864.17
2014-11-14,4887.48
2014-11-17,4915.36
2014-11-18,4952.48
2014-11-19,4910.67
2014-11-20,4904.56
2014-11-21,4919.63
2014-11-24,4942.03
2014-11-25,4916.84
2014-11-26,4936.94
2014-11-27,4965.99
2014-11-28,5016.76
2014-12-01,4984.47
2014-12-02,4986.94
2014-12-03,5032.4
2014-12-04,5051.48
2014-12-05,5020.15
2014-12-08,4959.9
2014-12-09,4892.23
2014-12-10,4891.87
2014-12-11,4856.92
2014-12-12,4809.85
2014-12-15,4782.54
2014-12-16,4666.04
2014-12-17,4625.65
2014-12-18,4735.05
2014-12-19,4758.01
2014-12-22,4805.51
2014-12-23,4779.6
2014-12-24,4736.18
2014-12-26,4743.54
2014-12-29,4804.91
2014-12-30,4805.67
2014-12-31,4832.7
2015-01-01,4846.02
2015-01-02,4881.79
2015-01-05,4888.15
2015-01-06,4743.25
2015-01-07,4743.19
2015-01-08,4810.89
2015-01-09,4829.52
2015-01-12,4837.32
2015-01-13,4830.72
2015-01-14,4808.76
2015-01-15,4869.32
2015-01-16,4904.18
2015-01-19,4937.86
2015-01-20,4968.75
2015-01-21,4977.74
