date,value
2014-09-18,3615.35
2014-09-19,3570.63
2014-09-22,3566.55
2014-09-23,3494.8
2014-09-24,3447.29
2014-09-25,3388.23
2014-09-26,3434.1
2014-09-29,3429.13
2014-09-30,3405.18
2014-10-01,3386.43
2014-10-07,3354.17
2014-10-08,3386.23
2014-10-09,3470.41
2014-10-10,3401.46
2014-10-13,3395.4
2014-10-14,3404.81
2014-10-16,3321.64
2014-10-17,3382.23
2014-10-20,3451.36
2014-10-21,3513.49
2014-10-22,3555.43
2014-10-23,3561.87
2014-10-27,3568.2
2014-10-28,3578.38
2014-10-29,3583.97
2014-10-30,3617.94
2014-10-31,3695.1
2014-11-03,3699.95
2014-11-05,3675.47
2014-11-07,3675.09
2014-11-10,3662.77
2014-11-11,3666.76
2014-11-12,3632.36
2014-11-13,3622.53
2014-11-14,3637.74
2014-11-17,3667.2
2014-11-18,3732.58
2014-11-19,3710.66
2014-11-20,3685.16
2014-11-21,3711.8
2014-11-24,3716.72
2014-11-25,3656.65
2014-11-26,3656.03
2014-11-27,3651.96
2014-11-28,3663.16
2014-12-01,3608.5
2014-12-02,3637.52
2014-12-03,3650.2
2014-12-04,3610.82
2014-12-05,3595.44
2014-12-08,3540.75
2014-12-09,3442.25
2014-12-10,3439.66
2014-12-11,3407.9
2014-12-12,3365.71
2014-12-15,3352.49
2014-12-16,3295.99
2014-12-17,3260.59
2014-12-18,3353.25
2014-12-19,3387.36
2014-12-22,3410.8
2014-12-23,3388.9
2014-12-24,3353.53
2014-12-26,3369.91
2014-12-29,3377.56
2014-12-30,3403.2
2014-12-31,3426.68
2015-01-01,3454.67
2015-01-02,3502.46
2015-01-05,3497.07
2015-01-06,3396.66
2015-01-07,3388.88
2015-01-08,3441.01
2015-01-09,3407.63
2015-01-12,3425.55
2015-01-13,3393.5
2015-01-14,3404.1
2015-01-15,3491.71
2015-01-16,3519.85
2015-01-19,3563.01
2015-01-20,3584.05
2015-01-21,3629.06
2015-01-22,3638.7
2015-01-23,3723.95
2015-01-27,3769.13
2015-01-28,3697.93
2015-01-29,3722.0
2015-01-30,3714.32
2015-02-02,3725.86
2015-02-03,3712.67
2015-02-04,3666.83
2015-02-05,3598.48
2015-02-06,3580.06
2015-02-09,3447.95
2015-02-10,3466.2
2015-02-11,3521.8
2015-02-12,3584.63
2015-02-13,3600.82
2015-02-16,3601.5
2015-02-18,3621.88
2015-02-19,3660.86
2015-02-20,3632.72
2015-02-23,3630.93
2015-02-24,3653.79
2015-02-25,3640.41
2015-02-26,3622.3
2015-02-27,3752.51
2015-02-28,3730.41
2015-03-02,3803.16
2015-03-03,3818.15
2015-03-04,3789.93
2015-03-05,3776.31
2015-03-09,3662.15
2015-03-10,3678.4
2015-03-11,3711.66
2015-03-12,3786.07
2015-03-13,3721.18
2015-03-16,3679.42
2015-03-17,3725.07
2015-03-18,3683.57
2015-03-19,3658.08
2015-03-20,3635.82
2015-03-23,3635.54
2015-03-24,3653.11
2015-03-25,3613.97
2015-03-26,3605.13
2015-03-27,3598.86
2015-03-30,3689.37
2015-03-31,3687.96
2015-04-01,3726.25
2015-04-06,3767.34
2015-04-07,3802.18
2015-04-08,3828.16
2015-04-09,3811.44
2015-04-10,3843.52
2015-04-13,3918.62
2015-04-15,3863.11
2015-04-16,3833.08
2015-04-17,3793.01
2015-04-20,3713.08
2015-04-21,3677.9
2015-04-22,3728.62
2015-04-23,3706.8
2015-04-24,3650.81
2015-04-27,3605.0
2015-04-28,3644.33
2015-04-29,3606.41
2015-04-30,3580.17
2015-05-04,3644.33
2015-05-05,3637.44
2015-05-06,3506.27
2015-05-07,3485.07
2015-05-08,3538.34
2015-05-11,3579.32
2015-05-12,3472.6
2015-05-13,3507.38
2015-05-14,3515.09
2015-05-15,3529.99
2015-05-18,3578.54
2015-05-19,3586.27
2015-05-20,3584.68
2015-05-21,3587.49
2015-05-22,3597.93
2015-05-25,3583.53
2015-05-26,3581.49
2015-05-27,3612.56
2015-05-28,3597.77
2015-05-29,3655.74
2015-06-01,3683.13
2015-06-02,3635.94
2015-06-03,3585.51
2015-06-04,3594.08
2015-06-05,3620.93
2015-06-08,3594.47
2015-06-09,3589.59
2015-06-10,3648.53
2015-06-11,3567.56
2015-06-12,3573.11
2015-06-15,3579.33
2015-06-16,3592.71
2015-06-17,3621.07
2015-06-18,3645.69
2015-06-19,3647.22
2015-06-22,3676.08
2015-06-23,3713.35
2015-06-24,3682.9
2015-06-25,3740.46
2015-06-26,3700.7
2015-06-29,3684.17
2015-06-30,3694.08
2015-07-01,3751.99
2015-07-02,3761.58
2015-07-03,3769.65
2015-07-06,3778.93
2015-07-07,3774.31
2015-07-08,3747.98
2015-07-09,3787.28
2015-07-10,3787.16
2015-07-13,3801.57
2015-07-14,3804.89
2015-07-15,3821.37
2015-07-16,3842.49
2015-07-17,3869.04
2015-07-20,3865.9
2015-07-21,3842.78
2015-07-22,3861.23
2015-07-23,3833.85
2015-07-24,3795.97
2015-07-27,3682.62
2015-07-28,3688.74
2015-07-29,3720.2
2015-07-30,3731.35
2015-07-31,3746.49
2015-08-03,3747.68
2015-08-04,3733.56
2015-08-05,3757.17
2015-08-06,3800.14
2015-08-07,3769.32
2015-08-10,3742.55
2015-08-11,3698.5
2015-08-12,3618.55
2015-08-13,3598.84
2015-08-14,3690.75
2015-08-17,3664.23
2015-08-18,3663.66
2015-08-19,3671.64
2015-08-20,3617.89
2015-08-21,3551.05
2015-08-24,3299.82
2015-08-25,3314.23
2015-08-26,3309.67
2015-08-27,3366.98
2015-08-28,3401.7
2015-08-31,3356.93
2015-09-01,3274.22
2015-09-02,3217.88
2015-09-03,3275.53
2015-09-04,3213.81
2015-09-07,3158.07
2015-09-08,3234.03
2015-09-09,3303.28
2015-09-10,3318.8
2015-09-11,3300.07
2015-09-14,3350.38
2015-09-15,3307.24
2015-09-16,3322.4
2015-09-18,3330.73
2015-09-21,3342.65
2015-09-22,3226.97
2015-09-23,3216.71
2015-09-24,3174.27
2015-09-28,3147.19
2015-09-29,3151.64
2015-09-30,3230.18
2015-10-01,3248.09
2015-10-05,3347.94
2015-10-06,3358.21
2015-10-07,3360.35
2015-10-08,3346.88
2015-10-09,3361.28
2015-10-12,3383.18
2015-10-13,3376.81
2015-10-14,3365.21
2015-10-15,3405.41
2015-10-16,3440.96
2015-10-19,3439.43
2015-10-20,3433.85
2015-10-21,3430.21
2015-10-23,3377.19
2015-10-26,3374.18
2015-10-27,3354.97
2015-10-28,3331.36
2015-10-29,3294.43
2015-10-30,3240.15
2015-11-02,3226.11
2015-11-03,3221.74
2015-11-04,3211.99
2015-11-05,3176.22
2015-11-06,3173.99
2015-11-09,3133.69
2015-11-10,3075.78
2015-11-11,3104.48
2015-11-13,3072.83
2015-11-16,3104.39
2015-11-17,3101.81
2015-11-18,3089.17
2015-11-19,3123.1
2015-11-20,3138.53
2015-11-23,3143.96
2015-11-24,3121.48
2015-11-26,3143.19
2015-11-27,3165.52
2015-11-30,3169.48
2015-12-01,3149.75
2015-12-02,3139.03
2015-12-03,3121.31
2015-12-04,3084.85
2015-12-07,3087.41
2015-12-08,3041.85
