#source:nse_tri:NIFTY IT
date,value
2014-09-18,12610.13
2014-09-19,12803.02
2014-09-22,12745.3
2014-09-23,12648.64
2014-09-24,12632.84
2014-09-25,12760.32
2014-09-26,12705.64
2014-09-29,12920.77
2014-09-30,12893.49
2014-10-01,13140.78
2014-10-07,13037.11
2014-10-08,12597.71
2014-10-09,12622.55
2014-10-10,12903.29
2014-10-13,13046.74
2014-10-14,12947.84
2014-10-16,12780.31
2014-10-17,12290.09
2014-10-20,12206.89
2014-10-21,12232.6
2014-10-22,12318.43
2014-10-23,12334.21
2014-10-27,12257.68
2014-10-28,12283.94
2014-10-29,12490.14
2014-10-30,12733.31
2014-10-31,12981.03
2014-11-03,13002.64
2014-11-05,13094.92
2014-11-07,13135.68
2014-11-10,13129.75
2014-11-11,13093.95
2014-11-12,13073.38
2014-11-13,13208.78
2014-11-14,13245.62
2014-11-17,13287.24
2014-11-18,13178.26
2014-11-19,13191.3
2014-11-20,13366.56
2014-11-21,13274.44
2014-11-24,13518.15
2014-11-25,13495.4
2014-11-26,13472.97
2014-11-27,13622.29
2014-11-28,13619.12
2014-12-01,13714.05
2014-12-02,13521.47
2014-12-03,13515.89
2014-12-04,13448.23
2014-12-05,13204.97
2014-12-08,12793.12
2014-12-09,12750.12
2014-12-10,12719.0
2014-12-11,12575.43
2014-12-12,12510.92
2014-12-15,12279.51
2014-12-16,12467.06
2014-12-17,12430.98
2014-12-18,12576.77
2014-12-19,12792.86
2014-12-22,12822.48
2014-12-23,12699.44
2014-12-24,12508.74
2014-12-26,12633.13
2014-12-29,12711.01
2014-12-30,12762.52
2014-12-31,12838.76
2015-01-01,12838.07
2015-01-02,13017.09
2015-01-05,12875.64
2015-01-06,12545.26
2015-01-07,12495.01
2015-01-08,12611.93
2015-01-09,13048.59
2015-01-12,13213.42
2015-01-13,13166.68
2015-01-14,13294.31
2015-01-15,13357.92
2015-01-16,13346.19
2015-01-19,13326.89
2015-01-20,13386.68
2015-01-21,13522.53
2015-01-22,13572.56
2015-01-23,13612.37
2015-01-27,13398.55
2015-01-28,13531.59
2015-01-29,13548.82
2015-01-30,13549.54
2015-02-02,13686.12
2015-02-03,13708.97
2015-02-04,13685.26
2015-02-05,13944.6
2015-02-06,14062.42
2015-02-09,14041.04
2015-02-10,13941.92
2015-02-11,14034.27
2015-02-12,14181.7
2015-02-13,14288.25
2015-02-16,14313.73
2015-02-18,14481.06
2015-02-19,14585.48
2015-02-20,14411.36
2015-02-23,14364.79
2015-02-24,14404.81
2015-02-25,14481.74
2015-02-26,14281.35
2015-02-27,14391.89
2015-02-28,14512.07
2015-03-02,14516.55
2015-03-03,14736.89
2015-03-04,14593.27
2015-03-05,14518.59
2015-03-09,14239.81
2015-03-10,14220.03
2015-03-11,14159.67
2015-03-12,14241.35
2015-03-13,14113.56
2015-03-16,14236.14
2015-03-17,14194.93
2015-03-18,14072.23
2015-03-19,14071.23
2015-03-20,14172.44
2015-03-23,14035.96
2015-03-24,13962.07
2015-03-25,14014.36
2015-03-26,13643.54
2015-03-27,13719.66
2015-03-30,13871.94
2015-03-31,13851.48
2015-04-01,13701.54
2015-04-06,13721.11
2015-04-07,13744.1
2015-04-08,14001.99
2015-04-09,14076.64
2015-04-10,14094.23
2015-04-13,14138.99
2015-04-15,13933.53
2015-04-16,13823.97
2015-04-17,13530.6
2015-04-20,13254.44
2015-04-21,13250.13
2015-04-22,13173.98
2015-04-23,13127.63
2015-04-24,12766.37
2015-04-27,12727.0
2015-04-28,12675.42
2015-04-29,12722.98
2015-04-30,12615.92
2015-05-04,12834.25
2015-05-05,12810.33
2015-05-06,12544.95
2015-05-07,12761.57
2015-05-08,12812.39
2015-05-11,12987.28
2015-05-12,12750.93
2015-05-13,12810.63
2015-05-14,12722.44
2015-05-15,12812.22
2015-05-18,12935.58
2015-05-19,13041.97
2015-05-20,13270.72
2015-05-21,13324.54
2015-05-22,13450.46
2015-05-25,13329.97
2015-05-26,13282.41
2015-05-27,13036.56
2015-05-28,13132.15
2015-05-29,13274.55
2015-06-01,13217.94
2015-06-02,13014.09
2015-06-03,13029.21
2015-06-04,13049.94
2015-06-05,12976.32
2015-06-08,12915.49
2015-06-09,12805.56
2015-06-10,13102.88
2015-06-11,12904.38
2015-06-12,12700.02
2015-06-15,12792.86
2015-06-16,12822.08
2015-06-17,12850.14
2015-06-18,12932.94
2015-06-19,12965.62
2015-06-22,13180.28
2015-06-23,13078.02
2015-06-24,13092.55
2015-06-25,12927.23
2015-06-26,13102.67
2015-06-29,12838.74
2015-06-30,12727.77
2015-07-01,12930.94
2015-07-02,12900.56
2015-07-03,12913.69
2015-07-06,12926.34
2015-07-07,12850.52
2015-07-08,12709.75
2015-07-09,12488.42
2015-07-10,12453.32
2015-07-13,12684.64
2015-07-14,12736.5
2015-07-15,12859.23
2015-07-16,12906.9
2015-07-17,12996.95
2015-07-20,13017.74
2015-07-21,13467.29
2015-07-22,13453.77
2015-07-23,13369.31
2015-07-24,13260.01
2015-07-27,13142.33
2015-07-28,13077.34
2015-07-29,13267.56
2015-07-30,13179.46
2015-07-31,13410.35
2015-08-03,13262.6
2015-08-04,13203.74
2015-08-05,13437.95
2015-08-06,13436.19
2015-08-07,13424.24
2015-08-10,13397.47
2015-08-11,13556.33
2015-08-12,13898.56
2015-08-13,13839.86
2015-08-14,13946.76
2015-08-17,13892.7
2015-08-18,14075.21
2015-08-19,14179.03
2015-08-20,13873.63
2015-08-21,13928.11
2015-08-24,13260.0
2015-08-25,13169.22
2015-08-26,13061.97
2015-08-27,13192.57
2015-08-28,13414.05
2015-08-31,13434.24
2015-09-01,13284.66
2015-09-02,13433.12
2015-09-03,13527.01
2015-09-04,13226.53
2015-09-07,13116.08
2015-09-08,13199.33
2015-09-09,13332.38
2015-09-10,13207.48
2015-09-11,13248.39
2015-09-14,13350.45
2015-09-15,13369.07
2015-09-16,13450.52
2015-09-18,13589.65
2015-09-21,13586.59
2015-09-22,13565.1
2015-09-23,13551.71
2015-09-24,13853.16
2015-09-28,13722.13
2015-09-29,13748.68
2015-09-30,13943.55
2015-10-01,13753.22
2015-10-05,13908.81
2015-10-06,13778.75
2015-10-07,13539.5
2015-10-08,13523.56
2015-10-09,13683.33
2015-10-12,13478.31
2015-10-13,13353.09
2015-10-14,13168.03
2015-10-15,13139.58
2015-10-16,13164.37
2015-10-19,13273.92
2015-10-20,13387.05
2015-10-21,13410.53
2015-10-23,13431.08
2015-10-26,13459.36
2015-10-27,13468.61
2015-10-28,13538.07
2015-10-29,13427.47
2015-10-30,13356.22
2015-11-02,13425.26
2015-11-03,13509.11
2015-11-04,13431.46
2015-11-05,13272.0
2015-11-06,13354.53
2015-11-09,13269.32
2015-11-10,13039.17
2015-11-11,13080.39
2015-11-13,12909.18
2015-11-16,12794.52
2015-11-17,12830.92
2015-11-18,12600.24
2015-11-19,12828.59
2015-11-20,12928.57
2015-11-23,12931.29
2015-11-24,12857.02
2015-11-26,12840.3
2015-11-27,12933.27
2015-11-30,13029.91
2015-12-01,13088.37
2015-12-02,12964.31
2015-12-03,12885.57
2015-12-04,12754.36
2015-12-07,12788.78
2015-12-08,12769.28
2015-12-09,12709.05
2015-12-10,12854.87
2015-12-11,12840.41
2015-12-14,12906.26
2015-12-15,12858.08
