#source:nse_tri:NIFTY METAL
date,value
2014-09-18,3703.77
2014-09-19,3696.83
2014-09-22,3650.37
2014-09-23,3561.69
2014-09-24,3542.13
2014-09-25,3423.65
2014-09-26,3516.24
2014-09-29,3483.33
2014-09-30,3445.11
2014-10-01,3430.7
2014-10-07,3333.27
2014-10-08,3372.92
2014-10-09,3446.73
2014-10-10,3304.84
2014-10-13,3347.68
2014-10-14,3349.88
2014-10-16,3258.77
2014-10-17,3260.73
2014-10-20,3311.02
2014-10-21,3373.01
2014-10-22,3395.54
2014-10-23,3405.78
2014-10-27,3390.15
2014-10-28,3389.52
2014-10-29,3481.9
2014-10-30,3498.72
2014-10-31,3566.44
2014-11-03,3575.17
2014-11-05,3465.43
2014-11-07,3422.65
2014-11-10,3416.06
2014-11-11,3420.64
2014-11-12,3383.72
2014-11-13,3366.23
2014-11-14,3451.09
2014-11-17,3438.18
2014-11-18,3466.34
2014-11-19,3393.04
2014-11-20,3364.32
2014-11-21,3370.13
2014-11-24,3424.15
2014-11-25,3377.71
2014-11-26,3411.88
2014-11-27,3408.7
2014-11-28,3421.11
2014-12-01,3339.86
2014-12-02,3380.69
2014-12-03,3384.39
2014-12-04,3387.81
2014-12-05,3384.72
2014-12-08,3333.21
2014-12-09,3239.81
2014-12-10,3236.65
2014-12-11,3216.56
2014-12-12,3165.13
2014-12-15,3154.21
2014-12-16,3020.34
2014-12-17,3048.98
2014-12-18,3112.43
2014-12-19,3168.57
2014-12-22,3211.29
2014-12-23,3150.54
2014-12-24,3134.18
2014-12-26,3152.61
2014-12-29,3222.11
2014-12-30,3187.77
2014-12-31,3207.02
2015-01-01,3245.87
2015-01-02,3272.61
2015-01-05,3259.4
2015-01-06,3146.07
2015-01-07,3095.67
2015-01-08,3144.64
2015-01-09,3132.41
2015-01-12,3079.49
2015-01-13,3069.32
2015-01-14,2962.2
2015-01-15,2992.62
2015-01-16,3008.35
2015-01-19,3018.73
2015-01-20,3111.25
2015-01-21,3090.81
2015-01-22,3110.27
2015-01-23,3136.89
2015-01-27,3113.86
2015-01-28,3068.52
2015-01-29,3061.74
2015-01-30,3028.97
2015-02-02,3015.33
2015-02-03,3039.2
2015-02-04,3102.68
2015-02-05,3043.22
2015-02-06,3021.46
2015-02-09,2941.4
2015-02-10,2986.28
2015-02-11,3037.17
2015-02-12,3049.16
2015-02-13,3079.66
2015-02-16,3079.49
2015-02-18,3066.43
2015-02-19,3179.4
2015-02-20,3168.57
2015-02-23,3143.37
2015-02-24,3104.24
2015-02-25,3089.71
2015-02-26,3057.2
2015-02-27,3149.91
2015-02-28,3142.29
2015-03-02,3141.99
2015-03-03,3168.11
2015-03-04,3086.85
2015-03-05,3031.58
2015-03-09,2957.48
2015-03-10,2973.95
2015-03-11,2923.76
2015-03-12,2968.11
2015-03-13,2929.11
2015-03-16,2882.6
2015-03-17,2916.33
2015-03-18,2925.91
2015-03-19,2926.63
2015-03-20,2899.25
2015-03-23,2908.4
2015-03-24,2899.56
2015-03-25,2871.48
2015-03-26,2803.68
2015-03-27,2809.59
2015-03-30,2853.07
2015-03-31,2848.3
2015-04-01,2876.78
2015-04-06,2867.34
2015-04-07,2931.09
2015-04-08,2979.21
2015-04-09,3024.42
2015-04-10,3042.63
2015-04-13,3045.05
2015-04-15,3023.0
2015-04-16,3019.8
2015-04-17,3049.43
2015-04-20,2992.62
2015-04-21,2997.57
2015-04-22,3013.42
2015-04-23,3057.47
2015-04-24,3008.19
2015-04-27,3007.12
2015-04-28,3006.09
2015-04-29,2993.87
2015-04-30,2943.85
2015-05-04,2992.06
2015-05-05,3073.4
2015-05-06,2978.08
2015-05-07,2962.72
2015-05-08,2984.51
2015-05-11,3066.24
2015-05-12,2972.79
2015-05-13,2976.24
2015-05-14,3000.56
2015-05-15,2968.91
2015-05-18,2985.63
2015-05-19,2996.69
2015-05-20,2979.38
2015-05-21,2964.91
2015-05-22,2952.95
2015-05-25,2902.57
2015-05-26,2906.87
2015-05-27,2913.67
2015-05-28,2904.34
2015-05-29,2919.6
2015-06-01,2919.85
2015-06-02,2855.33
2015-06-03,2822.86
2015-06-04,2786.77
2015-06-05,2837.37
2015-06-08,2793.49
2015-06-09,2813.16
2015-06-10,2832.43
2015-06-11,2796.05
2015-06-12,2753.64
2015-06-15,2737.44
2015-06-16,2743.37
2015-06-17,2765.29
2015-06-18,2760.64
2015-06-19,2770.66
2015-06-22,2804.63
2015-06-23,2849.64
2015-06-24,2808.87
2015-06-25,2818.14
2015-06-26,2795.63
2015-06-29,2751.94
2015-06-30,2802.83
2015-07-01,2836.44
2015-07-02,2818.33
2015-07-03,2779.47
2015-07-06,2769.07
2015-07-07,2772.89
2015-07-08,2661.0
2015-07-09,2652.36
2015-07-10,2677.11
2015-07-13,2688.63
2015-07-14,2708.04
2015-07-15,2712.92
2015-07-16,2722.87
2015-07-17,2711.14
2015-07-20,2695.09
2015-07-21,2664.78
2015-07-22,2689.28
2015-07-23,2685.92
2015-07-24,2650.88
2015-07-27,2591.96
2015-07-28,2578.82
2015-07-29,2584.72
2015-07-30,2581.95
2015-07-31,2622.67
2015-08-03,2598.9
2015-08-04,2670.76
2015-08-05,2669.32
2015-08-06,2654.41
2015-08-07,2626.71
2015-08-10,2599.42
2015-08-11,2508.19
2015-08-12,2399.93
2015-08-13,2333.46
2015-08-14,2366.95
2015-08-17,2394.45
2015-08-18,2352.74
2015-08-19,2319.36
2015-08-20,2265.59
2015-08-21,2245.81
2015-08-24,2087.61
2015-08-25,2162.76
2015-08-26,2170.17
2015-08-27,2230.25
2015-08-28,2243.13
2015-08-31,2259.17
2015-09-01,2182.32
2015-09-02,2151.14
2015-09-03,2203.4
2015-09-04,2154.83
2015-09-07,2102.41
2015-09-08,2153.41
2015-09-09,2231.74
2015-09-10,2213.96
2015-09-11,2180.4
2015-09-14,2238.97
2015-09-15,2186.26
2015-09-16,2195.12
2015-09-18,2207.88
2015-09-21,2207.1
2015-09-22,2113.72
2015-09-23,2115.9
2015-09-24,2080.86
2015-09-28,2028.76
2015-09-29,1982.9
2015-09-30,2047.55
2015-10-01,2038.89
2015-10-05,2103.15
2015-10-06,2137.59
2015-10-07,2207.08
2015-10-08,2218.98
2015-10-09,2266.36
2015-10-12,2310.55
2015-10-13,2297.54
2015-10-14,2301.4
2015-10-15,2329.73
2015-10-16,2321.33
2015-10-19,2302.58
2015-10-20,2253.07
2015-10-21,2281.81
2015-10-23,2280.86
2015-10-26,2275.63
2015-10-27,2261.76
2015-10-28,2265.36
2015-10-29,2256.27
2015-10-30,2238.71
2015-11-02,2191.68
2015-11-03,2191.05
2015-11-04,2192.39
2015-11-05,2151.08
2015-11-06,2132.37
2015-11-09,2136.58
2015-11-10,2084.28
2015-11-11,2106.25
2015-11-13,2112.27
2015-11-16,2132.81
2015-11-17,2156.4
2015-11-18,2109.84
2015-11-19,2135.6
2015-11-20,2139.63
2015-11-23,2105.17
2015-11-24,2103.88
2015-11-26,2126.07
2015-11-27,2152.34
2015-11-30,2151.68
2015-12-01,2219.94
2015-12-02,2238.85
2015-12-03,2205.89
2015-12-04,2202.68
2015-12-07,2194.09
2015-12-08,2123.76
2015-12-09,2056.2
2015-12-10,2094.88
2015-12-11,2107.06
2015-12-14,2157.02
2015-12-15,2151.7
2015-12-16,2154.23
2015-12-17,2225.74
2015-12-18,2197.42
2015-12-21,2231.72
2015-12-22,2208.42
2015-12-23,2256.96
2015-12-24,2275.65
2015-12-28,2251.02
2015-12-29,2246.02
2015-12-30,2253.25
2015-12-31,2264.49
2016-01-01,2268.82
2016-01-04,2237.31
2016-01-05,2308.98
2016-01-06,2267.26
2016-01-07,2160.03
2016-01-08,2170.27
2016-01-11,2164.47
2016-01-12,2138.45
2016-01-13,2123.05
2016-01-14,2087.61
2016-01-15,2013.79
2016-01-18,1991.97
2016-01-19,2004.05
2016-01-20,1941.7
2016-01-21,1925.02
2016-01-22,2010.63
2016-01-25,2042.94
2016-01-27,2045.77
2016-01-28,2033.7
2016-01-29,2055.75
2016-02-01,2062.34
2016-02-02,1963.0
2016-02-03,1911.12
2016-02-04,1963.61
2016-02-05,2036.93
2016-02-08,2019.86
2016-02-09,1982.39
2016-02-10,1970.45
2016-02-11,1883.97
2016-02-12,1853.92
2016-02-15,2036.39
2016-02-16,1997.3
2016-02-17,2017.46
2016-02-18,2039.05
2016-02-19,2048.91
2016-02-22,2062.24
2016-02-23,2038.82
2016-02-24,1995.44
2016-02-25,1998.67
2016-02-26,2019.96
2016-02-29,2025.03
2016-03-01,2080.37
2016-03-02,2124.25
2016-03-03,2226.5
2016-03-04,2265.96
2016-03-08,2319.61
2016-03-09,2299.11
2016-03-10,2316.62
2016-03-11,2301.41
