#source:nse_price:NIFTY MIDCAP 150
date,value
2014-09-18,3861.63
2014-09-19,3865.36
2014-09-22,3861.37
2014-09-23,3796.89
2014-09-24,3756.56
2014-09-25,3678.38
2014-09-26,3711.57
2014-09-29,3742.48
2014-09-30,3750.12
2014-10-01,3745.13
2014-10-07,3709.58
2014-10-08,3704.05
2014-10-09,3770.91
2014-10-10,3714.37
2014-10-13,3734.33
2014-10-14,3727.39
2014-10-16,3635.55
2014-10-17,3645.74
2014-10-20,3685.88
2014-10-21,3715.81
2014-10-22,3754.77
2014-10-23,3792.75
2014-10-27,3766.39
2014-10-28,3776.52
2014-10-29,3795.22
2014-10-30,3818.74
2014-10-31,3867.19
2014-11-03,3900.18
2014-11-05,3918.02
2014-11-07,3927.9
2014-11-10,3936.11
2014-11-11,3962.98
2014-11-12,3988.24
2014-11-13,3964.5
2014-11-14,3992.15
2014-11-17,4025.31
2014-11-18,4037.58
2014-11-19,4004.84
2014-11-20,3998.93
2014-11-21,3999.36
2014-11-24,4009.71
2014-11-25,3957.05
2014-11-26,3981.05
2014-11-27,4012.41
2014-11-28,4066.56
2014-12-01,4070.13
2014-12-02,4109.27
2014-12-03,4175.71
2014-12-04,4191.32
2014-12-05,4174.99
2014-12-08,4130.61
2014-12-09,4062.71
2014-12-10,4098.68
2014-12-11,4068.69
2014-12-12,4026.09
2014-12-15,3999.93
2014-12-16,3894.01
2014-12-17,3875.75
2014-12-18,3979.91
2014-12-19,3995.1
2014-12-22,4036.55
2014-12-23,4024.97
2014-12-24,4024.44
2014-12-26,4042.19
2014-12-29,4085.55
2014-12-30,4105.73
2014-12-31,4147.17
2015-01-01,4163.43
2015-01-02,4198.77
2015-01-05,4201.3
2015-01-06,4091.23
2015-01-07,4105.47
2015-01-08,4180.18
2015-01-09,4185.07
2015-01-12,4206.62
2015-01-13,4208.93
2015-01-14,4203.05
2015-01-15,4248.76
2015-01-16,4269.79
2015-01-19,4282.04
2015-01-20,4295.65
2015-01-21,4297.2
2015-01-22,4300.07
2015-01-23,4306.42
2015-01-27,4348.09
2015-01-28,4370.62
2015-01-29,4348.12
2015-01-30,4328.09
2015-02-02,4351.03
2015-02-03,4341.74
2015-02-04,4328.24
2015-02-05,4272.46
2015-02-06,4234.9
2015-02-09,4176.68
2015-02-10,4200.3
2015-02-11,4275.5
2015-02-12,4327.13
