date,value
2014-09-18,3930.23
2014-09-19,3944.35
2014-09-22,3947.19
2014-09-23,3871.69
2014-09-24,3820.66
2014-09-25,3724.89
2014-09-26,3754.09
2014-09-29,3798.08
2014-09-30,3806.71
2014-10-01,3797.21
2014-10-07,3760.38
2014-10-08,3753.96
2014-10-09,3821.39
2014-10-10,3767.11
2014-10-13,3788.38
2014-10-14,3784.18
2014-10-16,3684.03
2014-10-17,3692.59
2014-10-20,3729.44
2014-10-21,3756.69
2014-10-22,3798.23
2014-10-23,3837.69
2014-10-27,3812.04
2014-10-28,3823.07
2014-10-29,3846.13
2014-10-30,3870.23
2014-10-31,3919.96
2014-11-03,3958.86
2014-11-05,3973.17
2014-11-07,3979.18
2014-11-10,3984.72
2014-11-11,4012.69
2014-11-12,4032.49
2014-11-13,4012.61
2014-11-14,4038.54
2014-11-17,4078.1
2014-11-18,4092.9
2014-11-19,4059.51
2014-11-20,4050.88
2014-11-21,4045.51
2014-11-24,4050.23
2014-11-25,3987.18
2014-11-26,4013.22
2014-11-27,4038.06
2014-11-28,4079.72
2014-12-01,4071.41
2014-12-02,4107.76
2014-12-03,4173.12
2014-12-04,4191.14
2014-12-05,4179.82
2014-12-08,4136.39
2014-12-09,4069.11
2014-12-10,4109.41
2014-12-11,4080.01
2014-12-12,4030.57
2014-12-15,4008.41
2014-12-16,3891.63
2014-12-17,3867.59
2014-12-18,3976.06
2014-12-19,3993.95
2014-12-22,4033.03
2014-12-23,4020.85
2014-12-24,4023.29
2014-12-26,4037.31
2014-12-29,4074.03
2014-12-30,4096.2
2014-12-31,4144.42
2015-01-01,4171.12
2015-01-02,4204.07
2015-01-05,4211.85
2015-01-06,4094.12
2015-01-07,4105.73
2015-01-08,4181.51
2015-01-09,4183.77
2015-01-12,4209.79
2015-01-13,4213.19
2015-01-14,4204.15
2015-01-15,4254.07
2015-01-16,4272.75
2015-01-19,4289.9
2015-01-20,4307.33
2015-01-21,4302.89
2015-01-22,4310.33
2015-01-23,4307.08
2015-01-27,4342.08
2015-01-28,4355.34
2015-01-29,4341.74
2015-01-30,4326.37
2015-02-02,4357.35
2015-02-03,4349.79
2015-02-04,4334.32
2015-02-05,4281.6
2015-02-06,4234.99
2015-02-09,4177.76
2015-02-10,4195.15
2015-02-11,4267.13
2015-02-12,4322.57
2015-02-13,4356.3
2015-02-16,4350.91
2015-02-18,4394.6
2015-02-19,4400.16
2015-02-20,4403.9
2015-02-23,4367.19
2015-02-24,4356.66
2015-02-25,4342.92
2015-02-26,4306.7
2015-02-27,4386.39
2015-02-28,4377.44
2015-03-02,4436.68
2015-03-03,4492.83
2015-03-04,4441.35
2015-03-05,4476.03
2015-03-09,4416.86
2015-03-10,4404.61
2015-03-11,4389.28
2015-03-12,4447.44
2015-03-13,4387.13
2015-03-16,4366.23
2015-03-17,4398.57
2015-03-18,4408.44
2015-03-19,4381.07
2015-03-20,4313.42
2015-03-23,4278.43
2015-03-24,4263.39
2015-03-25,4244.03
2015-03-26,4208.81
2015-03-27,4212.58
2015-03-30,4297.27
2015-03-31,4318.0
2015-04-01,4384.3
2015-04-06,4430.96
2015-04-07,4462.79
2015-04-08,4500.15
2015-04-09,4514.96
2015-04-10,4537.19
2015-04-13,4549.62
2015-04-15,4522.1
2015-04-16,4482.7
2015-04-17,4420.68
2015-04-20,4322.89
