#source:nse_price:NIFTY NEXT 50
date,value
2014-09-18,17484.2
2014-09-19,17361.6
2014-09-22,17362.05
2014-09-23,16995.05
2014-09-24,16923.1
2014-09-25,16640.5
2014-09-26,16903.45
2014-09-29,17002.35
2014-09-30,17003.85
2014-10-01,16929.65
2014-10-07,16694.4
2014-10-08,16686.15
2014-10-09,17009.15
2014-10-10,16701.25
2014-10-13,16783.7
2014-10-14,16837.05
2014-10-16,16365.15
2014-10-17,16578.7
2014-10-20,16841.35
2014-10-21,16978.75
2014-10-22,17162.55
2014-10-23,17250.4
2014-10-27,17159.75
2014-10-28,17211.8
2014-10-29,17306.35
2014-10-30,17432.35
2014-10-31,17715.65
2014-11-03,17821.65
2014-11-05,17773.8
2014-11-07,17894.3
2014-11-10,17924.1
2014-11-11,18031.45
2014-11-12,18228.55
2014-11-13,18164.55
2014-11-14,18260.9
2014-11-17,18396.45
2014-11-18,18593.1
2014-11-19,18443.7
2014-11-20,18508.45
2014-11-21,18509.65
2014-11-24,18570.75
2014-11-25,18291.0
2014-11-26,18283.8
2014-11-27,18379.55
2014-11-28,18568.0
2014-12-01,18563.45
2014-12-02,18667.2
2014-12-03,18924.9
2014-12-04,18970.25
2014-12-05,18836.75
2014-12-08,18623.15
2014-12-09,18310.45
2014-12-10,18513.1
2014-12-11,18353.8
2014-12-12,18127.95
2014-12-15,18055.6
2014-12-16,17560.35
2014-12-17,17512.75
2014-12-18,18096.8
2014-12-19,18133.45
2014-12-22,18299.35
2014-12-23,18149.15
2014-12-24,18116.65
2014-12-26,18207.3
2014-12-29,18360.85
2014-12-30,18530.3
2014-12-31,18677.7
2015-01-01,18734.85
2015-01-02,18883.15
2015-01-05,18852.1
2015-01-06,18312.35
2015-01-07,18308.85
2015-01-08,18662.1
2015-01-09,18633.95
2015-01-12,18714.6
2015-01-13,18688.5
2015-01-14,18683.2
2015-01-15,18926.6
2015-01-16,19058.55
2015-01-19,19132.35
2015-01-20,19169.7
2015-01-21,19216.45
2015-01-22,19255.3
2015-01-23,19462.25
2015-01-27,19551.05
2015-01-28,19681.6
2015-01-29,19665.6
2015-01-30,19546.45
2015-02-02,19729.95
2015-02-03,19552.4
2015-02-04,19414.35
2015-02-05,19196.15
2015-02-06,19081.6
2015-02-09,18742.35
2015-02-10,18945.5
2015-02-11,19286.7
2015-02-12,19571.95
2015-02-13,19661.3
2015-02-16,19559.5
2015-02-18,19667.6
2015-02-19,19645.3
2015-02-20,19696.4
2015-02-23,19541.45
2015-02-24,19527.2
2015-02-25,19490.25
2015-02-26,19280.0
2015-02-27,19706.5
2015-02-28,19704.35
2015-03-02,19958.1
2015-03-03,20095.35
2015-03-04,19861.2
2015-03-05,19974.75
2015-03-09,19722.25
2015-03-10,19751.25
2015-03-11,19699.55
2015-03-12,20056.0
2015-03-13,19759.45
2015-03-16,19608.75
2015-03-17,19909.35
2015-03-18,19955.7
2015-03-19,19880.9
2015-03-20,19576.85
2015-03-23,19404.85
2015-03-24,19336.45
2015-03-25,19344.05
2015-03-26,19112.05
2015-03-27,19109.2
2015-03-30,19407.75
2015-03-31,19441.7
2015-04-01,19634.3
