#source:nse_tri:NIFTY OIL & GAS
date,value
2014-09-18,4077.37
2014-09-19,4029.72
2014-09-22,4078.01
2014-09-23,3974.94
2014-09-24,3984.67
2014-09-25,3874.26
2014-09-26,3925.26
2014-09-29,3911.17
2014-09-30,3951.59
2014-10-01,3899.0
2014-10-07,3859.52
2014-10-08,3930.19
2014-10-09,3979.28
2014-10-10,3946.73
2014-10-13,3955.33
2014-10-14,3922.65
2014-10-16,3860.11
2014-10-17,3869.22
2014-10-20,3972.24
2014-10-21,3943.27
2014-10-22,3956.39
2014-10-23,3982.36
2014-10-27,3920.2
2014-10-28,3924.44
2014-10-29,3958.42
2014-10-30,4005.8
2014-10-31,4094.57
2014-11-03,4083.86
2014-11-05,4066.09
2014-11-07,4072.67
2014-11-10,4035.27
2014-11-11,4048.4
2014-11-12,4025.37
2014-11-13,3945.6
2014-11-14,3995.96
2014-11-17,4020.69
2014-11-18,3995.47
2014-11-19,3935.46
2014-11-20,3949.59
2014-11-21,3971.94
2014-11-24,3955.88
2014-11-25,3972.31
2014-11-26,3989.2
2014-11-27,3997.47
2014-11-28,4016.83
2014-12-01,3927.52
2014-12-02,3893.03
2014-12-03,3943.9
2014-12-04,3941.76
2014-12-05,3905.17
2014-12-08,3877.76
2014-12-09,3810.18
2014-12-10,3816.49
2014-12-11,3731.96
2014-12-12,3637.29
2014-12-15,3612.44
2014-12-16,3578.94
2014-12-17,3604.93
2014-12-18,3673.31
2014-12-19,3717.43
2014-12-22,3770.13
2014-12-23,3737.34
2014-12-24,3676.64
2014-12-26,3686.41
2014-12-29,3709.53
2014-12-30,3675.05
2014-12-31,3695.69
2015-01-01,3703.57
2015-01-02,3711.58
2015-01-05,3722.47
2015-01-06,3588.11
2015-01-07,3615.71
2015-01-08,3669.85
2015-01-09,3716.17
2015-01-12,3670.57
2015-01-13,3636.54
2015-01-14,3612.28
2015-01-15,3665.16
2015-01-16,3664.09
2015-01-19,3679.61
2015-01-20,3721.49
2015-01-21,3715.87
2015-01-22,3698.15
2015-01-23,3709.01
2015-01-27,3712.46
2015-01-28,3761.79
2015-01-29,3810.85
2015-01-30,3789.88
2015-02-02,3771.04
2015-02-03,3824.4
2015-02-04,3850.13
2015-02-05,3809.27
2015-02-06,3767.41
2015-02-09,3733.74
2015-02-10,3704.35
2015-02-11,3722.74
2015-02-12,3748.41
2015-02-13,3737.91
2015-02-16,3706.21
2015-02-18,3697.79
2015-02-19,3705.76
2015-02-20,3656.23
2015-02-23,3601.16
2015-02-24,3560.03
2015-02-25,3571.1
2015-02-26,3571.77
2015-02-27,3619.81
2015-02-28,3641.22
2015-03-02,3666.06
2015-03-03,3713.96
2015-03-04,3669.4
2015-03-05,3668.24
2015-03-09,3611.31
2015-03-10,3584.6
2015-03-11,3546.71
2015-03-12,3579.64
2015-03-13,3537.54
2015-03-16,3510.92
2015-03-17,3559.72
2015-03-18,3581.58
2015-03-19,3567.48
2015-03-20,3536.02
2015-03-23,3520.42
2015-03-24,3551.86
2015-03-25,3538.82
2015-03-26,3500.52
2015-03-27,3468.44
2015-03-30,3506.63
2015-03-31,3539.14
2015-04-01,3552.1
2015-04-06,3589.55
2015-04-07,3597.74
2015-04-08,3654.13
2015-04-09,3673.22
