date,value
2014-09-18,9035.18
2014-09-19,9075.4
2014-09-22,9083.71
2014-09-23,8930.43
2014-09-24,8879.82
2014-09-25,8653.02
2014-09-26,8819.63
2014-09-29,8736.29
2014-09-30,8683.25
2014-10-01,8645.5
2014-10-07,8582.89
2014-10-08,8673.39
2014-10-09,8891.11
2014-10-10,8724.66
2014-10-13,8851.99
2014-10-14,8907.2
2014-10-16,8795.8
2014-10-17,9010.76
2014-10-20,9177.93
2014-10-21,9307.75
2014-10-22,9353.85
2014-10-23,9364.11
2014-10-27,9420.9
2014-10-28,9449.21
2014-10-29,9433.05
2014-10-30,9534.51
2014-10-31,9693.55
2014-11-03,9728.82
2014-11-05,9851.23
2014-11-07,9887.95
2014-11-10,9829.6
2014-11-11,9888.95
2014-11-12,10041.17
2014-11-13,9972.18
2014-11-14,10010.21
2014-11-17,9963.36
2014-11-18,9973.35
2014-11-19,9922.47
2014-11-20,9977.78
2014-11-21,10208.82
2014-11-24,10309.68
2014-11-25,10166.7
2014-11-26,10132.1
2014-11-27,10158.36
2014-11-28,10385.59
2014-12-01,10420.03
2014-12-02,10447.57
2014-12-03,10531.51
2014-12-04,10606.06
2014-12-05,10593.69
2014-12-08,10479.76
2014-12-09,10371.39
2014-12-10,10418.4
2014-12-11,10399.6
2014-12-12,10349.11
2014-12-15,10423.27
2014-12-16,10170.03
2014-12-17,10142.46
2014-12-18,10387.57
2014-12-19,10490.37
2014-12-22,10648.88
2014-12-23,10566.67
2014-12-24,10535.05
2014-12-26,10537.37
2014-12-29,10524.82
2014-12-30,10596.99
2014-12-31,10660.32
2015-01-01,10660.28
2015-01-02,10853.33
2015-01-05,10839.92
2015-01-06,10544.72
2015-01-07,10489.85
2015-01-08,10731.07
2015-01-09,10713.43
2015-01-12,10804.01
2015-01-13,10787.73
2015-01-14,10725.66
2015-01-15,11031.27
2015-01-16,11049.54
2015-01-19,11185.7
2015-01-20,11416.38
2015-01-21,11393.93
2015-01-22,11475.92
2015-01-23,11568.41
2015-01-27,11872.75
2015-01-28,11791.8
2015-01-29,11872.79
2015-01-30,11594.96
2015-02-02,11666.13
2015-02-03,11372.63
2015-02-04,11228.31
2015-02-05,11208.34
2015-02-06,11050.33
2015-02-09,10870.2
2015-02-10,11052.84
2015-02-11,11191.35
2015-02-12,11332.9
2015-02-13,11372.43
2015-02-16,11239.17
2015-02-18,11308.61
2015-02-19,11264.38
2015-02-20,11191.0
2015-02-23,11115.18
2015-02-24,11124.21
2015-02-25,11035.42
2015-02-26,10951.89
2015-02-27,11230.4
2015-02-28,11686.74
2015-03-02,11944.59
2015-03-03,11882.14
2015-03-04,11710.09
2015-03-05,11773.06
2015-03-09,11380.84
2015-03-10,11327.16
2015-03-11,11339.28
2015-03-12,11382.92
2015-03-13,11160.07
2015-03-16,11169.84
2015-03-17,11333.83
