#source:nse_tri:NIFTY PSE
date,value
2014-09-18,4488.81
2014-09-19,4456.1
2014-09-22,4486.06
2014-09-23,4386.84
2014-09-24,4413.96
2014-09-25,4318.21
2014-09-26,4404.09
2014-09-29,4391.98
2014-09-30,4380.02
2014-10-01,4364.52
2014-10-07,4322.66
2014-10-08,4392.2
2014-10-09,4453.7
2014-10-10,4395.25
2014-10-13,4408.42
2014-10-14,4411.09
2014-10-16,4366.13
2014-10-17,4402.24
2014-10-20,4535.37
2014-10-21,4572.14
2014-10-22,4553.62
2014-10-23,4568.62
2014-10-27,4569.06
2014-10-28,4596.32
2014-10-29,4605.66
2014-10-30,4629.08
2014-10-31,4726.42
2014-11-03,4681.94
2014-11-05,4658.27
2014-11-07,4665.12
2014-11-10,4642.75
2014-11-11,4631.44
2014-11-12,4597.61
2014-11-13,4537.12
2014-11-14,4599.2
2014-11-17,4649.64
2014-11-18,4654.48
2014-11-19,4590.81
2014-11-20,4564.89
2014-11-21,4578.98
2014-11-24,4578.4
2014-11-25,4560.78
2014-11-26,4590.26
2014-11-27,4614.97
2014-11-28,4645.06
2014-12-01,4545.38
2014-12-02,4514.07
2014-12-03,4569.8
2014-12-04,4569.16
2014-12-05,4528.6
2014-12-08,4500.38
2014-12-09,4401.23
2014-12-10,4425.52
2014-12-11,4369.23
2014-12-12,4291.08
2014-12-15,4287.9
2014-12-16,4216.89
2014-12-17,4241.15
2014-12-18,4349.62
2014-12-19,4405.11
2014-12-22,4484.4
2014-12-23,4459.58
2014-12-24,4380.57
2014-12-26,4392.82
2014-12-29,4423.62
2014-12-30,4426.98
2014-12-31,4452.57
2015-01-01,4465.04
2015-01-02,4495.92
2015-01-05,4502.01
2015-01-06,4346.73
2015-01-07,4357.1
2015-01-08,4424.74
2015-01-09,4428.67
2015-01-12,4391.35
2015-01-13,4357.67
2015-01-14,4367.23
2015-01-15,4432.13
2015-01-16,4460.63
2015-01-19,4484.9
2015-01-20,4493.2
2015-01-21,4490.97
2015-01-22,4512.18
2015-01-23,4511.73
2015-01-27,4525.43
2015-01-28,4559.76
2015-01-29,4570.53
2015-01-30,4566.66
2015-02-02,4565.6
2015-02-03,4569.78
2015-02-04,4577.38
2015-02-05,4512.44
2015-02-06,4460.6
2015-02-09,4405.44
2015-02-10,4430.54
2015-02-11,4434.99
2015-02-12,4490.66
2015-02-13,4466.95
2015-02-16,4484.0
2015-02-18,4487.53
2015-02-19,4510.31
2015-02-20,4524.88
2015-02-23,4499.16
2015-02-24,4485.29
2015-02-25,4482.28
2015-02-26,4476.61
2015-02-27,4585.14
2015-02-28,4561.44
2015-03-02,4617.88
2015-03-03,4616.09
2015-03-04,4550.9
2015-03-05,4536.86
2015-03-09,4448.87
2015-03-10,4463.98
2015-03-11,4447.32
2015-03-12,4488.58
2015-03-13,4439.36
2015-03-16,4419.47
2015-03-17,4461.17
2015-03-18,4446.29
2015-03-19,4441.2
