date,value
2014-09-18,4698.39
2014-09-19,4613.24
2014-09-22,4650.31
2014-09-23,4536.11
2014-09-24,4395.16
2014-09-25,4171.3
2014-09-26,4299.42
2014-09-29,4284.08
2014-09-30,4257.83
2014-10-01,4230.19
2014-10-07,4137.67
2014-10-08,4193.62
2014-10-09,4319.44
2014-10-10,4266.14
2014-10-13,4337.57
2014-10-14,4399.0
2014-10-16,4314.89
2014-10-17,4406.78
2014-10-20,4491.41
2014-10-21,4513.3
2014-10-22,4507.19
2014-10-23,4513.1
2014-10-27,4554.04
2014-10-28,4624.12
2014-10-29,4584.27
2014-10-30,4596.77
2014-10-31,4710.57
2014-11-03,4766.74
2014-11-05,4816.27
2014-11-07,4770.17
2014-11-10,4762.12
2014-11-11,4827.66
2014-11-12,4832.56
2014-11-13,4763.04
2014-11-14,4850.76
2014-11-17,5054.95
2014-11-18,5078.24
2014-11-19,4994.86
2014-11-20,5016.96
2014-11-21,5127.69
2014-11-24,5176.29
2014-11-25,5062.69
2014-11-26,5083.34
2014-11-27,5105.93
2014-11-28,5395.51
2014-12-01,5370.37
2014-12-02,5397.92
2014-12-03,5399.99
2014-12-04,5439.06
2014-12-05,5433.72
2014-12-08,5358.16
2014-12-09,5220.84
2014-12-10,5381.39
2014-12-11,5354.91
2014-12-12,5290.95
2014-12-15,5277.97
2014-12-16,5050.87
2014-12-17,5134.02
2014-12-18,5277.87
2014-12-19,5223.96
2014-12-22,5286.88
2014-12-23,5268.5
2014-12-24,5265.71
2014-12-26,5335.34
2014-12-29,5317.26
2014-12-30,5367.23
2014-12-31,5388.52
2015-01-01,5420.53
2015-01-02,5442.01
2015-01-05,5403.48
2015-01-06,5180.67
2015-01-07,5164.26
2015-01-08,5256.61
2015-01-09,5223.68
2015-01-12,5302.54
2015-01-13,5263.8
2015-01-14,5227.04
2015-01-15,5461.36
2015-01-16,5378.08
2015-01-19,5369.37
2015-01-20,5430.38
2015-01-21,5563.37
2015-01-22,5520.1
2015-01-23,5531.27
2015-01-27,5535.02
2015-01-28,5577.82
2015-01-29,5426.21
2015-01-30,5107.26
2015-02-02,5098.64
2015-02-03,4953.45
2015-02-04,4877.55
2015-02-05,4776.84
2015-02-06,4754.16
2015-02-09,4588.66
2015-02-10,4676.1
2015-02-11,4703.75
2015-02-12,4662.15
2015-02-13,4924.36
2015-02-16,4913.04
2015-02-18,4906.02
2015-02-19,4846.65
2015-02-20,4890.92
2015-02-23,4803.99
2015-02-24,4776.11
2015-02-25,4759.46
2015-02-26,4652.2
2015-02-27,4842.37
2015-02-28,4868.85
2015-03-02,4867.4
2015-03-03,4925.73
2015-03-04,4775.84
2015-03-05,4784.97
2015-03-09,4710.54
2015-03-10,4679.53
2015-03-11,4647.4
2015-03-12,4688.69
2015-03-13,4604.67
2015-03-16,4628.37
2015-03-17,4646.51
2015-03-18,4698.15
2015-03-19,4585.08
2015-03-20,4530.67
2015-03-23,4477.29
2015-03-24,4416.74
2015-03-25,4340.12
2015-03-26,4204.67
2015-03-27,4268.34
2015-03-30,4337.16
2015-03-31,4304.5
2015-04-01,4427.42
2015-04-06,4425.59
2015-04-07,4409.62
2015-04-08,4425.78
2015-04-09,4549.69
2015-04-10,4622.4
2015-04-13,4647.06
2015-04-15,4712.85
2015-04-16,4709.99
2015-04-17,4716.95
2015-04-20,4646.27
2015-04-21,4669.11
2015-04-22,4611.0
2015-04-23,4532.86
2015-04-24,4463.41
2015-04-27,4364.26
2015-04-28,4439.49
2015-04-29,4424.69
2015-04-30,4398.11
2015-05-04,4517.29
2015-05-05,4455.95
2015-05-06,4308.44
2015-05-07,4201.57
2015-05-08,4159.04
2015-05-11,4415.15
2015-05-12,4252.44
2015-05-13,4366.05
2015-05-14,4490.34
2015-05-15,4526.74
2015-05-18,4543.88
2015-05-19,4529.74
2015-05-20,4571.24
2015-05-21,4532.82
2015-05-22,4448.07
2015-05-25,4404.61
2015-05-26,4396.07
2015-05-27,4466.13
2015-05-28,4466.33
2015-05-29,4484.27
2015-06-01,4492.61
2015-06-02,4306.84
2015-06-03,4205.1
2015-06-04,4178.22
2015-06-05,4165.56
2015-06-08,4082.19
2015-06-09,4097.89
2015-06-10,4135.56
2015-06-11,4024.4
2015-06-12,4022.71
2015-06-15,3963.9
2015-06-16,4031.92
2015-06-17,4032.67
2015-06-18,4055.93
2015-06-19,4097.81
2015-06-22,4208.99
2015-06-23,4263.11
2015-06-24,4162.16
2015-06-25,4187.58
2015-06-26,4169.97
2015-06-29,4096.25
2015-06-30,4126.76
2015-07-01,4227.89
2015-07-02,4222.89
2015-07-03,4255.34
2015-07-06,4295.85
2015-07-07,4321.32
2015-07-08,4232.39
2015-07-09,4262.02
2015-07-10,4315.09
2015-07-13,4355.0
2015-07-14,4295.52
2015-07-15,4283.91
2015-07-16,4333.65
2015-07-17,4324.77
2015-07-20,4247.3
2015-07-21,4184.58
2015-07-22,4246.98
2015-07-23,4263.11
2015-07-24,4188.3
2015-07-27,4092.06
2015-07-28,4108.07
2015-07-29,4029.77
2015-07-30,4168.56
2015-07-31,4364.21
2015-08-03,4532.59
2015-08-04,4670.58
2015-08-05,4628.19
2015-08-06,4690.47
2015-08-07,4579.3
2015-08-10,4575.37
2015-08-11,4404.78
2015-08-12,4235.14
2015-08-13,4261.71
2015-08-14,4456.89
2015-08-17,4732.61
2015-08-18,4770.11
2015-08-19,4664.32
2015-08-20,4506.29
2015-08-21,4469.3
2015-08-24,4051.34
2015-08-25,4136.82
2015-08-26,4025.39
2015-08-27,4132.65
2015-08-28,4098.3
2015-08-31,4094.35
2015-09-01,3912.9
2015-09-02,3789.16
2015-09-03,3840.39
2015-09-04,3740.03
2015-09-07,3667.4
2015-09-08,3794.62
2015-09-09,3859.27
2015-09-10,3793.44
2015-09-11,3831.12
2015-09-14,3925.79
2015-09-15,3887.13
2015-09-16,3925.77
2015-09-18,4026.75
2015-09-21,4095.4
2015-09-22,3964.88
2015-09-23,4011.23
2015-09-24,3995.56
2015-09-28,3996.44
2015-09-29,4040.81
2015-09-30,3964.42
2015-10-01,3933.35
2015-10-05,4031.63
2015-10-06,4038.68
2015-10-07,4090.34
2015-10-08,4086.67
2015-10-09,4071.06
2015-10-12,4061.24
2015-10-13,4046.63
2015-10-14,4034.06
2015-10-15,4115.83
2015-10-16,4170.85
2015-10-19,4158.42
2015-10-20,4171.37
2015-10-21,4095.03
2015-10-23,4127.66
2015-10-26,4088.04
2015-10-27,4059.72
2015-10-28,3958.36
2015-10-29,3896.01
2015-10-30,3876.08
2015-11-02,3888.17
2015-11-03,3877.06
2015-11-04,3915.76
2015-11-05,3841.44
2015-11-06,3970.85
2015-11-09,4027.05
2015-11-10,3975.11
2015-11-11,4002.32
2015-11-13,3975.19
2015-11-16,4086.74
2015-11-17,4066.41
2015-11-18,3950.29
2015-11-19,3990.98
2015-11-20,3994.4
2015-11-23,3980.48
2015-11-24,3954.21
2015-11-26,3975.82
2015-11-27,4115.79
2015-11-30,4139.2
2015-12-01,4128.8
2015-12-02,4037.76
2015-12-03,3979.61
2015-12-04,3946.99
2015-12-07,3915.12
2015-12-08,3852.7
2015-12-09,3815.18
2015-12-10,3778.4
2015-12-11,3691.8
2015-12-14,3688.01
2015-12-15,3686.99
2015-12-16,3701.37
2015-12-17,3756.47
2015-12-18,3714.9
2015-12-21,3763.29
2015-12-22,3719.64
2015-12-23,3744.56
2015-12-24,3722.21
2015-12-28,3737.62
2015-12-29,3721.59
2015-12-30,3682.55
2015-12-31,3664.46
2016-01-01,3720.98
2016-01-04,3590.72
2016-01-05,3540.85
2016-01-06,3528.38
2016-01-07,3384.58
2016-01-08,3384.93
2016-01-11,3315.26
2016-01-12,3224.79
2016-01-13,3214.57
2016-01-14,3141.85
2016-01-15,2959.03
2016-01-18,2909.84
2016-01-19,2941.16
2016-01-20,2805.65
2016-01-21,2849.15
2016-01-22,2992.56
2016-01-25,2965.17
2016-01-27,3003.13
2016-01-28,2998.72
2016-01-29,2933.05
2016-02-01,2833.56
2016-02-02,2792.14
2016-02-03,2739.48
2016-02-04,2717.72
2016-02-05,2816.4
2016-02-08,2875.58
2016-02-09,2770.27
2016-02-10,2621.15
2016-02-11,2538.15
2016-02-12,2517.77
2016-02-15,2758.72
2016-02-16,2588.64
2016-02-17,2641.6
2016-02-18,2651.86
2016-02-19,2720.23
2016-02-22,2717.78
2016-02-23,2616.98
2016-02-24,2598.65
2016-02-25,2537.98
2016-02-26,2585.16
2016-02-29,2606.17
2016-03-01,2674.51
2016-03-02,2939.35
2016-03-03,2959.03
2016-03-04,3056.06
2016-03-08,2977.59
2016-03-09,2986.92
2016-03-10,2937.28
2016-03-11,2935.39
2016-03-14,2957.09
2016-03-15,3005.57
2016-03-16,3005.15
2016-03-17,3014.81
2016-03-18,3081.71
2016-03-21,3164.57
2016-03-22,3163.32
2016-03-23,3140.41
2016-03-28,3018.89
2016-03-29,3034.59
2016-03-30,3160.66
2016-03-31,3133.09
2016-04-01,3199.06
2016-04-04,3177.06
2016-04-05,3013.9
2016-04-06,2996.53
2016-04-07,2969.11
2016-04-08,2983.25
2016-04-11,3071.42
2016-04-12,3068.86
2016-04-13,3131.27
2016-04-18,3056.19
2016-04-20,3088.86
2016-04-21,3199.53
2016-04-22,3279.49
2016-04-25,3223.44
2016-04-26,3283.41
2016-04-27,3230.88
2016-04-28,3176.28
2016-04-29,3126.84
2016-05-02,3074.83
2016-05-03,3034.53
2016-05-04,2958.1
2016-05-05,2960.55
2016-05-06,3009.72
2016-05-09,3086.47
2016-05-10,3099.72
2016-05-11,3032.57
2016-05-12,3069.91
2016-05-13,3011.19
2016-05-16,2867.29
2016-05-17,2870.23
2016-05-18,2918.64
2016-05-19,2809.0
2016-05-20,2782.53
2016-05-23,2736.42
2016-05-24,2738.35
2016-05-25,2825.4
2016-05-26,2928.88
2016-05-27,3070.28
2016-05-30,3101.62
2016-05-31,3191.66
2016-06-01,3090.28
2016-06-02,3129.37
2016-06-03,3094.0
2016-06-06,3135.73
2016-06-07,3263.5
2016-06-08,3294.19
2016-06-09,3300.5
2016-06-10,3250.43
2016-06-13,3198.04
2016-06-14,3299.03
2016-06-15,3397.99
2016-06-16,3416.78
2016-06-17,3399.86
2016-06-20,3441.4
2016-06-21,3415.06
2016-06-22,3398.23
2016-06-23,3466.83
2016-06-24,3380.86
2016-06-27,3476.52
