date,value
2014-09-18,242.75
2014-09-19,240.88
2014-09-22,239.36
2014-09-23,226.69
2014-09-24,222.88
2014-09-25,214.86
2014-09-26,220.02
2014-09-29,219.32
2014-09-30,213.81
2014-10-01,212.47
2014-10-07,210.39
2014-10-08,213.55
2014-10-09,219.15
2014-10-10,216.39
2014-10-13,212.73
2014-10-14,193.55
2014-10-16,192.55
2014-10-17,194.2
2014-10-20,196.33
2014-10-21,201.54
2014-10-22,202.97
2014-10-23,203.28
2014-10-27,195.37
2014-10-28,195.95
2014-10-29,202.03
2014-10-30,208.61
2014-10-31,211.62
2014-11-03,219.27
2014-11-05,218.87
2014-11-07,224.67
2014-11-10,224.26
2014-11-11,226.72
2014-11-12,226.57
2014-11-13,224.39
2014-11-14,228.87
2014-11-17,228.7
2014-11-18,227.97
2014-11-19,225.6
2014-11-20,221.97
2014-11-21,222.1
2014-11-24,226.56
2014-11-25,218.61
2014-11-26,227.34
2014-11-27,226.93
2014-11-28,230.69
2014-12-01,229.18
2014-12-02,229.36
2014-12-03,232.08
2014-12-04,232.49
2014-12-05,235.43
2014-12-08,230.48
2014-12-09,227.28
2014-12-10,228.01
2014-12-11,223.22
2014-12-12,217.32
2014-12-15,213.21
2014-12-16,204.58
2014-12-17,201.73
2014-12-18,206.65
2014-12-19,205.59
2014-12-22,208.17
2014-12-23,206.58
2014-12-24,208.59
2014-12-26,210.93
2014-12-29,211.61
2014-12-30,212.36
2014-12-31,214.14
2015-01-01,214.09
2015-01-02,216.21
2015-01-05,216.41
2015-01-06,208.82
2015-01-07,208.12
2015-01-08,214.56
2015-01-09,210.78
2015-01-12,211.08
2015-01-13,207.42
2015-01-14,205.79
2015-01-15,222.93
2015-01-16,223.86
2015-01-19,224.32
2015-01-20,227.39
2015-01-21,226.7
2015-01-22,228.11
2015-01-23,231.51
2015-01-27,234.31
2015-01-28,237.45
2015-01-29,244.02
2015-01-30,249.67
2015-02-02,251.05
2015-02-03,247.61
2015-02-04,250.42
2015-02-05,243.75
2015-02-06,242.26
2015-02-09,236.1
2015-02-10,235.96
2015-02-11,237.46
2015-02-12,241.08
2015-02-13,238.74
2015-02-16,241.63
2015-02-18,240.46
2015-02-19,242.14
2015-02-20,244.52
2015-02-23,240.48
2015-02-24,241.56
2015-02-25,242.4
2015-02-26,243.35
2015-02-27,254.2
2015-02-28,252.41
2015-03-02,251.56
2015-03-03,247.67
2015-03-04,246.95
2015-03-05,246.85
2015-03-09,239.96
2015-03-10,235.12
2015-03-11,236.49
2015-03-12,240.11
2015-03-13,238.23
2015-03-16,241.27
2015-03-17,242.77
2015-03-18,243.01
2015-03-19,239.15
2015-03-20,229.87
2015-03-23,229.34
2015-03-24,228.7
2015-03-25,228.8
2015-03-26,224.75
2015-03-27,223.12
2015-03-30,227.77
2015-03-31,227.86
2015-04-01,231.29
2015-04-06,246.85
2015-04-07,242.73
2015-04-08,245.51
2015-04-09,243.51
2015-04-10,245.01
2015-04-13,245.32
2015-04-15,242.42
2015-04-16,236.46
2015-04-17,234.23
2015-04-20,227.76
2015-04-21,227.01
2015-04-22,227.04
2015-04-23,225.13
2015-04-24,216.14
2015-04-27,207.21
2015-04-28,210.84
2015-04-29,212.52
2015-04-30,215.93
2015-05-04,221.59
2015-05-05,224.38
2015-05-06,215.03
2015-05-07,209.91
2015-05-08,218.6
2015-05-11,220.6
2015-05-12,212.88
2015-05-13,211.23
2015-05-14,213.56
2015-05-15,211.0
2015-05-18,211.1
2015-05-19,211.85
2015-05-20,211.42
2015-05-21,213.72
2015-05-22,213.22
2015-05-25,211.97
2015-05-26,210.61
2015-05-27,211.72
2015-05-28,211.46
2015-05-29,210.35
2015-06-01,214.62
2015-06-02,206.05
2015-06-03,193.75
2015-06-04,195.49
2015-06-05,192.16
2015-06-08,190.63
2015-06-09,187.43
2015-06-10,188.96
2015-06-11,184.35
2015-06-12,184.05
2015-06-15,184.16
2015-06-16,184.37
2015-06-17,185.31
2015-06-18,184.86
2015-06-19,183.26
2015-06-22,193.22
2015-06-23,193.64
2015-06-24,191.11
2015-06-25,192.44
2015-06-26,193.97
2015-06-29,190.09
2015-06-30,190.93
2015-07-01,192.67
2015-07-02,192.66
2015-07-03,191.51
2015-07-06,193.24
2015-07-07,195.82
2015-07-08,191.9
2015-07-09,191.47
2015-07-10,189.7
2015-07-13,191.36
2015-07-14,190.22
2015-07-15,191.23
2015-07-16,191.13
2015-07-17,190.26
2015-07-20,186.41
2015-07-21,182.07
2015-07-22,183.88
2015-07-23,184.03
2015-07-24,181.2
2015-07-27,176.56
2015-07-28,171.67
2015-07-29,173.9
2015-07-30,181.04
2015-07-31,186.59
2015-08-03,186.86
2015-08-04,186.24
2015-08-05,191.91
2015-08-06,193.34
2015-08-07,193.16
2015-08-10,194.1
2015-08-11,191.87
2015-08-12,181.17
2015-08-13,178.66
2015-08-14,193.72
2015-08-17,191.42
2015-08-18,190.69
2015-08-19,189.0
2015-08-20,181.37
2015-08-21,176.69
2015-08-24,157.11
2015-08-25,167.85
2015-08-26,167.56
2015-08-27,174.47
2015-08-28,173.64
2015-08-31,171.2
2015-09-01,165.51
2015-09-02,166.8
2015-09-03,174.65
2015-09-04,168.34
2015-09-07,164.93
2015-09-08,169.98
2015-09-09,174.58
2015-09-10,173.52
2015-09-11,175.29
2015-09-14,178.79
2015-09-15,177.93
2015-09-16,177.47
2015-09-18,181.68
2015-09-21,182.48
2015-09-22,178.03
2015-09-23,179.63
2015-09-24,180.46
2015-09-28,182.61
2015-09-29,186.23
2015-09-30,190.37
2015-10-01,187.16
2015-10-05,189.02
2015-10-06,190.66
2015-10-07,195.25
2015-10-08,193.51
2015-10-09,193.59
2015-10-12,192.64
2015-10-13,194.71
2015-10-14,194.89
2015-10-15,196.87
2015-10-16,194.09
2015-10-19,199.36
2015-10-20,198.26
2015-10-21,195.06
2015-10-23,194.49
2015-10-26,193.02
2015-10-27,193.25
2015-10-28,190.48
2015-10-29,189.66
2015-10-30,187.08
2015-11-02,188.67
2015-11-03,188.5
2015-11-04,188.17
2015-11-05,183.03
2015-11-06,183.32
2015-11-09,179.39
2015-11-10,174.64
2015-11-11,178.51
2015-11-13,176.98
2015-11-16,176.96
2015-11-17,177.04
2015-11-18,174.35
2015-11-19,174.48
2015-11-20,174.14
2015-11-23,175.63
2015-11-24,177.53
2015-11-26,181.22
2015-11-27,181.91
2015-11-30,184.14
2015-12-01,184.81
2015-12-02,185.08
2015-12-03,185.67
2015-12-04,182.91
2015-12-07,184.05
2015-12-08,176.51
2015-12-09,174.35
2015-12-10,177.3
2015-12-11,172.28
2015-12-14,171.92
2015-12-15,173.4
2015-12-16,175.4
2015-12-17,177.79
2015-12-18,178.24
2015-12-21,180.41
2015-12-22,180.11
2015-12-23,182.3
2015-12-24,181.6
2015-12-28,182.57
2015-12-29,180.2
2015-12-30,180.17
2015-12-31,183.42
2016-01-01,186.89
2016-01-04,183.2
2016-01-05,186.55
2016-01-06,184.44
2016-01-07,175.26
2016-01-08,179.97
2016-01-11,180.4
2016-01-12,177.21
2016-01-13,175.46
2016-01-14,172.62
2016-01-15,164.81
2016-01-18,158.78
2016-01-19,161.78
2016-01-20,156.25
2016-01-21,156.88
2016-01-22,159.72
2016-01-25,160.63
2016-01-27,161.96
2016-01-28,160.69
2016-01-29,163.17
2016-02-01,163.49
2016-02-02,160.11
2016-02-03,155.33
2016-02-04,154.72
2016-02-05,156.6
2016-02-08,156.91
2016-02-09,154.32
2016-02-10,148.7
2016-02-11,139.76
2016-02-12,137.32
2016-02-15,146.49
2016-02-16,141.62
2016-02-17,142.72
2016-02-18,143.19
2016-02-19,143.31
2016-02-22,143.61
2016-02-23,139.7
2016-02-24,139.28
2016-02-25,136.28
2016-02-26,138.25
2016-02-29,138.46
2016-03-01,145.22
2016-03-02,153.47
2016-03-03,155.32
2016-03-04,156.88
2016-03-08,158.41
2016-03-09,160.91
2016-03-10,159.38
2016-03-11,158.6
2016-03-14,158.22
2016-03-15,158.25
2016-03-16,157.28
2016-03-17,155.98
2016-03-18,158.93
2016-03-21,162.05
2016-03-22,166.69
2016-03-23,166.51
2016-03-28,159.52
2016-03-29,160.21
2016-03-30,166.55
2016-03-31,167.49
2016-04-01,172.58
2016-04-04,171.36
2016-04-05,166.34
2016-04-06,168.55
2016-04-07,168.02
2016-04-08,170.2
2016-04-11,172.92
2016-04-12,173.17
2016-04-13,176.0
2016-04-18,184.43
2016-04-20,183.78
2016-04-21,180.57
2016-04-22,180.14
2016-04-25,179.15
2016-04-26,182.17
2016-04-27,181.82
2016-04-28,184.84
2016-04-29,187.01
2016-05-02,185.9
2016-05-03,186.0
2016-05-04,181.45
2016-05-05,182.95
2016-05-06,183.49
2016-05-09,187.05
2016-05-10,187.91
2016-05-11,185.86
2016-05-12,188.59
2016-05-13,183.96
2016-05-16,186.59
2016-05-17,188.02
2016-05-18,192.36
2016-05-19,190.66
2016-05-20,188.12
2016-05-23,186.32
2016-05-24,185.92
2016-05-25,189.05
2016-05-26,193.17
2016-05-27,196.13
2016-05-30,194.32
2016-05-31,195.93
2016-06-01,196.94
2016-06-02,197.23
2016-06-03,194.77
2016-06-06,196.6
2016-06-07,200.31
2016-06-08,200.67
2016-06-09,201.01
2016-06-10,199.23
2016-06-13,195.98
2016-06-14,198.49
2016-06-15,199.37
2016-06-16,197.88
2016-06-17,205.35
2016-06-20,207.53
2016-06-21,208.38
2016-06-22,208.66
2016-06-23,206.23
2016-06-24,197.83
2016-06-27,200.91
2016-06-28,202.98
2016-06-29,209.06
2016-06-30,214.19
2016-07-01,215.42
2016-07-04,220.42
2016-07-05,219.4
2016-07-07,218.28
2016-07-08,217.32
2016-07-11,221.53
2016-07-12,224.56
2016-07-13,220.87
2016-07-14,220.16
2016-07-15,218.95
2016-07-18,216.32
2016-07-19,215.24
2016-07-20,221.01
2016-07-21,218.66
2016-07-22,220.32
2016-07-25,223.57
2016-07-26,220.68
2016-07-27,220.13
2016-07-28,222.28
2016-07-29,221.91
2016-08-01,222.03
2016-08-02,219.34
2016-08-03,216.23
2016-08-04,221.37
2016-08-05,226.66
2016-08-08,228.57
2016-08-09,229.42
2016-08-10,226.05
2016-08-11,224.81
2016-08-12,223.68
2016-08-16,222.19
2016-08-17,223.35
2016-08-18,226.15
2016-08-19,224.89
2016-08-22,224.96
2016-08-23,224.24
2016-08-24,224.81
2016-08-25,223.24
2016-08-26,220.61
2016-08-29,220.68
2016-08-30,222.59
2016-08-31,220.0
2016-09-01,215.36
2016-09-02,217.01
2016-09-06,220.5
2016-09-07,221.98
2016-09-08,228.33
2016-09-09,229.72
2016-09-12,218.33
2016-09-14,218.42
2016-09-15,217.9
2016-09-16,220.0
2016-09-19,223.24
2016-09-20,219.97
2016-09-21,220.58
2016-09-22,223.61
2016-09-23,225.36
2016-09-26,220.0
2016-09-27,220.61
2016-09-28,224.54
2016-09-29,208.89
2016-09-30,216.95
2016-10-03,223.68
2016-10-04,224.56
2016-10-05,228.66
2016-10-06,225.26
2016-10-07,226.08
2016-10-10,223.16
2016-10-13,218.01
2016-10-14,219.84
2016-10-17,217.58
2016-10-18,220.24
2016-10-19,218.96
2016-10-20,222.58
2016-10-21,224.37
2016-10-24,225.64
2016-10-25,224.25
2016-10-26,223.65
2016-10-27,222.2
2016-10-28,225.22
2016-10-30,225.93
2016-11-01,223.73
2016-11-02,217.68
2016-11-03,215.19
2016-11-04,209.16
2016-11-07,212.56
2016-11-08,212.13
2016-11-09,187.52
2016-11-10,189.84
2016-11-11,180.18
2016-11-15,170.91
2016-11-16,169.22
2016-11-17,171.37
2016-11-18,173.71
2016-11-21,164.69
2016-11-22,169.58
2016-11-23,174.55
2016-11-24,172.26
2016-11-25,174.92
2016-11-28,178.1
2016-11-29,178.93
2016-11-30,179.64
2016-12-01,177.38
2016-12-02,174.13
2016-12-05,175.36
2016-12-06,177.87
2016-12-07,175.73
2016-12-08,178.39
2016-12-09,181.57
2016-12-12,180.61
2016-12-13,178.48
2016-12-14,179.2
2016-12-15,179.64
2016-12-16,179.51
2016-12-19,177.62
2016-12-20,177.54
2016-12-21,179.45
2016-12-22,178.52
2016-12-23,176.2
2016-12-26,169.79
2016-12-27,170.94
2016-12-28,172.81
2016-12-29,174.63
2016-12-30,176.99
2017-01-02,184.75
2017-01-03,185.57
2017-01-04,189.73
2017-01-05,191.83
2017-01-06,190.26
2017-01-09,191.87
2017-01-10,191.34
2017-01-11,192.1
2017-01-12,191.58
2017-01-13,191.39
2017-01-16,193.95
2017-01-17,194.68
2017-01-18,194.77
2017-01-19,194.14
2017-01-20,189.84
2017-01-23,191.16
2017-01-24,191.82
2017-01-25,195.33
2017-01-27,194.17
2017-01-30,193.4
2017-01-31,192.15
2017-02-01,201.7
2017-02-02,202.0
2017-02-03,203.8
2017-02-06,207.76
2017-02-07,206.62
2017-02-08,208.17
2017-02-09,210.17
2017-02-10,209.83
2017-02-13,207.63
2017-02-14,206.12
2017-02-15,198.07
2017-02-16,201.74
2017-02-17,202.58
2017-02-20,205.45
2017-02-21,206.33
2017-02-22,206.56
2017-02-23,208.16
2017-02-27,208.56
2017-02-28,211.05
2017-03-01,219.27
2017-03-02,210.0
2017-03-03,212.11
2017-03-06,214.0
2017-03-07,215.77
2017-03-08,212.76
2017-03-09,212.35
2017-03-10,212.18
2017-03-14,217.69
2017-03-15,218.26
2017-03-16,220.98
2017-03-17,222.65
2017-03-20,221.76
2017-03-21,225.29
2017-03-22,226.69
2017-03-23,227.18
2017-03-24,228.17
2017-03-27,228.05
2017-03-28,227.08
2017-03-29,226.26
2017-03-30,230.46
2017-03-31,230.05
2017-04-03,234.51
2017-04-05,241.76
2017-04-06,243.97
2017-04-07,240.37
2017-04-10,239.05
2017-04-11,241.97
2017-04-12,242.32
2017-04-13,244.05
2017-04-17,263.62
2017-04-18,254.7
2017-04-19,258.43
2017-04-20,263.89
2017-04-21,270.26
2017-04-24,276.75
2017-04-25,280.92
2017-04-26,272.55
2017-04-27,273.62
2017-04-28,268.68
2017-05-02,273.65
2017-05-03,277.84
2017-05-04,275.44
2017-05-05,272.87
2017-05-08,284.35
2017-05-09,285.62
2017-05-10,285.94
2017-05-11,286.66
2017-05-12,288.44
2017-05-15,290.66
2017-05-16,293.38
2017-05-17,292.87
2017-05-18,283.31
2017-05-19,283.07
2017-05-22,278.94
2017-05-23,271.27
2017-05-24,266.99
2017-05-25,272.59
2017-05-26,274.14
2017-05-29,262.33
2017-05-30,265.02
2017-05-31,268.03
2017-06-01,268.35
2017-06-02,271.86
2017-06-05,273.92
2017-06-06,270.2
2017-06-07,270.53
2017-06-08,270.0
2017-06-09,277.89
2017-06-12,277.24
2017-06-13,279.32
2017-06-14,283.09
2017-06-15,289.2
2017-06-16,289.98
2017-06-19,289.1
2017-06-20,289.62
2017-06-21,291.22
2017-06-22,286.63
2017-06-23,281.97
2017-06-27,278.32
2017-06-28,280.53
2017-06-29,283.16
2017-06-30,281.96
2017-07-03,285.89
2017-07-04,284.43
2017-07-05,288.83
2017-07-06,293.93
2017-07-07,299.11
2017-07-10,301.31
2017-07-11,296.67
2017-07-12,297.18
2017-07-13,297.89
2017-07-14,295.75
2017-07-17,300.11
2017-07-18,297.05
2017-07-19,301.09
2017-07-20,301.98
2017-07-21,299.64
2017-07-24,299.77
2017-07-25,300.92
2017-07-26,302.49
2017-07-27,301.78
2017-07-28,301.04
2017-07-31,302.93
2017-08-01,302.91
2017-08-02,302.29
2017-08-03,299.71
2017-08-04,300.4
2017-08-07,305.09
2017-08-08,291.64
2017-08-09,290.19
2017-08-10,275.49
2017-08-11,272.89
2017-08-14,288.69
2017-08-16,291.14
2017-08-17,292.79
2017-08-18,290.44
2017-08-21,287.53
2017-08-22,284.96
2017-08-23,294.76
2017-08-24,292.95
2017-08-28,293.87
2017-08-29,291.28
2017-08-30,296.16
2017-08-31,300.21
2017-09-01,307.94
2017-09-04,302.9
2017-09-05,307.18
2017-09-06,307.38
2017-09-07,309.84
2017-09-08,305.28
2017-09-11,307.32
2017-09-12,313.56
2017-09-13,309.79
2017-09-14,308.23
2017-09-15,307.22
2017-09-18,309.47
2017-09-19,313.13
2017-09-20,311.45
2017-09-21,306.69
2017-09-22,293.36
2017-09-25,284.17
2017-09-26,291.85
2017-09-27,283.3
2017-09-28,286.4
2017-09-29,293.98
2017-10-03,294.77
2017-10-04,296.17
2017-10-05,298.87
2017-10-06,299.32
2017-10-09,306.26
2017-10-10,303.64
2017-10-11,297.8
2017-10-12,302.81
2017-10-13,303.69
2017-10-16,307.11
2017-10-17,309.81
2017-10-18,309.53
2017-10-19,308.74
2017-10-23,311.65
2017-10-24,313.41
2017-10-25,312.13
2017-10-26,313.48
2017-10-27,311.88
2017-10-30,318.12
2017-10-31,327.32
2017-11-01,335.81
2017-11-02,335.91
2017-11-03,338.22
2017-11-06,339.7
2017-11-07,332.07
2017-11-08,329.51
2017-11-09,329.2
2017-11-10,329.24
2017-11-13,324.64
2017-11-14,326.24
2017-11-15,320.35
2017-11-16,324.62
2017-11-17,336.49
2017-11-20,343.64
2017-11-21,339.72
2017-11-22,340.65
2017-11-23,340.84
2017-11-24,341.57
2017-11-27,344.54
2017-11-28,343.04
2017-11-29,346.1
2017-11-30,349.97
2017-12-01,343.03
2017-12-04,341.73
2017-12-05,339.86
2017-12-06,338.74
2017-12-07,345.1
2017-12-08,347.63
2017-12-11,347.04
2017-12-12,341.61
2017-12-13,334.3
2017-12-14,335.34
2017-12-15,341.01
2017-12-18,339.28
2017-12-19,344.78
2017-12-20,354.93
2017-12-21,357.63
2017-12-22,358.22
2017-12-26,362.28
2017-12-27,359.98
2017-12-28,370.92
2017-12-29,372.88
2018-01-01,373.74
2018-01-02,369.61
2018-01-03,371.31
2018-01-04,370.62
2018-01-05,373.32
2018-01-08,376.82
2018-01-09,387.4
2018-01-10,392.25
2018-01-11,400.14
2018-01-12,394.25
2018-01-15,394.38
2018-01-16,381.02
2018-01-17,384.34
2018-01-18,369.29
2018-01-19,373.31
2018-01-22,380.45
2018-01-23,382.96
2018-01-24,382.66
2018-01-25,375.96
2018-01-29,374.63
2018-01-30,370.6
2018-01-31,370.52
2018-02-01,367.47
2018-02-02,344.81
2018-02-05,343.27
2018-02-06,336.8
2018-02-07,342.51
2018-02-08,351.32
2018-02-09,352.53
2018-02-12,358.5
2018-02-14,359.77
2018-02-15,356.11
2018-02-16,351.67
2018-02-19,346.68
2018-02-20,344.87
2018-02-21,342.51
2018-02-22,343.58
2018-02-23,346.72
2018-02-26,357.56
2018-02-27,351.65
2018-02-28,351.37
2018-03-01,349.06
2018-03-05,345.6
2018-03-06,337.78
2018-03-07,334.73
2018-03-08,339.52
2018-03-09,339.36
2018-03-12,341.15
2018-03-13,346.06
2018-03-14,344.3
2018-03-15,343.92
2018-03-16,338.37
2018-03-19,328.42
2018-03-20,327.07
2018-03-21,329.68
2018-03-22,325.66
2018-03-23,314.86
2018-03-26,318.57
2018-03-27,319.97
2018-03-28,316.56
2018-04-02,319.04
2018-04-03,320.68
2018-04-04,316.5
2018-04-05,324.75
2018-04-06,326.61
2018-04-09,326.48
2018-04-10,330.04
2018-04-11,328.76
2018-04-12,322.47
2018-04-13,323.91
2018-04-16,329.18
2018-04-17,333.1
2018-04-18,334.97
2018-04-19,337.14
2018-04-20,333.92
2018-04-23,339.31
2018-04-24,340.64
2018-04-25,342.69
2018-04-26,340.31
2018-04-27,341.5
2018-04-30,346.87
2018-05-02,339.97
2018-05-03,334.3
2018-05-04,333.83
2018-05-07,337.5
2018-05-08,341.52
2018-05-09,341.2
2018-05-10,334.46
2018-05-11,332.8
2018-05-14,330.48
2018-05-15,323.87
2018-05-16,330.52
2018-05-17,330.83
2018-05-18,325.88
2018-05-21,315.21
2018-05-22,319.09
2018-05-23,316.33
2018-05-24,314.11
2018-05-25,318.07
2018-05-28,323.02
2018-05-29,319.8
2018-05-30,319.76
2018-05-31,317.65
2018-06-01,313.7
2018-06-04,303.26
2018-06-05,300.06
2018-06-06,304.58
2018-06-07,313.64
2018-06-08,314.74
2018-06-11,312.8
2018-06-12,314.11
2018-06-13,313.97
2018-06-14,313.96
2018-06-15,309.98
2018-06-18,308.77
2018-06-19,302.57
2018-06-20,305.95
2018-06-21,303.49
2018-06-22,303.97
2018-06-25,299.46
2018-06-26,297.33
2018-06-27,291.99
2018-06-28,285.55
2018-06-29,292.47
2018-07-02,288.47
2018-07-03,288.91
2018-07-04,290.24
2018-07-05,285.02
2018-07-06,287.9
2018-07-09,290.11
2018-07-10,295.31
2018-07-11,295.6
2018-07-12,292.36
2018-07-13,287.43
2018-07-16,277.87
2018-07-17,280.72
2018-07-18,273.98
2018-07-19,273.45
2018-07-20,276.93
2018-07-23,281.67
2018-07-24,288.72
2018-07-25,284.9
2018-07-26,287.18
2018-07-27,288.76
2018-07-30,289.27
2018-07-31,294.15
2018-08-01,294.65
2018-08-02,289.87
2018-08-03,291.6
2018-08-06,289.88
2018-08-07,288.08
2018-08-08,287.92
2018-08-09,293.95
2018-08-10,293.65
2018-08-13,290.85
2018-08-14,296.63
2018-08-16,295.09
2018-08-17,297.68
2018-08-20,299.62
2018-08-21,294.25
2018-08-23,295.45
2018-08-24,294.92
2018-08-27,295.11
2018-08-28,292.48
2018-08-29,295.93
2018-08-30,297.72
2018-08-31,297.46
2018-09-03,294.51
2018-09-04,289.08
2018-09-05,285.85
2018-09-06,287.37
2018-09-07,289.18
2018-09-10,284.91
2018-09-11,279.36
2018-09-12,277.95
2018-09-14,287.56
2018-09-17,290.81
2018-09-18,281.96
2018-09-19,278.5
2018-09-21,268.7
2018-09-24,254.49
2018-09-25,250.14
2018-09-26,256.18
2018-09-27,249.09
2018-09-28,237.26
2018-10-01,233.69
2018-10-03,233.61
2018-10-04,231.95
2018-10-05,225.63
2018-10-08,218.37
2018-10-09,216.22
2018-10-10,225.3
2018-10-11,218.95
2018-10-12,226.44
2018-10-15,226.76
2018-10-16,229.06
2018-10-17,222.43
2018-10-19,220.74
2018-10-22,220.03
2018-10-23,220.4
2018-10-24,227.15
2018-10-25,222.61
2018-10-26,221.93
2018-10-29,229.28
2018-10-30,230.71
2018-10-31,232.21
2018-11-01,238.62
2018-11-02,239.11
2018-11-05,242.76
2018-11-06,243.71
2018-11-07,245.29
2018-11-09,244.27
2018-11-12,240.66
2018-11-13,239.22
2018-11-14,235.65
2018-11-15,239.66
2018-11-16,240.25
2018-11-19,244.34
2018-11-20,244.48
2018-11-21,248.16
2018-11-22,244.8
2018-11-26,245.64
2018-11-27,245.88
2018-11-28,242.38
2018-11-29,245.26
2018-11-30,250.68
2018-12-03,256.72
2018-12-04,255.81
2018-12-05,253.88
2018-12-06,247.78
2018-12-07,249.0
2018-12-10,241.46
2018-12-11,241.53
2018-12-12,252.07
2018-12-13,255.54
2018-12-14,256.27
2018-12-17,255.72
2018-12-18,256.26
2018-12-19,263.78
2018-12-20,262.96
2018-12-21,257.69
2018-12-24,252.17
2018-12-26,252.76
2018-12-27,251.34
2018-12-28,251.95
2018-12-31,251.04
2019-01-01,256.64
2019-01-02,252.97
2019-01-03,252.8
2019-01-04,254.87
2019-01-07,258.31
2019-01-08,258.24
2019-01-09,259.94
2019-01-10,259.19
2019-01-11,255.72
2019-01-14,253.24
2019-01-15,257.74
2019-01-16,257.75
2019-01-17,260.85
2019-01-18,257.5
2019-01-21,253.81
2019-01-22,255.71
2019-01-23,254.47
2019-01-24,259.95
2019-01-25,248.57
2019-01-28,247.75
2019-01-29,246.58
2019-01-30,244.72
2019-01-31,246.93
2019-02-01,250.01
2019-02-04,247.53
2019-02-05,241.99
2019-02-06,243.21
2019-02-07,243.07
2019-02-08,244.9
2019-02-11,242.4
2019-02-12,239.0
2019-02-13,239.93
2019-02-14,241.05
2019-02-15,240.49
2019-02-18,242.31
2019-02-19,246.46
2019-02-20,247.13
2019-02-21,248.07
2019-02-22,251.94
2019-02-25,250.1
2019-02-26,246.0
2019-02-27,246.33
2019-02-28,248.78
2019-03-01,248.92
2019-03-05,253.88
2019-03-06,255.9
2019-03-07,255.04
2019-03-08,255.54
2019-03-11,257.88
2019-03-12,264.62
2019-03-13,266.16
2019-03-14,272.06
2019-03-15,271.88
2019-03-18,279.51
2019-03-19,279.87
2019-03-20,286.64
2019-03-22,288.42
2019-03-25,282.88
2019-03-26,285.31
2019-03-27,284.03
2019-03-28,288.12
2019-03-29,290.85
2019-04-01,288.72
2019-04-02,295.41
2019-04-03,294.56
2019-04-04,294.31
2019-04-05,298.23
2019-04-08,291.7
2019-04-09,295.79
2019-04-10,299.14
2019-04-11,297.0
2019-04-12,297.9
2019-04-15,302.83
2019-04-16,299.77
2019-04-18,292.17
2019-04-22,284.92
2019-04-23,284.32
2019-04-24,286.18
2019-04-25,287.1
2019-04-26,285.71
2019-04-30,279.09
2019-05-02,279.4
2019-05-03,283.8
2019-05-06,279.65
2019-05-07,276.35
2019-05-08,270.53
2019-05-09,271.41
2019-05-10,271.44
2019-05-13,266.25
2019-05-14,268.31
2019-05-15,269.18
2019-05-16,272.13
2019-05-17,272.9
2019-05-20,288.48
2019-05-21,287.38
2019-05-22,288.45
2019-05-23,289.79
2019-05-24,302.64
2019-05-27,309.26
2019-05-28,309.61
2019-05-29,307.88
2019-05-30,307.52
2019-05-31,306.81
